* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22-Mar-2025 16:33:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ME Old Studio R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	58.355	-50.4720
20.600000	57.117	-65.0160
20.900000	55.741	-90.9154
21.200001	54.997	-118.2803
21.400000	55.075	-128.5983
21.799999	56.371	-129.9620
22.000000	57.350	-125.1287
22.400000	59.357	-113.9718
22.700001	60.513	-107.5958
23.000000	61.171	-102.6264
23.299999	61.298	-97.7039
23.600000	60.959	-91.3710
24.000000	60.083	-78.6712
24.299999	59.435	-66.1571
24.700001	58.971	-50.6012
25.000000	58.928	-43.6365
25.400000	59.121	-42.1630
25.799999	59.617	-48.3126
26.200001	60.520	-59.0594
26.500000	61.401	-67.6800
26.900000	62.610	-77.6148
27.200001	63.402	-83.4713
27.600000	64.213	-89.3399
28.000000	64.781	-93.3166
28.500000	65.358	-96.0733
29.000000	66.059	-97.1953
29.500000	66.955	-98.0047
30.000000	67.859	-99.5584
30.400000	68.432	-101.6093
30.700001	68.726	-103.6379
31.100000	68.921	-106.9747
31.500000	68.927	-110.9674
32.000000	68.822	-116.6024
32.500000	68.859	-122.3807
33.000000	69.231	-127.7309
33.500000	69.819	-132.5571
34.000000	70.286	-137.0441
34.500000	70.348	-141.1487
35.000000	69.897	-144.4775
35.500000	69.032	-146.5657
36.000000	68.071	-147.4885
36.500000	67.449	-148.3722
37.000000	67.357	-150.5066
37.500000	67.573	-153.8161
38.200001	67.805	-158.2240
38.700001	67.745	-160.0371
39.500000	67.373	-160.4114
40.000000	67.148	-159.7401
40.599998	67.041	-158.8941
41.200001	67.124	-158.4602
41.799999	67.292	-158.4778
42.500000	67.435	-158.9863
43.099998	67.439	-159.9471
43.700001	67.321	-161.4681
44.400002	67.067	-163.6149
45.000000	66.832	-165.2567
45.500000	66.686	-166.3219
46.200001	66.580	-167.5127
46.799999	66.526	-168.2605
47.500000	66.466	-168.3047
48.200001	66.483	-167.2540
48.700001	66.573	-166.3408
49.400002	66.736	-165.7511
50.000000	66.816	-166.0947
50.799999	66.805	-167.1754
51.500000	66.758	-168.1325
52.200001	66.723	-168.8998
53.000000	66.699	-169.6826
53.799999	66.689	-170.7135
54.500000	66.702	-171.9655
55.200001	66.740	-173.3274
56.000000	66.799	-174.5786
57.000000	66.840	-175.3449
58.000000	66.829	-175.4210
59.000000	66.857	-175.3382
60.000000	66.956	-175.4410
60.799999	67.045	-175.6843
61.500000	67.103	-176.0691
62.200001	67.138	-176.5898
63.000000	67.174	-177.1590
64.000000	67.266	-177.6260
65.000000	67.404	-178.1285
66.000000	67.537	-179.0918
67.000000	67.651	179.5853
68.000000	67.757	178.3920
69.000000	67.855	177.5802
70.000000	67.940	176.9355
71.000000	68.021	176.0975
72.000000	68.108	174.9673
73.000000	68.199	173.7464
74.000000	68.296	172.6868
75.000000	68.400	171.8470
76.199997	68.519	170.9183
77.500000	68.624	169.7735
78.800003	68.708	168.4744
80.000000	68.776	167.2513
81.199997	68.849	165.9901
82.500000	68.937	164.5491
83.800003	69.032	163.1328
85.000000	69.121	161.8930
86.199997	69.203	160.6671
87.500000	69.288	159.3107
88.500000	69.354	158.2363
90.000000	69.454	156.5888
91.199997	69.523	155.2828
92.500000	69.575	153.9102
93.800003	69.609	152.5436
95.000000	69.638	151.2531
96.199997	69.670	149.9222
97.500000	69.707	148.4445
98.800003	69.742	146.9589
100.000000	69.771	145.6111
