* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 22-Mar-2025 16:34:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ME Violen Solo L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	60.937	-96.6449
20.600000	62.431	-98.4038
20.900000	63.701	-102.6832
21.200001	64.437	-108.4791
21.400000	64.593	-112.5234
21.799999	64.090	-119.5037
22.000000	63.436	-121.7923
22.400000	61.404	-122.2036
22.700001	59.415	-117.3616
23.000000	57.318	-108.0486
23.299999	55.419	-97.8936
23.600000	53.936	-92.5432
24.000000	53.268	-97.6037
24.299999	54.477	-107.4039
24.700001	57.680	-117.1088
25.000000	60.210	-120.4557
25.400000	63.024	-123.4715
25.799999	64.985	-127.0620
26.200001	66.062	-131.8241
26.500000	66.324	-136.2528
26.900000	66.035	-143.5246
27.200001	65.441	-150.2367
27.600000	64.392	-160.9198
28.000000	63.459	-172.2182
28.500000	63.076	177.4639
29.000000	63.501	173.9208
29.500000	63.975	174.5842
30.000000	63.879	176.8173
30.400000	63.203	179.4910
30.700001	62.335	-177.5980
31.100000	60.783	-171.9815
31.500000	59.013	-164.8811
32.000000	57.105	-159.0103
32.500000	56.134	-162.6033
33.000000	56.093	-172.5044
33.500000	56.616	-179.5626
34.000000	57.558	179.7838
34.500000	58.836	-178.0381
35.000000	60.113	-177.9434
35.500000	61.023	178.6606
36.000000	61.404	173.2024
36.500000	61.276	167.9826
37.000000	60.793	165.2039
37.500000	60.233	166.1569
38.200001	59.849	172.0548
38.700001	59.899	176.0529
39.500000	60.024	178.5897
40.000000	59.979	178.5559
40.599998	59.902	178.3398
41.200001	59.963	178.5603
41.799999	60.143	178.9820
42.500000	60.221	179.4235
43.099998	59.995	-179.8558
43.700001	59.554	-178.4900
44.400002	59.047	-176.6758
45.000000	58.799	-175.7904
45.500000	58.717	-175.4551
46.200001	58.687	-174.4071
46.799999	58.706	-172.2685
47.500000	58.806	-169.1013
48.200001	58.970	-166.8433
48.700001	59.093	-166.0464
49.400002	59.277	-165.3782
50.000000	59.462	-164.6594
50.799999	59.684	-163.4928
51.500000	59.799	-162.6209
52.200001	59.937	-162.2029
53.000000	60.283	-162.5008
53.799999	60.785	-162.9446
54.500000	61.211	-162.6139
55.200001	61.539	-161.7255
56.000000	61.763	-161.0690
57.000000	61.917	-161.6553
58.000000	62.178	-162.6411
59.000000	62.616	-162.6681
60.000000	63.068	-162.1805
60.799999	63.396	-162.2653
61.500000	63.669	-163.0097
62.200001	63.918	-164.2109
63.000000	64.156	-165.7224
64.000000	64.382	-167.5055
65.000000	64.552	-169.3075
66.000000	64.696	-170.8733
67.000000	64.841	-171.7965
68.000000	64.968	-172.4567
69.000000	65.032	-173.4491
70.000000	65.060	-174.8521
71.000000	65.094	-176.3701
72.000000	65.143	-177.7742
73.000000	65.191	-179.1630
74.000000	65.227	179.4401
75.000000	65.265	178.2278
76.199997	65.325	177.0613
77.500000	65.381	175.9973
78.800003	65.420	175.1218
80.000000	65.446	174.5151
