* Measurement data measured by REW V5.40 beta 100
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 25-Sep-2025 10:36:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L MGA2 ANC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.922	155.7801
20.299999	70.889	155.1694
20.600000	70.871	154.5714
20.900000	70.857	153.9910
21.200001	70.838	153.4679
21.400000	70.820	153.1800
21.799999	70.770	152.8166
22.000000	70.743	152.7543
22.400000	70.701	152.8359
22.700001	70.684	153.0029
23.000000	70.677	153.1732
23.299999	70.672	153.2814
23.600000	70.659	153.2987
24.000000	70.606	153.2172
24.299999	70.534	153.1493
24.700001	70.406	153.1596
25.000000	70.304	153.2655
25.400000	70.183	153.4495
25.799999	70.087	153.4871
26.200001	69.999	153.2194
26.500000	69.917	152.8283
26.900000	69.775	152.2126
27.200001	69.648	151.8141
27.600000	69.480	151.4866
28.000000	69.347	151.3627
28.500000	69.252	151.2518
29.000000	69.201	150.9902
29.500000	69.158	150.6674
30.000000	69.123	150.4681
30.400000	69.110	150.3997
30.700001	69.107	150.3502
31.100000	69.102	150.2405
31.500000	69.081	150.0969
32.000000	69.021	149.9899
32.500000	68.942	150.0679
33.000000	68.864	150.2650
33.500000	68.793	150.3951
34.000000	68.710	150.3615
34.500000	68.599	150.2627
35.000000	68.472	150.2642
35.500000	68.366	150.3788
36.000000	68.304	150.4101
36.500000	68.268	150.1627
37.000000	68.216	149.6896
37.500000	68.132	149.2682
38.200001	68.009	149.1387
38.700001	67.960	149.2552
39.500000	67.923	149.2766
40.000000	67.877	149.2356
40.599998	67.801	149.4071
41.200001	67.749	149.7960
41.799999	67.735	150.0550
42.500000	67.706	149.9416
43.099998	67.624	149.7312
43.700001	67.516	149.7336
44.400002	67.430	149.9473
45.000000	67.400	149.9759
45.500000	67.374	149.7883
46.200001	67.298	149.4643
46.799999	67.217	149.4130
47.500000	67.157	149.5700
48.200001	67.130	149.6296
48.700001	67.105	149.5920
49.400002	67.055	149.6313
50.000000	67.013	149.7827
50.799999	66.953	149.8959
51.500000	66.878	149.8910
52.200001	66.797	150.0055
53.000000	66.742	150.2438
53.799999	66.714	150.3175
54.500000	66.677	150.3107
55.200001	66.631	150.4236
56.000000	66.593	150.6532
57.000000	66.550	150.8665
58.000000	66.496	151.0827
59.000000	66.448	151.2117
60.000000	66.381	151.2062
60.799999	66.320	151.3093
61.500000	66.285	151.4542
62.200001	66.262	151.5306
63.000000	66.228	151.5784
64.000000	66.185	151.8040
65.000000	66.163	152.0135
66.000000	66.128	152.1309
67.000000	66.096	152.2870
68.000000	66.063	152.3046
69.000000	66.009	152.3079
70.000000	65.956	152.3641
71.000000	65.902	152.4228
72.000000	65.847	152.5689
73.000000	65.798	152.7845
74.000000	65.756	153.0011
75.000000	65.712	153.1170
76.199997	65.639	153.3171
77.500000	65.597	153.6252
78.800003	65.566	153.6928
80.000000	65.532	153.7894
