* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Jul-2025 15:41:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MST2 B L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.174	-2.5517
20.600000	71.189	-2.7596
20.900000	71.202	-3.0803
21.200001	71.206	-3.4878
21.400000	71.202	-3.7871
21.799999	71.180	-4.3839
22.000000	71.165	-4.6537
22.400000	71.135	-5.0987
22.700001	71.120	-5.3534
23.000000	71.115	-5.5690
23.299999	71.117	-5.7815
23.600000	71.122	-6.0201
24.000000	71.124	-6.3981
24.299999	71.117	-6.7154
24.700001	71.096	-7.1456
25.000000	71.077	-7.4498
25.400000	71.056	-7.8180
25.799999	71.045	-8.1587
26.200001	71.046	-8.5021
26.500000	71.049	-8.7732
26.900000	71.052	-9.1495
27.200001	71.048	-9.4311
27.600000	71.035	-9.7860
28.000000	71.015	-10.1066
28.500000	70.988	-10.4709
29.000000	70.966	-10.8344
29.500000	70.950	-11.2334
30.000000	70.935	-11.6624
30.400000	70.921	-11.9941
30.700001	70.908	-12.2139
31.100000	70.891	-12.4528
31.500000	70.879	-12.6375
32.000000	70.875	-12.8515
32.500000	70.879	-13.1278
33.000000	70.874	-13.4925
33.500000	70.852	-13.8890
34.000000	70.818	-14.2452
34.500000	70.784	-14.5478
35.000000	70.756	-14.8361
35.500000	70.733	-15.1327
36.000000	70.710	-15.4086
36.500000	70.690	-15.6289
37.000000	70.679	-15.8124
37.500000	70.672	-16.0231
38.200001	70.653	-16.4340
38.700001	70.624	-16.7692
39.500000	70.568	-17.2411
40.000000	70.542	-17.4821
40.599998	70.523	-17.7561
41.200001	70.512	-18.0428
41.799999	70.498	-18.3488
42.500000	70.472	-18.7237
