* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Jul-2025 15:42:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MST2 B R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.055	-3.2257
20.600000	71.041	-3.3710
20.900000	71.023	-3.5358
21.200001	71.004	-3.7015
21.400000	70.993	-3.8176
21.799999	70.979	-4.0905
22.000000	70.977	-4.2582
22.400000	70.979	-4.6666
22.700001	70.984	-5.0291
23.000000	70.988	-5.4217
23.299999	70.991	-5.8241
23.600000	70.990	-6.2181
24.000000	70.984	-6.7109
24.299999	70.977	-7.0523
24.700001	70.965	-7.4766
25.000000	70.955	-7.7793
25.400000	70.941	-8.1714
25.799999	70.927	-8.5535
26.200001	70.911	-8.9215
26.500000	70.898	-9.1830
26.900000	70.881	-9.5050
27.200001	70.868	-9.7233
27.600000	70.852	-9.9844
28.000000	70.839	-10.2201
28.500000	70.826	-10.5056
29.000000	70.815	-10.8155
29.500000	70.804	-11.1717
30.000000	70.793	-11.5708
30.400000	70.783	-11.9079
30.700001	70.777	-12.1643
31.100000	70.769	-12.5058
31.500000	70.762	-12.8434
32.000000	70.752	-13.2558
32.500000	70.738	-13.6506
33.000000	70.719	-14.0226
33.500000	70.696	-14.3764
34.000000	70.675	-14.7238
34.500000	70.655	-15.0713
35.000000	70.636	-15.4102
35.500000	70.617	-15.7231
36.000000	70.599	-16.0026
36.500000	70.583	-16.2619
37.000000	70.571	-16.5273
37.500000	70.559	-16.8176
38.200001	70.540	-17.2593
38.700001	70.523	-17.5742
39.500000	70.490	-18.0309
40.000000	70.462	-18.2765
40.599998	70.423	-18.5362
41.200001	70.383	-18.7868
41.799999	70.355	-19.0803
42.500000	70.336	-19.5268
43.099998	70.324	-19.9757
43.700001	70.310	-20.4136
44.400002	70.286	-20.8309
45.000000	70.261	-21.0927
45.500000	70.239	-21.2613
46.200001	70.211	-21.4741
