* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-Aug-2024 15:44:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Block L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	61.980	-3.0810
20.600000	61.902	-4.1293
20.900000	61.923	-6.3520
21.200001	62.063	-9.8227
21.400000	62.185	-12.5782
21.799999	62.374	-17.8554
22.000000	62.410	-19.7443
22.400000	62.414	-20.8741
22.700001	62.472	-19.3052
23.000000	62.683	-16.6198
23.299999	63.023	-14.2983
23.600000	63.364	-13.4755
24.000000	63.581	-15.0882
24.299999	63.491	-17.7583
24.700001	63.151	-21.8828
25.000000	62.964	-24.5115
25.400000	63.208	-26.8641
25.799999	64.062	-28.5455
26.200001	65.075	-30.2014
26.500000	65.659	-31.1114
26.900000	66.061	-30.8376
27.200001	66.130	-28.9067
27.600000	66.146	-24.2957
28.000000	66.317	-19.9718
28.500000	66.688	-20.4036
29.000000	66.808	-29.4382
29.500000	66.455	-43.8432
30.000000	65.761	-55.6853
30.400000	65.306	-57.5240
30.700001	65.325	-53.4792
31.100000	65.962	-44.4849
31.500000	66.909	-37.0659
32.000000	67.775	-32.2073
32.500000	68.132	-29.2019
33.000000	68.478	-26.1262
33.500000	69.282	-24.7461
34.000000	70.274	-27.0243
34.500000	70.877	-31.7911
35.000000	70.759	-36.5195
35.500000	69.866	-38.9375
36.000000	68.451	-37.0181
36.500000	67.307	-30.3061
37.000000	67.491	-23.6981
37.500000	68.819	-22.6187
38.200001	70.561	-25.8854
38.700001	71.074	-25.4237
39.500000	71.421	-11.8316
40.000000	72.231	-2.9632
40.599998	73.507	-7.0950
41.200001	74.379	-23.4913
41.799999	74.753	-38.4991
42.500000	75.030	-42.1232
43.099998	75.522	-36.8925
43.700001	75.861	-33.1067
44.400002	75.295	-33.4322
45.000000	73.999	-35.0295
45.500000	72.824	-35.8454
46.200001	72.010	-36.8377
46.799999	72.187	-38.5573
47.500000	72.981	-41.1911
48.200001	74.357	-43.9141
48.700001	75.611	-45.3545
49.400002	77.369	-46.0429
50.000000	78.530	-45.7977
50.799999	79.182	-45.5638
51.500000	78.777	-46.0709
52.200001	77.554	-47.4526
53.000000	75.666	-49.7448
53.799999	74.444	-50.6461
54.500000	74.644	-48.9373
55.200001	75.384	-45.5314
56.000000	76.005	-38.3417
