* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-Aug-2024 15:44:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Block R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	57.051	-44.2561
20.600000	58.004	-35.8630
20.900000	59.365	-27.4509
21.200001	60.773	-22.0115
21.400000	61.586	-20.1751
21.799999	62.720	-19.4926
22.000000	63.024	-20.0401
22.400000	63.157	-21.7928
22.700001	62.941	-23.0907
23.000000	62.586	-24.0830
23.299999	62.240	-24.7864
23.600000	62.041	-25.4545
24.000000	62.127	-26.8530
24.299999	62.433	-28.4473
24.700001	63.026	-31.0114
25.000000	63.520	-32.9159
25.400000	64.163	-35.0472
25.799999	64.746	-36.5764
26.200001	65.249	-37.5536
26.500000	65.574	-37.9791
26.900000	65.949	-38.1804
27.200001	66.201	-38.0871
27.600000	66.517	-37.7441
28.000000	66.808	-37.3505
28.500000	67.084	-37.0721
29.000000	67.175	-37.0240
29.500000	67.061	-36.8316
30.000000	66.874	-36.2948
30.400000	66.833	-36.0224
30.700001	66.929	-36.3360
31.100000	67.214	-37.7987
31.500000	67.591	-40.3073
32.000000	68.028	-43.7425
32.500000	68.349	-45.9130
33.000000	68.612	-46.0133
33.500000	68.912	-44.7838
34.000000	69.250	-43.8176
34.500000	69.561	-44.1311
35.000000	69.833	-45.6913
35.500000	70.122	-47.9777
36.000000	70.435	-50.4678
36.500000	70.680	-52.6323
37.000000	70.766	-53.8321
37.500000	70.724	-53.5958
38.200001	70.760	-51.6835
38.700001	71.000	-50.9715
39.500000	71.537	-52.4077
40.000000	71.823	-53.7384
40.599998	72.112	-54.6533
41.200001	72.344	-55.1562
41.799999	72.463	-55.9007
42.500000	72.483	-56.8127
43.099998	72.577	-57.0308
43.700001	72.837	-56.8662
44.400002	73.203	-56.8506
45.000000	73.448	-57.1550
45.500000	73.641	-57.6778
46.200001	74.010	-58.9965
46.799999	74.395	-60.1646
47.500000	74.814	-59.7610
48.200001	75.231	-56.6360
48.700001	75.552	-54.0746
49.400002	75.900	-52.6928
50.000000	75.969	-54.2247
50.799999	75.843	-58.3935
51.500000	75.850	-62.0226
52.200001	76.042	-64.7398
53.000000	76.243	-66.6743
53.799999	76.329	-67.7805
54.500000	76.402	-68.8131
55.200001	76.525	-70.2262
56.000000	76.721	-71.8418
57.000000	77.004	-73.2726
58.000000	77.268	-74.3731
59.000000	77.507	-75.4761
60.000000	77.755	-76.5476
60.799999	77.956	-77.4554
61.500000	78.108	-78.2824
62.200001	78.241	-78.9954
63.000000	78.401	-79.6606
64.000000	78.627	-80.7187
65.000000	78.837	-82.1131
66.000000	79.061	-83.2616
67.000000	79.329	-83.9826
68.000000	79.583	-84.6829
69.000000	79.777	-85.8395
70.000000	79.931	-87.4757
71.000000	80.085	-89.0760
72.000000	80.249	-90.1987
73.000000	80.415	-90.9337
74.000000	80.578	-91.6023
75.000000	80.740	-92.3446
76.199997	80.934	-93.3850
77.500000	81.136	-94.7500
78.800003	81.336	-96.2046
80.000000	81.518	-97.4819
81.199997	81.692	-98.7869
82.500000	81.868	-100.3148
83.800003	82.053	-101.8387
85.000000	82.246	-103.0794
86.199997	82.442	-104.1340
87.500000	82.624	-105.2979
88.500000	82.740	-106.3022
90.000000	82.911	-107.8572
91.199997	83.054	-109.0358
92.500000	83.203	-110.2451
93.800003	83.337	-111.3965
95.000000	83.447	-112.4375
96.199997	83.550	-113.4996
97.500000	83.663	-114.6584
98.800003	83.786	-115.8441
100.000000	83.908	-117.0096
101.500000	84.066	-118.4807
103.000000	84.219	-119.8032
104.400002	84.350	-120.8815
106.000000	84.486	-122.1346
107.500000	84.597	-123.4925
109.000000	84.684	-124.9085
110.599998	84.774	-126.3189
112.000000	84.865	-127.4765
113.800003	84.990	-128.9553
115.000000	85.077	-129.9411
117.199997	85.230	-131.6255
118.000000	85.282	-132.2090
120.599998	85.430	-134.1280
122.000000	85.494	-135.1514
124.099998	85.584	-136.6366
125.000000	85.624	-137.2697
126.500000	85.691	-138.3615
128.000000	85.758	-139.5094
131.500000	85.882	-142.1305
132.000000	85.898	-142.4836
134.000000	85.972	-143.8801
136.000000	86.065	-145.2512
138.000000	86.156	-146.5526
140.000000	86.233	-147.8084
143.000000	86.330	-149.6882
145.000000	86.392	-150.9459
147.500000	86.455	-152.4600
150.000000	86.513	-153.8932
152.500000	86.571	-155.3251
155.000000	86.622	-156.8366
157.500000	86.669	-158.3108
160.000000	86.714	-159.7086
162.500000	86.754	-161.0331
165.000000	86.789	-162.2866
167.500000	86.813	-163.4578
170.000000	86.826	-164.5631
172.500000	86.832	-165.6473
175.000000	86.845	-166.7345
177.500000	86.861	-167.7859
180.000000	86.873	-168.7598
182.500000	86.882	-169.7032
185.000000	86.891	-170.6957
187.500000	86.905	-171.7370
190.000000	86.925	-172.7405
192.500000	86.946	-173.6604
195.000000	86.963	-174.5313
197.500000	86.980	-175.3890
200.000000	87.000	-176.2518
203.000000	87.018	-177.3458
206.000000	87.029	-178.5163
209.000000	87.042	-179.6977
212.000000	87.053	179.1585
214.000000	87.058	178.4465
218.000000	87.063	177.1245
220.000000	87.064	176.4956
224.000000	87.078	175.3134
227.000000	87.103	174.4708
230.000000	87.133	173.6315
233.000000	87.156	172.7913
236.000000	87.164	171.9420
240.000000	87.159	170.8090
243.000000	87.155	169.9790
247.000000	87.161	168.8865
250.000000	87.169	168.0425
254.000000	87.168	166.9039
258.000000	87.150	165.7850
262.000000	87.126	164.6864
265.000000	87.105	163.8835
269.000000	87.072	162.8827
272.000000	87.041	162.2034
276.000000	86.985	161.4006
280.000000	86.920	160.6859
285.000000	86.851	159.8422
290.000000	86.802	159.0208
295.000000	86.756	158.1616
300.000000	86.707	157.2667
304.000000	86.668	156.5600
307.000000	86.638	156.0476
311.000000	86.596	155.4177
315.000000	86.555	154.8947
320.000000	86.511	154.3729
325.000000	86.477	153.9108
330.000000	86.455	153.4150
335.000000	86.446	152.8462
340.000000	86.444	152.2314
345.000000	86.440	151.6097
350.000000	86.433	150.9847
355.000000	86.426	150.3531
360.000000	86.425	149.7551
365.000000	86.432	149.1982
370.000000	86.443	148.6970
375.000000	86.453	148.2741
382.000000	86.460	147.7236
387.000000	86.459	147.2674
395.000000	86.470	146.2803
400.000000	86.493	145.5909
406.000000	86.520	144.7723
412.000000	86.534	143.9582
418.000000	86.531	143.1010
425.000000	86.520	142.1144
431.000000	86.512	141.3290
437.000000	86.507	140.6241
444.000000	86.497	139.9197
450.000000	86.489	139.4108
455.000000	86.486	139.0281
462.000000	86.483	138.5031
468.000000	86.488	138.0312
475.000000	86.504	137.5188
482.000000	86.513	137.1106
487.000000	86.508	136.8551
494.000000	86.496	136.5211
500.000000	86.495	136.2167
