* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -26.7 dBFS, measurement signal peak level -23.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 14-Sep-2023 21:31:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Chu L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.170	-106.0240
20.299999	74.281	-106.9541
20.600000	74.388	-107.8475
20.900000	74.489	-108.7129
21.200001	74.583	-109.5546
21.400000	74.640	-110.1024
21.799999	74.744	-111.1664
22.000000	74.791	-111.6846
22.400000	74.878	-112.7021
22.700001	74.939	-113.4595
23.000000	74.996	-114.2224
23.299999	75.050	-114.9959
23.600000	75.101	-115.7813
24.000000	75.162	-116.8452
24.299999	75.205	-117.6514
24.700001	75.259	-118.7309
25.000000	75.299	-119.5397
25.400000	75.353	-120.6133
25.799999	75.409	-121.6783
26.200001	75.467	-122.7302
26.500000	75.510	-123.5049
26.900000	75.568	-124.5096
27.200001	75.611	-125.2355
27.600000	75.669	-126.1626
28.000000	75.727	-127.0462
28.500000	75.796	-128.0994
29.000000	75.857	-129.0978
29.500000	75.907	-130.0310
30.000000	75.949	-130.8946
30.400000	75.976	-131.5442
30.700001	75.992	-132.0141
31.100000	76.010	-132.6230
31.500000	76.022	-133.2118
32.000000	76.031	-133.9162
32.500000	76.035	-134.5836
33.000000	76.036	-135.2083
33.500000	76.035	-135.7702
34.000000	76.039	-136.2447
34.500000	76.058	-136.6414
35.000000	76.099	-137.0211
35.500000	76.161	-137.4743
36.000000	76.231	-138.0553
36.500000	76.297	-138.7511
37.000000	76.351	-139.4991
37.500000	76.393	-140.2422
38.200001	76.437	-141.2345
38.700001	76.460	-141.9140
39.500000	76.485	-142.9462
40.000000	76.495	-143.5431
40.599998	76.506	-144.2124
41.200001	76.515	-144.8456
41.799999	76.522	-145.4405
42.500000	76.527	-146.0637
43.099998	76.528	-146.5332
43.700001	76.529	-146.9503
44.400002	76.531	-147.3666
45.000000	76.541	-147.6778
45.500000	76.557	-147.9579
46.200001	76.585	-148.4768
46.799999	76.597	-149.0494
47.500000	76.589	-149.7432
48.200001	76.569	-150.3477
48.700001	76.558	-150.7269
49.400002	76.547	-151.2331
50.000000	76.534	-151.6471
50.799999	76.510	-152.1198
51.500000	76.494	-152.4581
