* Measurement data measured by REW V5.31.3
* Source: D:\Graphs\TXT\Moondrop Edge A L.txt
* Format: Comma/Tab/Space delimited data
* Dated: 13-Jan-2025 15:27:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Edge A L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	76.272
20.600000	76.255
20.900000	76.226
21.200001	76.181
21.400000	76.136
21.799999	76.012
22.000000	75.938
22.400000	75.785
22.700001	75.676
23.000000	75.573
23.299999	75.479
23.600000	75.396
24.000000	75.278
24.299999	75.182
24.700001	75.093
25.000000	75.060
25.400000	75.036
25.799999	75.019
26.200001	75.006
26.500000	74.995
26.900000	74.970
27.200001	74.936
27.600000	74.874
28.000000	74.812
28.500000	74.748
29.000000	74.659
29.500000	74.519
30.000000	74.377
30.400000	74.301
30.700001	74.259
31.100000	74.202
31.500000	74.125
32.000000	74.005
32.500000	73.880
33.000000	73.765
33.500000	73.666
34.000000	73.586
34.500000	73.528
35.000000	73.485
35.500000	73.449
36.000000	73.412
36.500000	73.369
37.000000	73.322
37.500000	73.275
38.200001	73.215
38.700001	73.177
39.500000	73.112
40.000000	73.057
40.599998	72.972
41.200001	72.873
41.799999	72.770
42.500000	72.650
43.099998	72.551
43.700001	72.459
44.400002	72.365
45.000000	72.300
45.500000	72.260
46.200001	72.221
46.799999	72.200
47.500000	72.184
48.200001	72.173
48.700001	72.166
49.400002	72.158
50.000000	72.148
50.799999	72.130
51.500000	72.110
52.200001	72.089
53.000000	72.062
53.799999	72.035
54.500000	72.010
55.200001	71.983
56.000000	71.952
57.000000	71.910
58.000000	71.865
59.000000	71.815
60.000000	71.758
60.799999	71.706
61.500000	71.656
62.200001	71.604
63.000000	71.542
64.000000	71.465
65.000000	71.387
66.000000	71.311
67.000000	71.237
68.000000	71.166
69.000000	71.101
70.000000	71.045
71.000000	70.998
72.000000	70.961
73.000000	70.929
74.000000	70.902
75.000000	70.878
76.199997	70.851
77.500000	70.825
78.800003	70.800
80.000000	70.777
81.199997	70.753
82.500000	70.725
83.800003	70.696
85.000000	70.668
86.199997	70.638
87.500000	70.605
88.500000	70.577
90.000000	70.532
91.199997	70.493
92.500000	70.448
93.800003	70.398
95.000000	70.350
96.199997	70.297
97.500000	70.233
98.800003	70.159
100.000000	70.080
101.500000	69.976
103.000000	69.894
104.400002	69.839
106.000000	69.793
107.500000	69.757
109.000000	69.721
110.599998	69.679
112.000000	69.638
113.800003	69.579
115.000000	69.538
117.199997	69.462
118.000000	69.435
120.599998	69.352
122.000000	69.312
124.099998	69.256
125.000000	69.233
126.500000	69.195
128.000000	69.156
131.500000	69.055
132.000000	69.040
134.000000	68.975
136.000000	68.910
138.000000	68.845
140.000000	68.782
143.000000	68.694
145.000000	68.637
147.500000	68.567
150.000000	68.493
152.500000	68.416
155.000000	68.335
157.500000	68.255
160.000000	68.178
162.500000	68.106
165.000000	68.034
167.500000	67.959
170.000000	67.877
172.500000	67.786
175.000000	67.692
177.500000	67.605
180.000000	67.532
182.500000	67.479
185.000000	67.448
187.500000	67.439
190.000000	67.453
192.500000	67.489
195.000000	67.538
197.500000	67.587
200.000000	67.628
203.000000	67.665
206.000000	67.696
209.000000	67.728
212.000000	67.768
214.000000	67.802
218.000000	67.904
220.000000	67.979
224.000000	68.177
