* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 11:34:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Moca Ref ANC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.326	25.3200
20.600000	70.267	24.6316
20.900000	70.191	23.8910
21.200001	70.111	23.2438
21.400000	70.061	22.8707
21.799999	69.975	22.1967
22.000000	69.937	21.8601
22.400000	69.865	21.1336
22.700001	69.808	20.5408
23.000000	69.745	19.9360
23.299999	69.678	19.3584
23.600000	69.611	18.8432
24.000000	69.529	18.2875
24.299999	69.476	17.9715
24.700001	69.416	17.6644
25.000000	69.375	17.5009
25.400000	69.319	17.3493
25.799999	69.256	17.2570
26.200001	69.188	17.2083
26.500000	69.137	17.1880
26.900000	69.075	17.1595
27.200001	69.037	17.1197
27.600000	69.002	17.0231
28.000000	68.982	16.8764
28.500000	68.969	16.6672
29.000000	68.956	16.5189
29.500000	68.936	16.5049
30.000000	68.908	16.6253
30.400000	68.878	16.7798
30.700001	68.852	16.9079
31.100000	68.812	17.0803
31.500000	68.770	17.2485
32.000000	68.724	17.4443
32.500000	68.692	17.6006
33.000000	68.675	17.6938
33.500000	68.667	17.7334
34.000000	68.658	17.7607
34.500000	68.648	17.8126
35.000000	68.635	17.8990
35.500000	68.622	18.0129
36.000000	68.612	18.1486
36.500000	68.607	18.2973
37.000000	68.610	18.4355
37.500000	68.622	18.5311
38.200001	68.643	18.5642
38.700001	68.653	18.5309
39.500000	68.657	18.4577
40.000000	68.649	18.4654
40.599998	68.635	18.6115
41.200001	68.629	18.9373
41.799999	68.643	19.3752
42.500000	68.685	19.8659
43.099998	68.735	20.1809
43.700001	68.795	20.3768
44.400002	68.877	20.4422
45.000000	68.952	20.3589
45.500000	69.014	20.2175
46.200001	69.091	19.9694
46.799999	69.146	19.7273
47.500000	69.189	19.3741
48.200001	69.204	18.9210
48.700001	69.198	18.5670
49.400002	69.180	18.1024
50.000000	69.170	17.7644
50.799999	69.168	17.3619
51.500000	69.163	17.0071
52.200001	69.143	16.6447
53.000000	69.106	16.2313
53.799999	69.064	15.8214
54.500000	69.028	15.4826
55.200001	68.994	15.1766
56.000000	68.958	14.8526
57.000000	68.924	14.4752
58.000000	68.905	14.1806
59.000000	68.890	13.9766
60.000000	68.863	13.8131
60.799999	68.839	13.6854
61.500000	68.823	13.5756
62.200001	68.810	13.4900
63.000000	68.793	13.4462
64.000000	68.761	13.4453
65.000000	68.723	13.4002
66.000000	68.685	13.2461
67.000000	68.649	13.0507
68.000000	68.614	12.9111
69.000000	68.582	12.8430
70.000000	68.557	12.8048
71.000000	68.538	12.7453
72.000000	68.518	12.6481
73.000000	68.494	12.5194
74.000000	68.466	12.3641
75.000000	68.432	12.2103
76.199997	68.386	12.0662
77.500000	68.336	11.9571
78.800003	68.292	11.8934
80.000000	68.258	11.8347
81.199997	68.224	11.7287
82.500000	68.186	11.6248
83.800003	68.155	11.5993
85.000000	68.129	11.6295
86.199997	68.098	11.6547
87.500000	68.056	11.6282
88.500000	68.022	11.5689
90.000000	67.975	11.4564
91.199997	67.939	11.3858
92.500000	67.897	11.3556
93.800003	67.856	11.3712
95.000000	67.825	11.3963
96.199997	67.798	11.4106
97.500000	67.767	11.4303
98.800003	67.734	11.4604
100.000000	67.701	11.4732
101.500000	67.658	11.4701
103.000000	67.614	11.4927
104.400002	67.572	11.5471
106.000000	67.521	11.6017
107.500000	67.471	11.6339
109.000000	67.420	11.6566
