* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 11:13:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Moca UB ANC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.533	31.1168
20.600000	76.465	30.1359
20.900000	76.383	28.9326
21.200001	76.303	27.6964
21.400000	76.255	26.8959
21.799999	76.172	25.3951
22.000000	76.135	24.7040
22.400000	76.068	23.4551
22.700001	76.018	22.6434
23.000000	75.967	21.9412
23.299999	75.913	21.3410
23.600000	75.859	20.8249
24.000000	75.788	20.2205
24.299999	75.736	19.7936
24.700001	75.666	19.2224
25.000000	75.608	18.7884
25.400000	75.523	18.2268
25.799999	75.429	17.7295
26.200001	75.333	17.3338
26.500000	75.265	17.1047
26.900000	75.188	16.8598
27.200001	75.141	16.6910
27.600000	75.090	16.4462
28.000000	75.047	16.1593
28.500000	74.993	15.7556
29.000000	74.931	15.3422
29.500000	74.860	14.9441
30.000000	74.782	14.5611
30.400000	74.717	14.2691
30.700001	74.667	14.0685
31.100000	74.605	13.8431
31.500000	74.552	13.6818
32.000000	74.505	13.5747
32.500000	74.477	13.5495
33.000000	74.461	13.5725
33.500000	74.448	13.6188
34.000000	74.434	13.6690
34.500000	74.423	13.6949
35.000000	74.421	13.6602
35.500000	74.428	13.5403
36.000000	74.441	13.3396
36.500000	74.454	13.0862
37.000000	74.465	12.8124
37.500000	74.470	12.5385
38.200001	74.468	12.1756
38.700001	74.465	11.9474
39.500000	74.474	11.6548
40.000000	74.493	11.5007
40.599998	74.527	11.3149
41.200001	74.563	11.1213
41.799999	74.597	10.9245
42.500000	74.638	10.6589
43.099998	74.677	10.3461
43.700001	74.714	9.9355
44.400002	74.751	9.3767
45.000000	74.777	8.8820
45.500000	74.794	8.4752
46.200001	74.811	7.9069
46.799999	74.817	7.4133
47.500000	74.810	6.8503
48.200001	74.790	6.3340
48.700001	74.771	5.9889
49.400002	74.734	5.5033
50.000000	74.688	5.0705
50.799999	74.605	4.5002
51.500000	74.528	4.0319
52.200001	74.463	3.5889
53.000000	74.410	3.1173
53.799999	74.376	2.6975
54.500000	74.350	2.3717
55.200001	74.319	2.0787
56.000000	74.274	1.7759
57.000000	74.214	1.4215
58.000000	74.162	1.0716
59.000000	74.120	0.7357
60.000000	74.074	0.4593
60.799999	74.033	0.2688
61.500000	73.995	0.0903
62.200001	73.957	-0.1031
63.000000	73.915	-0.3214
64.000000	73.866	-0.5588
65.000000	73.818	-0.7518
66.000000	73.772	-0.9273
67.000000	73.726	-1.0883
68.000000	73.681	-1.2213
69.000000	73.639	-1.3606
70.000000	73.596	-1.5243
71.000000	73.554	-1.6972
72.000000	73.509	-1.8628
73.000000	73.459	-2.0134
74.000000	73.410	-2.1611
75.000000	73.363	-2.2971
76.199997	73.316	-2.4259
77.500000	73.276	-2.5643
78.800003	73.241	-2.7162
80.000000	73.205	-2.8508
81.199997	73.163	-2.9775
82.500000	73.117	-3.1181
83.800003	73.074	-3.2819
85.000000	73.025	-3.4622
86.199997	72.962	-3.6623
87.500000	72.887	-3.8965
88.500000	72.832	-4.0853
90.000000	72.752	-4.3575
91.199997	72.687	-4.5558
92.500000	72.616	-4.7479
93.800003	72.549	-4.9315
95.000000	72.489	-5.1210
96.199997	72.425	-5.3241
97.500000	72.351	-5.5294
98.800003	72.274	-5.7066
100.000000	72.205	-5.8572
101.500000	72.130	-6.0679
103.000000	72.063	-6.3071
104.400002	71.995	-6.5021
106.000000	71.906	-6.6526
107.500000	71.820	-6.7456
109.000000	71.739	-6.8274
110.599998	71.657	-6.9201
112.000000	71.585	-7.0248
113.800003	71.490	-7.1949
115.000000	71.426	-7.3039
117.199997	71.305	-7.4460
118.000000	71.259	-7.4764
120.599998	71.110	-7.4715
122.000000	71.031	-7.4285
124.099998	70.916	-7.3406
125.000000	70.869	-7.2897
126.500000	70.792	-7.1975
128.000000	70.716	-7.1195
131.500000	70.530	-6.9823
132.000000	70.504	-6.9545
134.000000	70.403	-6.8004
136.000000	70.306	-6.5977
138.000000	70.211	-6.3786
140.000000	70.118	-6.1600
143.000000	69.970	-5.8149
145.000000	69.864	-5.5941
147.500000	69.731	-5.3239
150.000000	69.605	-4.9716
152.500000	69.482	-4.5436
155.000000	69.359	-4.1427
157.500000	69.234	-3.7830
160.000000	69.112	-3.4380
162.500000	68.996	-3.1156
165.000000	68.888	-2.7401
167.500000	68.784	-2.2525
170.000000	68.679	-1.6875
172.500000	68.568	-1.1255
175.000000	68.452	-0.6127
177.500000	68.335	-0.1258
180.000000	68.223	0.3930
182.500000	68.122	0.9656
185.000000	68.029	1.5693
187.500000	67.939	2.1498
190.000000	67.848	2.6839
192.500000	67.755	3.2168
195.000000	67.654	3.8012
197.500000	67.546	4.4211
200.000000	67.439	5.0497
203.000000	67.323	5.8376
206.000000	67.221	6.6759
209.000000	67.125	7.5321
212.000000	67.028	8.3741
214.000000	66.960	8.9217
218.000000	66.816	10.0011
220.000000	66.743	10.5574
224.000000	66.602	11.7785
227.000000	66.507	12.7849
230.000000	66.425	13.8219
233.000000	66.359	14.8702
236.000000	66.308	15.9424
240.000000	66.257	17.3544
243.000000	66.226	18.3807
247.000000	66.186	19.7497
250.000000	66.155	20.7541
254.000000	66.119	21.9817
258.000000	66.094	23.1040
262.000000	66.074	24.2033
265.000000	66.059	25.0514
269.000000	66.044	26.2108
272.000000	66.040	27.0869
276.000000	66.046	28.2227
280.000000	66.057	29.3136
285.000000	66.069	30.6632
290.000000	66.090	31.9915
295.000000	66.124	33.2221
300.000000	66.163	34.3522
304.000000	66.194	35.2129
307.000000	66.221	35.8354
311.000000	66.263	36.6325
315.000000	66.308	37.3999
320.000000	66.366	38.3409
325.000000	66.428	39.2360
330.000000	66.495	40.0676
335.000000	66.566	40.9021
340.000000	66.638	41.7827
345.000000	66.708	42.6388
350.000000	66.773	43.4176
355.000000	66.834	44.1247
360.000000	66.895	44.7750
365.000000	66.954	45.3616
370.000000	67.012	45.9090
375.000000	67.071	46.4485
382.000000	67.159	47.1763
387.000000	67.220	47.6315
395.000000	67.300	48.1555
400.000000	67.343	48.3800
406.000000	67.393	48.6280
412.000000	67.445	48.8913
418.000000	67.491	49.1895
425.000000	67.536	49.5667
431.000000	67.569	49.8765
437.000000	67.597	50.1178
444.000000	67.622	50.3265
450.000000	67.642	50.5181
455.000000	67.659	50.7146
462.000000	67.682	51.0954
468.000000	67.701	51.5142
475.000000	67.720	51.9987
482.000000	67.737	52.3887
487.000000	67.749	52.6160
494.000000	67.767	52.9328
500.000000	67.781	53.2505
508.000000	67.799	53.7030
515.000000	67.817	54.0923
522.000000	67.836	54.4741
530.000000	67.859	54.8926
538.000000	67.879	55.2664
545.000000	67.895	55.5304
552.000000	67.907	55.7232
560.000000	67.919	55.8909
570.000000	67.926	56.1044
580.000000	67.923	56.3131
590.000000	67.912	56.5166
600.000000	67.901	56.7128
608.000000	67.892	56.8737
615.000000	67.879	57.0195
622.000000	67.862	57.1758
630.000000	67.836	57.3739
640.000000	67.797	57.6457
650.000000	67.753	57.9526
660.000000	67.708	58.2432
670.000000	67.659	58.4540
680.000000	67.609	58.6666
690.000000	67.561	58.9625
700.000000	67.516	59.3225
710.000000	67.472	59.6851
720.000000	67.427	60.0439
730.000000	67.380	60.4175
740.000000	67.329	60.7963
750.000000	67.267	61.1966
762.000000	67.182	61.7344
775.000000	67.090	62.4149
788.000000	67.005	63.1856
800.000000	66.936	63.9320
812.000000	66.871	64.7218
825.000000	66.807	65.7021
838.000000	66.753	66.8065
850.000000	66.711	67.8466
862.000000	66.675	68.8708
875.000000	66.637	69.9456
885.000000	66.604	70.7261
900.000000	66.553	71.8092
912.000000	66.514	72.5882
925.000000	66.476	73.3399
938.000000	66.445	74.0511
950.000000	66.419	74.7508
962.000000	66.399	75.5309
975.000000	66.388	76.4488
988.000000	66.389	77.3874
1000.000000	66.396	78.2343
1015.000000	66.404	79.2176
1030.000000	66.407	80.1014
1044.000000	66.407	80.8232
1060.000000	66.407	81.5118
1075.000000	66.408	82.1144
1090.000000	66.409	82.7249
1106.000000	66.411	83.3244
1120.000000	66.414	83.7995
1138.000000	66.414	84.3875
1150.000000	66.412	84.7888
1172.000000	66.407	85.5996
1180.000000	66.405	85.9260
1206.000000	66.394	87.1169
1220.000000	66.383	87.8360
1241.000000	66.362	88.9695
1250.000000	66.352	89.4739
1265.000000	66.336	90.3445
1280.000000	66.324	91.2401
1315.000000	66.308	93.2432
1320.000000	66.305	93.5019
1340.000000	66.298	94.4649
1360.000000	66.300	95.3650
1380.000000	66.311	96.2811
1400.000000	66.328	97.2464
1430.000000	66.377	98.8358
1450.000000	66.434	99.9605
1475.000000	66.530	101.3653
1500.000000	66.644	102.6871
1525.000000	66.774	103.8082
1550.000000	66.915	104.7022
1575.000000	67.066	105.4147
1600.000000	67.232	106.0703
1625.000000	67.411	106.7122
1650.000000	67.603	107.3318
1675.000000	67.804	107.9638
1700.000000	68.005	108.5988
1725.000000	68.205	109.2201
1750.000000	68.415	109.7966
1775.000000	68.642	110.2505
1800.000000	68.875	110.4780
1825.000000	69.106	110.4072
1850.000000	69.341	110.0507
1875.000000	69.579	109.4616
1900.000000	69.809	108.6974
1925.000000	70.027	107.8080
1950.000000	70.236	106.8583
1975.000000	70.438	105.9265
2000.000000	70.631	105.0613
2030.000000	70.855	104.1045
2060.000000	71.066	103.1628
2090.000000	71.267	102.1105
2120.000000	71.456	100.8244
2140.000000	71.575	99.8064
2180.000000	71.804	97.4829
2200.000000	71.916	96.2557
2240.000000	72.132	93.7684
2270.000000	72.292	91.8751
2300.000000	72.449	89.9579
2330.000000	72.598	88.0177
2360.000000	72.736	86.0266
2400.000000	72.904	83.2644
2430.000000	73.018	81.1546
2470.000000	73.159	78.4112
2500.000000	73.261	76.4264
2540.000000	73.386	73.8055
2580.000000	73.497	71.1357
2620.000000	73.590	68.4090
2650.000000	73.653	66.3500
2690.000000	73.726	63.6175
2720.000000	73.772	61.5784
2760.000000	73.814	58.8995
2800.000000	73.843	56.3931
2850.000000	73.872	53.7586
2900.000000	73.891	51.7623
2950.000000	73.895	50.2541
3000.000000	73.885	48.9492
3040.000000	73.866	47.8697
3070.000000	73.844	46.9681
3110.000000	73.808	45.6485
3150.000000	73.770	44.2585
3200.000000	73.723	42.4570
3250.000000	73.679	40.5515
3300.000000	73.636	38.5966
3350.000000	73.599	36.8544
3400.000000	73.577	35.5729
3450.000000	73.558	34.5994
3500.000000	73.529	33.6049
3550.000000	73.496	32.4692
3600.000000	73.463	31.2581
3650.000000	73.433	30.1278
3700.000000	73.410	29.2331
3750.000000	73.391	28.5794
3820.000000	73.366	27.8772
3870.000000	73.347	27.4107
3950.000000	73.311	26.7887
4000.000000	73.290	26.5740
4060.000000	73.264	26.3778
4120.000000	73.229	26.0371
4180.000000	73.183	25.3630
4250.000000	73.117	24.1077
4310.000000	73.054	22.7874
4370.000000	72.986	21.4068
4440.000000	72.902	19.7730
4500.000000	72.828	18.3049
4550.000000	72.770	16.9611
4620.000000	72.686	14.6489
4680.000000	72.608	12.1456
4750.000000	72.518	8.8019
4820.000000	72.433	5.2319
4870.000000	72.375	2.5762
4940.000000	72.294	-1.2001
5000.000000	72.227	-4.3150
5080.000000	72.138	-8.0813
5150.000000	72.062	-10.9492
5220.000000	71.989	-13.3647
5300.000000	71.918	-15.5107
5380.000000	71.850	-17.1863
5450.000000	71.780	-18.5190
5520.000000	71.695	-19.8314
5600.000000	71.575	-21.2433
5700.000000	71.379	-22.7146
5800.000000	71.119	-23.9062
5900.000000	70.799	-24.9517
6000.000000	70.455	-25.6713
6080.000000	70.185	-25.8230
6150.000000	69.966	-25.5769
6220.000000	69.767	-24.9955
6300.000000	69.568	-24.0396
6400.000000	69.361	-22.6808
6500.000000	69.201	-21.2908
6600.000000	69.093	-19.6154
6700.000000	69.048	-17.2761
6800.000000	69.075	-14.0708
6900.000000	69.178	-10.0617
7000.000000	69.357	-5.5285
7100.000000	69.607	-0.7516
7200.000000	69.926	4.0221
7300.000000	70.314	8.5312
7400.000000	70.766	12.4040
7500.000000	71.269	15.3008
7620.000000	71.902	17.2403
7750.000000	72.534	17.0057
7880.000000	72.975	13.8712
8000.000000	73.098	8.3876
8120.000000	72.890	1.0133
8250.000000	72.307	-7.6453
8380.000000	71.439	-15.4595
8500.000000	70.483	-21.2348
8620.000000	69.473	-25.4262
8750.000000	68.404	-28.2560
8850.000000	67.631	-29.5325
9000.000000	66.562	-30.5474
9120.000000	65.788	-30.6845
9250.000000	65.032	-30.1382
9380.000000	64.359	-29.0075
9500.000000	63.807	-27.5585
9620.000000	63.315	-25.7332
9750.000000	62.844	-23.2964
9880.000000	62.433	-20.2663
10000.000000	62.104	-16.8702
10150.000000	61.760	-11.9468
10300.000000	61.496	-6.3593
10440.000000	61.327	-0.6316
10600.000000	61.224	6.2322
10750.000000	61.203	12.8398
10900.000000	61.248	19.7491
11060.000000	61.377	27.4701
11200.000000	61.564	34.1364
11380.000000	61.925	41.8445
11500.000000	62.253	46.1125
11720.000000	63.063	52.1122
11800.000000	63.436	53.8628
12060.000000	64.971	57.9380
12200.000000	66.001	58.5388
12410.000000	67.740	56.3199
12500.000000	68.506	53.9106
12650.000000	69.706	47.5912
12800.000000	70.676	38.2857
13150.000000	71.249	7.9367
13200.000000	71.102	3.2529
13400.000000	70.005	-14.4123
13600.000000	68.316	-28.5550
13800.000000	66.358	-38.1343
14000.000000	64.393	-43.5486
14300.000000	61.795	-46.2332
14500.000000	60.403	-46.3637
14750.000000	59.044	-46.5424
15000.000000	58.070	-46.7843
15250.000000	57.447	-46.6095
15500.000000	57.154	-45.9829
15750.000000	57.134	-46.0904
16000.000000	57.248	-48.7068
16250.000000	57.221	-54.8951
16500.000000	56.722	-64.0512
16750.000000	55.541	-73.5986
17000.000000	53.649	-80.7853
17250.000000	51.179	-83.8069
17500.000000	48.337	-81.2350
17750.000000	45.409	-70.9753
18000.000000	42.832	-46.8452
18250.000000	41.202	4.5034
18500.000000	40.837	54.3828
18750.000000	41.321	80.1466
19000.000000	42.107	98.2468
19250.000000	42.948	114.6536
19500.000000	43.740	129.6522
19750.000000	44.375	141.1785
20000.000000	44.717	147.2376
