* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 10:43:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Moca L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.841	45.4614
20.600000	69.875	45.0958
20.900000	69.927	44.6018
21.200001	69.989	44.0036
21.400000	70.032	43.5500
21.799999	70.112	42.5395
22.000000	70.144	42.0062
22.400000	70.191	40.9485
22.700001	70.216	40.1984
23.000000	70.237	39.4914
23.299999	70.260	38.8113
23.600000	70.284	38.1366
24.000000	70.317	37.2288
24.299999	70.340	36.5544
24.700001	70.368	35.7055
25.000000	70.390	35.1258
25.400000	70.428	34.4170
25.799999	70.473	33.7280
26.200001	70.517	33.0075
26.500000	70.540	32.4491
26.900000	70.553	31.7331
27.200001	70.552	31.2622
27.600000	70.549	30.7565
28.000000	70.559	30.3585
28.500000	70.597	29.8720
29.000000	70.648	29.2562
29.500000	70.686	28.5035
30.000000	70.702	27.7008
30.400000	70.708	27.0547
30.700001	70.712	26.5592
31.100000	70.720	25.8677
31.500000	70.727	25.1491
32.000000	70.733	24.2847
32.500000	70.738	23.5489
33.000000	70.754	22.9490
33.500000	70.777	22.3973
34.000000	70.792	21.8253
34.500000	70.787	21.2585
35.000000	70.770	20.7568
35.500000	70.760	20.3095
36.000000	70.766	19.8322
36.500000	70.778	19.2705
37.000000	70.783	18.6635
37.500000	70.782	18.0867
38.200001	70.787	17.3476
38.700001	70.798	16.8094
39.500000	70.810	15.9633
40.000000	70.813	15.5387
40.599998	70.824	15.1358
41.200001	70.838	14.7388
41.799999	70.838	14.2970
42.500000	70.819	13.8004
43.099998	70.810	13.4108
43.700001	70.821	12.9846
44.400002	70.847	12.4017
45.000000	70.865	11.8992
45.500000	70.872	11.5325
46.200001	70.871	11.1091
46.799999	70.862	10.7771
47.500000	70.847	10.3212
48.200001	70.831	9.7223
48.700001	70.818	9.2387
49.400002	70.799	8.6137
50.000000	70.791	8.2207
50.799999	70.799	7.8897
51.500000	70.813	7.6725
52.200001	70.826	7.4362
53.000000	70.841	7.0687
53.799999	70.850	6.5634
54.500000	70.842	6.0907
55.200001	70.821	5.7055
56.000000	70.801	5.3837
57.000000	70.796	5.0111
58.000000	70.799	4.6281
59.000000	70.804	4.2774
