* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 10:43:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Moca L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.965	50.3876
20.600000	69.969	49.6575
20.900000	69.972	48.8279
21.200001	69.976	48.0533
21.400000	69.983	47.5853
21.799999	70.012	46.7284
22.000000	70.033	46.3149
22.400000	70.077	45.4787
22.700001	70.107	44.8414
23.000000	70.133	44.2105
23.299999	70.155	43.6007
23.600000	70.176	43.0179
24.000000	70.208	42.2774
24.299999	70.234	41.7473
24.700001	70.269	41.0935
25.000000	70.294	40.6712
25.400000	70.329	40.2373
25.799999	70.371	39.9493
26.200001	70.426	39.7391
26.500000	70.473	39.5668
26.900000	70.536	39.2409
27.200001	70.577	38.9003
27.600000	70.615	38.3276
28.000000	70.634	37.6645
28.500000	70.640	36.7942
29.000000	70.641	35.9640
29.500000	70.648	35.2569
30.000000	70.665	34.7413
30.400000	70.689	34.4741
30.700001	70.714	34.3338
31.100000	70.751	34.1728
31.500000	70.786	33.9810
32.000000	70.811	33.6439
32.500000	70.808	33.2037
33.000000	70.787	32.6854
33.500000	70.767	32.0742
34.000000	70.760	31.3336
34.500000	70.764	30.4845
35.000000	70.771	29.6383
35.500000	70.778	28.9294
36.000000	70.788	28.4168
36.500000	70.799	28.0556
37.000000	70.804	27.7538
37.500000	70.798	27.4361
38.200001	70.780	26.8872
38.700001	70.772	26.4044
39.500000	70.769	25.6050
40.000000	70.770	25.2382
40.599998	70.777	25.0018
41.200001	70.795	24.8323
41.799999	70.813	24.4904
42.500000	70.815	23.7984
43.099998	70.805	23.1382
43.700001	70.802	22.6080
44.400002	70.811	22.2312
