* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 14:19:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moca Solis Bass ANC L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.098	24.6694
20.600000	74.002	23.9096
20.900000	73.873	22.9767
21.200001	73.731	21.9989
21.400000	73.638	21.3384
21.799999	73.470	19.9775
22.000000	73.399	19.2632
22.400000	73.281	17.7553
22.700001	73.208	16.5779
23.000000	73.143	15.4064
23.299999	73.082	14.2908
23.600000	73.024	13.2722
24.000000	72.952	12.0972
24.299999	72.901	11.3446
24.700001	72.838	10.4659
25.000000	72.789	9.8641
25.400000	72.717	9.0984
25.799999	72.634	8.3557
26.200001	72.540	7.6357
26.500000	72.466	7.1160
26.900000	72.366	6.4606
27.200001	72.295	6.0039
27.600000	72.211	5.4466
28.000000	72.147	4.9400
28.500000	72.096	4.3330
29.000000	72.067	3.6874
29.500000	72.040	2.9785
30.000000	71.995	2.2666
30.400000	71.946	1.7587
30.700001	71.908	1.4320
31.100000	71.864	1.0554
31.500000	71.834	0.7023
32.000000	71.815	0.2173
32.500000	71.801	-0.3420
33.000000	71.778	-0.9246
33.500000	71.741	-1.4654
34.000000	71.694	-1.9520
34.500000	71.642	-2.4127
35.000000	71.585	-2.8499
35.500000	71.528	-3.2100
36.000000	71.482	-3.4313
36.500000	71.460	-3.5113
37.000000	71.463	-3.5139
37.500000	71.481	-3.5165
38.200001	71.511	-3.6020
38.700001	71.533	-3.7496
39.500000	71.579	-4.1844
40.000000	71.617	-4.5765
40.599998	71.670	-5.1226
41.200001	71.724	-5.7110
41.799999	71.764	-6.3143
42.500000	71.780	-6.9680
43.099998	71.775	-7.4325
43.700001	71.774	-7.8462
44.400002	71.783	-8.3781
45.000000	71.786	-8.8945
45.500000	71.781	-9.3264
46.200001	71.770	-9.9119
46.799999	71.764	-10.4468
47.500000	71.760	-11.1301
48.200001	71.757	-11.7667
48.700001	71.760	-12.1362
49.400002	71.776	-12.5804
50.000000	71.791	-12.9957
50.799999	71.794	-13.6700
51.500000	71.779	-14.2862
52.200001	71.765	-14.8179
53.000000	71.762	-15.2941
53.799999	71.761	-15.6864
54.500000	71.749	-16.0125
55.200001	71.721	-16.3469
56.000000	71.680	-16.7381
57.000000	71.635	-17.2405
58.000000	71.603	-17.8006
59.000000	71.567	-18.3987
60.000000	71.520	-18.9441
60.799999	71.480	-19.3301
61.500000	71.444	-19.6417
62.200001	71.405	-19.9277
63.000000	71.356	-20.2219
64.000000	71.293	-20.5648
65.000000	71.233	-20.9151
66.000000	71.182	-21.2724
67.000000	71.138	-21.6200
68.000000	71.094	-21.9591
69.000000	71.050	-22.2852
70.000000	71.010	-22.5776
71.000000	70.976	-22.8274
72.000000	70.945	-23.0434
73.000000	70.912	-23.2368
74.000000	70.875	-23.4106
75.000000	70.834	-23.5752
76.199997	70.777	-23.7947
77.500000	70.712	-24.0422
78.800003	70.656	-24.2255
80.000000	70.612	-24.3316
81.199997	70.571	-24.4125
82.500000	70.524	-24.5311
83.800003	70.475	-24.7361
85.000000	70.428	-24.9531
86.199997	70.381	-25.0996
87.500000	70.326	-25.2106
88.500000	70.284	-25.3482
90.000000	70.218	-25.6159
91.199997	70.160	-25.7787
92.500000	70.095	-25.8916
93.800003	70.038	-25.9819
95.000000	69.991	-26.0476
96.199997	69.942	-26.0865
97.500000	69.889	-26.1116
98.800003	69.838	-26.1355
100.000000	69.793	-26.1677
101.500000	69.743	-26.2086
103.000000	69.702	-26.2099
104.400002	69.662	-26.1903
106.000000	69.611	-26.2410
107.500000	69.557	-26.3884
109.000000	69.500	-26.5642
110.599998	69.432	-26.7018
112.000000	69.366	-26.7725
113.800003	69.280	-26.8525
115.000000	69.225	-26.9359
117.199997	69.130	-27.1770
118.000000	69.098	-27.2812
120.599998	69.000	-27.6354
122.000000	68.949	-27.8309
124.099998	68.876	-28.0564
125.000000	68.844	-28.1151
126.500000	68.792	-28.1933
128.000000	68.741	-28.2823
131.500000	68.626	-28.5425
132.000000	68.610	-28.5717
134.000000	68.551	-28.6572
136.000000	68.491	-28.7100
138.000000	68.430	-28.7778
140.000000	68.370	-28.8848
143.000000	68.281	-29.0763
145.000000	68.225	-29.1937
147.500000	68.160	-29.3289
150.000000	68.097	-29.4807
152.500000	68.035	-29.6478
155.000000	67.974	-29.8695
157.500000	67.917	-30.1102
160.000000	67.861	-30.3159
162.500000	67.809	-30.5182
165.000000	67.764	-30.7321
167.500000	67.722	-30.9403
170.000000	67.671	-31.1273
172.500000	67.611	-31.2639
175.000000	67.551	-31.3787
177.500000	67.492	-31.5316
180.000000	67.437	-31.7158
182.500000	67.387	-31.8918
185.000000	67.340	-32.0448
187.500000	67.291	-32.1761
190.000000	67.240	-32.2870
192.500000	67.189	-32.3918
195.000000	67.140	-32.5227
197.500000	67.094	-32.6802
200.000000	67.053	-32.8478
203.000000	67.005	-33.0504
206.000000	66.955	-33.2309
209.000000	66.902	-33.3809
212.000000	66.856	-33.5335
214.000000	66.829	-33.6514
218.000000	66.770	-33.9226
220.000000	66.733	-34.0540
224.000000	66.650	-34.2436
227.000000	66.595	-34.3178
230.000000	66.554	-34.3353
233.000000	66.523	-34.3042
236.000000	66.495	-34.2490
240.000000	66.461	-34.1782
243.000000	66.445	-34.1354
247.000000	66.434	-34.0897
250.000000	66.429	-34.0661
254.000000	66.428	-34.0826
258.000000	66.434	-34.1721
262.000000	66.447	-34.2674
265.000000	66.459	-34.3259
269.000000	66.478	-34.4239
272.000000	66.492	-34.5105
276.000000	66.514	-34.5971
280.000000	66.538	-34.6336
285.000000	66.573	-34.7309
290.000000	66.613	-34.9239
295.000000	66.654	-35.1290
300.000000	66.695	-35.3695
