* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 14:19:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moca Solis Bass R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.879	47.3527
20.600000	69.928	46.9363
20.900000	69.994	46.3710
21.200001	70.067	45.7071
21.400000	70.116	45.2250
21.799999	70.209	44.2071
22.000000	70.251	43.6913
22.400000	70.327	42.6902
22.700001	70.378	41.9869
23.000000	70.424	41.3271
23.299999	70.468	40.7006
23.600000	70.507	40.0928
24.000000	70.553	39.2930
24.299999	70.580	38.6995
24.700001	70.606	37.9293
25.000000	70.621	37.3783
25.400000	70.640	36.6839
25.799999	70.659	36.0238
26.200001	70.680	35.3772
26.500000	70.696	34.8931
26.900000	70.715	34.2484
27.200001	70.728	33.7672
27.600000	70.748	33.1235
28.000000	70.773	32.4581
28.500000	70.812	31.5606
29.000000	70.852	30.5870
29.500000	70.886	29.5919
30.000000	70.911	28.6457
30.400000	70.925	27.9491
30.700001	70.933	27.4650
31.100000	70.939	26.8729
31.500000	70.941	26.3472
32.000000	70.948	25.7773
32.500000	70.972	25.2453
33.000000	71.014	24.6432
33.500000	71.061	23.8999
34.000000	71.089	23.0528
34.500000	71.089	22.2189
35.000000	71.066	21.5000
35.500000	71.033	20.9154
36.000000	71.004	20.4115
36.500000	70.985	19.9184
37.000000	70.978	19.3947
37.500000	70.979	18.8386
38.200001	70.991	18.0550
38.700001	71.004	17.5241
39.500000	71.026	16.7075
40.000000	71.034	16.1846
40.599998	71.036	15.5414
41.200001	71.037	14.9033
41.799999	71.048	14.2631
42.500000	71.066	13.4809
43.099998	71.072	12.8132
43.700001	71.062	12.2229
44.400002	71.043	11.6616
45.000000	71.033	11.2355
45.500000	71.030	10.8802
46.200001	71.025	10.3665
46.799999	71.014	9.9123
47.500000	70.990	9.3575
48.200001	70.957	8.7723
48.700001	70.936	8.3436
49.400002	70.923	7.7429
50.000000	70.926	7.2432
50.799999	70.940	6.6366
51.500000	70.948	6.1827
52.200001	70.954	5.7712
53.000000	70.966	5.2728
53.799999	70.981	4.7103
54.500000	70.989	4.2114
55.200001	70.985	3.7628
56.000000	70.964	3.3316
57.000000	70.923	2.8683
58.000000	70.884	2.4058
59.000000	70.855	1.9068
60.000000	70.836	1.3824
60.799999	70.828	0.9493
61.500000	70.826	0.5619
62.200001	70.827	0.1691
63.000000	70.825	-0.2770
64.000000	70.811	-0.8064
65.000000	70.784	-1.2994
66.000000	70.754	-1.7566
67.000000	70.730	-2.1663
68.000000	70.712	-2.5569
69.000000	70.694	-2.9664
70.000000	70.674	-3.3970
71.000000	70.654	-3.8238
72.000000	70.634	-4.2152
73.000000	70.613	-4.5540
74.000000	70.592	-4.8448
75.000000	70.577	-5.1263
76.199997	70.570	-5.5197
77.500000	70.556	-5.9917
78.800003	70.525	-6.4295
80.000000	70.491	-6.8122
81.199997	70.460	-7.1941
82.500000	70.433	-7.6311
83.800003	70.406	-8.1119
85.000000	70.379	-8.5666
86.199997	70.349	-9.0308
87.500000	70.315	-9.5600
88.500000	70.288	-9.9721
90.000000	70.250	-10.5737
91.199997	70.222	-11.0339
92.500000	70.189	-11.5044
