* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 11:14:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Moca UB L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.604	57.0270
20.600000	73.650	56.4370
20.900000	73.706	55.6794
21.200001	73.759	54.8415
21.400000	73.790	54.2557
21.799999	73.835	53.0367
22.000000	73.848	52.4065
22.400000	73.863	51.1030
22.700001	73.868	50.0788
23.000000	73.874	49.0049
23.299999	73.888	47.8777
23.600000	73.912	46.7050
24.000000	73.963	45.1107
24.299999	74.013	43.9363
24.700001	74.089	42.4688
25.000000	74.147	41.4761
25.400000	74.216	40.3114
25.799999	74.270	39.2975
26.200001	74.306	38.3613
26.500000	74.321	37.6568
26.900000	74.331	36.6535
27.200001	74.334	35.8299
27.600000	74.339	34.6383
28.000000	74.350	33.3802
28.500000	74.376	31.8149
29.000000	74.410	30.3611
29.500000	74.443	29.0582
30.000000	74.465	27.8683
30.400000	74.472	26.9484
30.700001	74.473	26.2529
31.100000	74.473	25.2986
31.500000	74.475	24.3054
32.000000	74.484	23.0231
32.500000	74.500	21.7400
33.000000	74.515	20.5103
33.500000	74.525	19.3630
34.000000	74.527	18.2866
34.500000	74.524	17.2448
35.000000	74.519	16.2069
35.500000	74.513	15.1659
36.000000	74.508	14.1333
36.500000	74.503	13.1267
37.000000	74.497	12.1607
37.500000	74.491	11.2411
38.200001	74.487	10.0123
38.700001	74.489	9.1479
39.500000	74.489	7.7733
40.000000	74.480	6.9463
40.599998	74.463	5.9950
41.200001	74.447	5.0347
41.799999	74.436	4.0077
42.500000	74.425	2.7624
43.099998	74.420	1.7561
43.700001	74.420	0.8569
44.400002	74.420	-0.0916
45.000000	74.409	-0.8645
45.500000	74.392	-1.4951
46.200001	74.364	-2.3770
46.799999	74.347	-3.1685
47.500000	74.338	-4.1793
48.200001	74.328	-5.2722
48.700001	74.314	-6.0538
49.400002	74.287	-7.0724
50.000000	74.266	-7.8544
50.799999	74.249	-8.8299
51.500000	74.240	-9.6820
52.200001	74.229	-10.5388
53.000000	74.217	-11.5119
53.799999	74.211	-12.4898
54.500000	74.207	-13.3571
55.200001	74.200	-14.2260
56.000000	74.184	-15.1984
57.000000	74.162	-16.3685
58.000000	74.144	-17.5258
59.000000	74.118	-18.6867
60.000000	74.081	-19.8277
60.799999	74.052	-20.7281
61.500000	74.030	-21.5001
62.200001	74.010	-22.2429
63.000000	73.987	-23.0574
64.000000	73.957	-24.0653
65.000000	73.929	-25.0902
66.000000	73.908	-26.1204
67.000000	73.891	-27.1466
68.000000	73.868	-28.1724
69.000000	73.841	-29.2160
70.000000	73.817	-30.2798
71.000000	73.792	-31.3228
72.000000	73.761	-32.2988
73.000000	73.721	-33.2045
74.000000	73.681	-34.0907
75.000000	73.649	-35.0206
76.199997	73.616	-36.1982
77.500000	73.581	-37.4578
78.800003	73.543	-38.6844
80.000000	73.505	-39.8140
81.199997	73.467	-40.9421
82.500000	73.427	-42.1245
83.800003	73.386	-43.2467
85.000000	73.347	-44.3133
86.199997	73.308	-45.4548
87.500000	73.265	-46.7236
88.500000	73.234	-47.6844
90.000000	73.191	-49.0949
91.199997	73.155	-50.2066
92.500000	73.111	-51.4259
93.800003	73.064	-52.6686
95.000000	73.016	-53.7995
96.199997	72.963	-54.9166
97.500000	72.899	-56.1288
98.800003	72.833	-57.3347
100.000000	72.775	-58.4417
101.500000	72.707	-59.8386
103.000000	72.642	-61.2473
104.400002	72.583	-62.5634
106.000000	72.517	-64.0483
107.500000	72.460	-65.4102
109.000000	72.406	-66.7674
110.599998	72.343	-68.2600
112.000000	72.283	-69.6248
113.800003	72.203	-71.4230
115.000000	72.148	-72.5959
117.199997	72.045	-74.6191
118.000000	72.007	-75.3217
120.599998	71.885	-77.5822
122.000000	71.819	-78.8282
124.099998	71.716	-80.7339
125.000000	71.670	-81.5503
126.500000	71.595	-82.8954
128.000000	71.520	-84.2146
131.500000	71.349	-87.2191
132.000000	71.325	-87.6389
134.000000	71.228	-89.2941
136.000000	71.136	-90.9498
138.000000	71.057	-92.6204
140.000000	70.986	-94.2883
143.000000	70.872	-96.8141
145.000000	70.788	-98.4592
147.500000	70.677	-100.4885
150.000000	70.560	-102.5441
152.500000	70.443	-104.5174
155.000000	70.330	-106.3814
157.500000	70.222	-108.2430
160.000000	70.116	-110.1496
162.500000	70.004	-112.0520
165.000000	69.885	-113.9156
167.500000	69.768	-115.7402
170.000000	69.655	-117.5459
172.500000	69.543	-119.3273
175.000000	69.428	-121.0811
177.500000	69.310	-122.8149
180.000000	69.194	-124.5065
182.500000	69.083	-126.1545
185.000000	68.978	-127.7909
187.500000	68.881	-129.4213
190.000000	68.785	-131.0215
192.500000	68.685	-132.5805
195.000000	68.580	-134.1176
197.500000	68.474	-135.6718
200.000000	68.373	-137.2460
203.000000	68.263	-139.1093
206.000000	68.162	-140.9209
209.000000	68.058	-142.7091
212.000000	67.952	-144.5110
214.000000	67.882	-145.7150
218.000000	67.738	-148.1019
220.000000	67.665	-149.2812
224.000000	67.520	-151.5671
227.000000	67.422	-153.1675
230.000000	67.343	-154.6533
233.000000	67.285	-156.0752
236.000000	67.248	-157.5203
240.000000	67.224	-159.5908
243.000000	67.210	-161.2735
247.000000	67.184	-163.6865
250.000000	67.157	-165.5645
254.000000	67.104	-168.0830
258.000000	67.037	-170.6200
262.000000	66.976	-173.1786
265.000000	66.935	-175.0746
269.000000	66.885	-177.5810
272.000000	66.851	-179.4707
276.000000	66.805	178.0069
280.000000	66.759	175.4966
285.000000	66.706	172.3655
290.000000	66.660	169.1743
295.000000	66.627	165.9710
300.000000	66.604	162.7988
304.000000	66.588	160.2609
307.000000	66.574	158.3356
311.000000	66.552	155.7328
315.000000	66.527	153.1073
320.000000	66.502	149.8029
325.000000	66.486	146.4709
330.000000	66.470	143.1427
335.000000	66.453	139.8162
340.000000	66.433	136.4179
345.000000	66.406	132.9364
350.000000	66.372	129.4336
355.000000	66.336	125.9828
360.000000	66.308	122.6727
365.000000	66.294	119.5376
370.000000	66.293	116.5221
375.000000	66.297	113.5816
382.000000	66.300	109.6107
387.000000	66.293	106.8713
395.000000	66.258	102.4401
400.000000	66.228	99.5890
406.000000	66.195	96.1656
412.000000	66.166	92.7739
418.000000	66.139	89.4026
425.000000	66.109	85.5046
431.000000	66.089	82.1845
437.000000	66.070	78.8585
444.000000	66.039	74.9585
450.000000	66.010	71.5720
455.000000	65.986	68.7058
462.000000	65.953	64.6740
468.000000	65.926	61.2166
475.000000	65.898	57.1812
482.000000	65.874	53.1771
487.000000	65.858	50.3204
494.000000	65.841	46.3067
500.000000	65.828	42.8902
508.000000	65.810	38.3765
515.000000	65.801	34.4073
522.000000	65.802	30.4217
530.000000	65.808	25.8705
538.000000	65.812	21.2864
545.000000	65.811	17.2039
552.000000	65.808	13.0463
560.000000	65.797	8.2683
570.000000	65.784	2.3107
580.000000	65.785	-3.6516
590.000000	65.793	-9.5731
600.000000	65.791	-15.4388
608.000000	65.781	-20.1509
615.000000	65.766	-24.3146
622.000000	65.747	-28.4978
630.000000	65.722	-33.2394
640.000000	65.693	-38.9542
650.000000	65.677	-44.3524
660.000000	65.676	-49.4080
670.000000	65.684	-54.1529
680.000000	65.677	-58.6696
690.000000	65.652	-62.9937
700.000000	65.628	-67.0759
710.000000	65.618	-70.8694
720.000000	65.620	-74.3892
730.000000	65.623	-77.6786
740.000000	65.615	-80.8135
750.000000	65.595	-83.8630
762.000000	65.564	-87.4019
775.000000	65.529	-91.0646
788.000000	65.498	-94.6008
800.000000	65.484	-97.8382
812.000000	65.483	-101.0404
825.000000	65.480	-104.4376
838.000000	65.473	-107.8417
850.000000	65.473	-110.9943
862.000000	65.488	-114.1018
875.000000	65.521	-117.5211
885.000000	65.549	-120.3160
900.000000	65.574	-125.0203
912.000000	65.578	-129.3372
925.000000	65.576	-134.5131
938.000000	65.575	-139.9811
950.000000	65.579	-145.0820
962.000000	65.593	-150.1445
975.000000	65.624	-155.5196
988.000000	65.663	-160.7302
1000.000000	65.702	-165.4193
1015.000000	65.745	-171.2672
1030.000000	65.786	-177.1642
1044.000000	65.826	177.3154
1060.000000	65.877	170.9940
1075.000000	65.924	165.0359
1090.000000	65.964	159.0359
1106.000000	66.000	152.6066
1120.000000	66.031	146.9534
1138.000000	66.073	139.6385
1150.000000	66.104	134.7502
1172.000000	66.159	125.8150
1180.000000	66.180	122.5844
1206.000000	66.250	112.1893
1220.000000	66.286	106.6794
1241.000000	66.340	98.5608
1250.000000	66.364	95.1390
1265.000000	66.406	89.5000
1280.000000	66.447	83.9147
1315.000000	66.541	70.8742
1320.000000	66.553	68.9952
1340.000000	66.602	61.4621
1360.000000	66.661	54.0077
1380.000000	66.735	46.7134
1400.000000	66.816	39.5616
1430.000000	66.952	29.0539
1450.000000	67.059	22.1351
1475.000000	67.204	13.5006
1500.000000	67.366	4.8287
