* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 15:28:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Pill L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	38.490	100.3573
20.600000	37.458	111.2243
20.900000	37.558	143.5274
21.200001	39.409	168.8077
21.400000	40.885	172.8720
21.799999	43.176	168.5656
22.000000	43.877	164.0860
22.400000	44.474	154.2074
22.700001	44.350	147.6090
23.000000	43.915	142.9384
23.299999	43.434	141.0094
23.600000	43.248	141.7446
24.000000	43.785	144.1322
24.299999	44.575	144.6758
24.700001	45.602	142.9765
25.000000	46.142	140.7610
25.400000	46.487	138.1609
25.799999	46.511	137.2746
26.200001	46.443	138.5847
26.500000	46.482	140.5105
26.900000	46.746	142.8444
27.200001	47.073	143.4771
27.600000	47.564	142.2715
28.000000	48.002	139.0802
28.500000	48.373	133.8262
29.000000	48.527	129.3078
29.500000	48.543	127.3185
30.000000	48.584	128.2000
30.400000	48.713	130.0114
30.700001	48.855	131.2531
31.100000	49.042	132.1368
31.500000	49.173	132.0416
32.000000	49.269	131.2095
32.500000	49.428	130.5771
33.000000	49.789	130.5704
33.500000	50.311	130.7546
34.000000	50.808	130.5485
34.500000	51.119	129.8472
35.000000	51.223	128.9826
35.500000	51.249	128.3356
36.000000	51.393	127.9151
36.500000	51.746	127.3170
37.000000	52.199	126.2673
37.500000	52.582	124.9866
38.200001	52.880	123.4494
38.700001	52.975	122.4422
39.500000	53.030	120.3435
40.000000	53.044	119.0032
40.599998	53.156	117.6704
41.200001	53.402	115.9426
41.799999	53.649	113.6961
42.500000	54.085	113.2340
43.099998	55.118	116.1317
43.700001	56.666	118.6045
44.400002	58.134	117.8034
45.000000	58.589	115.8879
45.500000	58.391	115.0871
46.200001	57.549	115.6839
46.799999	56.692	115.6152
47.500000	55.829	111.3369
48.200001	55.158	103.3824
48.700001	54.829	98.3375
49.400002	54.699	95.2199
50.000000	54.939	95.7135
50.799999	55.501	96.9608
51.500000	55.902	96.8902
52.200001	56.147	96.3445
53.000000	56.370	95.9728
53.799999	56.623	95.6464
54.500000	56.838	95.0103
55.200001	57.005	93.9604
56.000000	57.110	92.4005
57.000000	57.121	90.3041
58.000000	57.064	88.6269
59.000000	57.097	87.6246
60.000000	57.267	86.4818
60.799999	57.409	85.1941
61.500000	57.508	84.0496
62.200001	57.600	83.0648
63.000000	57.704	82.1769
64.000000	57.815	81.3159
65.000000	57.881	80.4726
66.000000	57.922	79.4136
67.000000	57.977	78.0640
68.000000	58.043	76.6244
69.000000	58.100	75.4284
70.000000	58.147	74.5347
71.000000	58.187	73.7094
72.000000	58.216	72.7725
73.000000	58.242	71.7926
74.000000	58.279	70.9334
75.000000	58.322	70.3271
76.199997	58.369	69.8852
77.500000	58.403	69.2754
78.800003	58.413	68.1280
80.000000	58.400	66.7851
81.199997	58.391	65.7200
82.500000	58.430	64.9808
83.800003	58.497	64.2206
85.000000	58.545	63.3640
86.199997	58.566	62.5723
87.500000	58.579	62.0921
88.500000	58.609	61.9365
90.000000	58.670	61.5738
91.199997	58.694	60.9347
92.500000	58.686	59.9907
93.800003	58.650	59.1644
95.000000	58.610	58.7005
96.199997	58.589	58.3674
97.500000	58.583	57.9921
98.800003	58.568	57.7425
100.000000	58.544	57.7957
101.500000	58.516	58.1436
103.000000	58.493	58.3136
104.400002	58.475	58.0080
106.000000	58.494	57.5324
107.500000	58.556	57.2815
109.000000	58.632	57.2440
110.599998	58.706	57.3541
112.000000	58.762	57.3663
113.800003	58.829	57.0138
115.000000	58.871	56.7298
117.199997	58.944	56.4427
118.000000	58.973	56.3435
120.599998	59.083	55.8899
122.000000	59.143	55.6505
124.099998	59.213	55.3276
125.000000	59.237	55.2160
126.500000	59.288	55.0790
128.000000	59.354	54.9837
131.500000	59.526	54.6474
132.000000	59.553	54.5628
134.000000	59.667	54.2429
136.000000	59.765	54.0026
138.000000	59.837	53.6691
140.000000	59.908	53.2052
143.000000	60.021	52.7118
145.000000	60.069	52.6825
147.500000	60.122	52.5870
150.000000	60.243	51.9459
152.500000	60.417	50.8676
155.000000	60.551	49.9061
157.500000	60.636	49.2971
160.000000	60.730	48.8204
162.500000	60.841	48.1163
165.000000	60.957	47.2046
167.500000	61.064	46.2449
170.000000	61.136	45.2984
172.500000	61.163	44.4189
175.000000	61.176	43.5470
177.500000	61.208	42.7035
180.000000	61.253	42.0695
182.500000	61.299	41.5826
185.000000	61.347	40.9438
187.500000	61.407	40.0575
190.000000	61.467	39.1159
192.500000	61.497	38.3361
195.000000	61.488	37.6523
197.500000	61.464	36.9566
200.000000	61.452	36.3157
203.000000	61.465	35.7430
206.000000	61.484	35.3050
209.000000	61.489	34.8779
212.000000	61.496	34.4472
214.000000	61.511	34.1343
218.000000	61.549	33.4307
220.000000	61.569	33.0734
224.000000	61.610	32.2251
227.000000	61.635	31.3779
230.000000	61.650	30.4338
233.000000	61.653	29.4772
236.000000	61.647	28.6060
240.000000	61.610	27.8020
243.000000	61.548	27.3931
247.000000	61.437	26.8819
250.000000	61.355	26.5299
254.000000	61.273	26.2377
258.000000	61.234	26.2209
262.000000	61.230	26.1653
265.000000	61.236	25.9867
269.000000	61.258	25.7188
272.000000	61.284	25.4669
276.000000	61.310	25.0209
280.000000	61.314	24.6732
285.000000	61.297	24.4506
290.000000	61.272	24.4233
295.000000	61.258	24.5390
300.000000	61.271	24.5066
304.000000	61.287	24.3974
307.000000	61.295	24.3544
311.000000	61.291	24.3707
315.000000	61.271	24.3955
320.000000	61.248	24.3629
325.000000	61.247	24.3201
330.000000	61.255	24.3922
335.000000	61.261	24.4926
340.000000	61.271	24.4964
345.000000	61.280	24.3851
350.000000	61.284	24.2613
355.000000	61.276	24.2092
360.000000	61.259	24.2869
365.000000	61.247	24.5041
370.000000	61.240	24.7945
375.000000	61.224	25.0776
382.000000	61.199	25.3692
387.000000	61.191	25.4756
395.000000	61.186	25.4015
400.000000	61.202	25.3796
406.000000	61.236	25.5170
412.000000	61.256	25.6306
418.000000	61.250	25.6928
425.000000	61.240	25.7614
431.000000	61.226	25.8556
437.000000	61.184	25.9949
444.000000	61.114	26.2125
450.000000	61.049	26.4382
455.000000	60.994	26.7013
462.000000	60.935	27.2643
468.000000	60.919	27.8980
475.000000	60.940	28.6496
482.000000	60.981	29.3394
487.000000	61.012	29.8541
494.000000	61.050	30.6035
500.000000	61.087	31.1533
508.000000	61.150	31.6395
515.000000	61.199	31.8840
522.000000	61.237	31.9839
530.000000	61.279	31.9340
538.000000	61.308	31.9958
545.000000	61.311	32.2910
552.000000	61.292	32.7128
