* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 15:29:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Pill L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	39.006	74.5472
20.600000	39.064	100.1405
20.900000	40.602	144.3812
21.200001	42.890	160.3839
21.400000	44.182	162.2365
21.799999	45.628	159.9073
22.000000	45.770	158.0022
22.400000	45.046	155.4024
22.700001	43.876	156.0447
23.000000	42.673	159.1536
23.299999	42.126	161.9433
23.600000	42.535	160.2363
24.000000	43.775	150.3445
24.299999	44.583	140.9124
24.700001	45.062	130.6973
25.000000	44.914	126.8146
25.400000	44.296	129.1457
25.799999	44.003	140.5860
26.200001	44.730	152.6124
26.500000	45.668	156.1038
26.900000	46.834	153.6333
27.200001	47.494	148.6058
27.600000	48.095	140.5815
28.000000	48.442	133.4799
28.500000	48.580	128.1872
29.000000	48.439	127.6053
29.500000	48.156	131.0777
30.000000	48.003	136.5146
30.400000	48.135	140.1491
30.700001	48.395	141.6016
31.100000	48.891	141.7388
31.500000	49.459	140.5203
32.000000	50.139	138.6554
32.500000	50.701	137.4237
33.000000	51.102	136.5003
33.500000	51.299	134.6151
34.000000	51.242	130.7162
34.500000	50.922	124.9798
35.000000	50.455	119.2201
35.500000	50.108	116.0732
36.000000	50.153	116.6748
36.500000	50.558	119.3744
37.000000	51.030	121.7458
37.500000	51.398	122.3460
38.200001	51.924	118.0234
38.700001	52.438	110.2302
39.500000	53.111	94.4862
40.000000	53.139	88.2851
40.599998	52.861	89.6910
41.200001	52.843	100.7846
41.799999	53.344	112.3176
42.500000	53.846	118.0330
43.099998	53.844	118.8046
43.700001	53.622	118.6231
44.400002	53.461	118.6479
45.000000	53.591	118.7803
45.500000	53.913	118.2317
46.200001	54.559	115.2981
46.799999	55.122	111.4466
47.500000	55.774	108.2768
48.200001	56.588	108.0263
48.700001	57.223	108.4223
49.400002	57.866	107.6591
50.000000	57.965	105.5298
50.799999	57.481	102.0724
51.500000	56.859	99.7215
52.200001	56.471	98.1877
53.000000	56.428	96.8012
53.799999	56.580	95.4166
54.500000	56.727	94.2515
55.200001	56.868	93.2155
56.000000	57.022	92.0932
57.000000	57.119	90.6128
58.000000	57.121	89.1908
59.000000	57.244	87.6995
60.000000	57.492	86.1987
60.799999	57.649	85.6382
61.500000	57.747	85.6859
62.200001	57.845	85.4804
63.000000	57.929	84.0415
64.000000	57.904	81.0798
65.000000	57.843	78.9917
66.000000	57.894	78.0541
67.000000	57.968	77.1710
68.000000	57.990	76.0549
69.000000	58.001	74.9292
70.000000	58.028	74.0789
71.000000	58.054	73.5447
72.000000	58.052	73.0528
73.000000	58.046	72.3126
74.000000	58.078	71.2489
75.000000	58.134	70.0423
76.199997	58.134	68.7647
77.500000	57.992	68.1104
78.800003	57.847	68.3507
80.000000	57.897	68.7470
81.199997	58.186	68.2209
82.500000	58.438	65.9061
83.800003	58.346	63.5089
85.000000	58.174	62.2921
86.199997	58.106	61.4281
87.500000	58.070	60.3474
88.500000	58.024	59.8315
90.000000	57.980	60.0762
91.199997	57.918	60.6217
92.500000	57.856	60.9703
93.800003	57.941	60.7280
95.000000	58.087	59.7567
96.199997	58.180	58.6010
97.500000	58.306	58.0007
98.800003	58.454	58.4001
100.000000	58.511	59.4277
101.500000	58.455	60.4104
103.000000	58.363	60.4692
104.400002	58.327	60.0407
106.000000	58.383	59.3930
107.500000	58.493	58.9352
109.000000	58.578	58.7499
110.599998	58.629	58.8051
112.000000	58.686	58.8301
113.800003	58.788	58.6001
115.000000	58.852	58.4101
117.199997	58.940	58.0481
118.000000	58.961	57.8785
120.599998	59.011	57.4846
122.000000	59.058	57.4461
124.099998	59.141	57.7227
125.000000	59.166	57.9314
126.500000	59.183	58.2696
128.000000	59.191	58.4745
131.500000	59.357	57.9284
132.000000	59.392	57.7399
134.000000	59.510	56.9244
136.000000	59.604	56.2419
138.000000	59.690	55.8797
140.000000	59.745	55.7548
143.000000	59.827	55.3083
145.000000	59.887	54.8657
147.500000	59.948	54.3873
150.000000	60.030	53.9338
152.500000	60.177	53.4846
155.000000	60.361	52.9237
157.500000	60.513	52.2870
160.000000	60.649	51.6654
162.500000	60.810	51.0379
165.000000	60.955	50.3303
167.500000	61.046	49.4730
170.000000	61.112	48.3969
172.500000	61.153	47.4205
175.000000	61.158	46.7943
177.500000	61.156	46.2434
180.000000	61.184	45.5785
182.500000	61.243	44.8691
185.000000	61.301	44.2423
187.500000	61.334	43.7370
190.000000	61.338	43.2542
192.500000	61.322	42.7056
195.000000	61.300	42.0982
197.500000	61.281	41.4480
200.000000	61.267	40.8305
203.000000	61.257	40.0877
206.000000	61.266	39.5609
209.000000	61.321	39.5035
212.000000	61.422	39.4406
214.000000	61.497	39.1628
218.000000	61.616	38.2866
220.000000	61.658	37.8552
224.000000	61.708	37.1811
227.000000	61.704	36.7196
230.000000	61.667	36.1370
233.000000	61.609	35.3793
236.000000	61.542	34.5123
240.000000	61.455	33.6879
243.000000	61.390	33.5019
247.000000	61.317	33.4590
250.000000	61.275	33.3370
254.000000	61.219	33.0554
258.000000	61.162	32.7625
262.000000	61.135	32.7484
265.000000	61.138	32.8478
269.000000	61.168	32.7909
272.000000	61.204	32.5726
276.000000	61.251	32.1616
280.000000	61.285	31.6982
285.000000	61.299	31.0674
290.000000	61.295	30.5270
295.000000	61.285	30.1895
300.000000	61.281	29.9419
304.000000	61.271	29.7456
307.000000	61.253	29.6646
311.000000	61.222	29.6172
315.000000	61.187	29.5548
320.000000	61.151	29.4351
325.000000	61.145	29.2020
330.000000	61.153	28.9679
335.000000	61.157	28.8470
340.000000	61.158	28.7062
345.000000	61.165	28.4328
350.000000	61.165	28.1476
355.000000	61.152	27.9705
360.000000	61.151	27.8504
365.000000	61.170	27.7605
370.000000	61.187	27.7134
375.000000	61.189	27.7036
382.000000	61.172	27.5815
387.000000	61.153	27.3297
395.000000	61.127	26.8525
400.000000	61.113	26.5697
406.000000	61.104	26.2441
412.000000	61.115	26.0203
418.000000	61.125	25.8361
425.000000	61.110	25.5142
431.000000	61.091	25.2097
437.000000	61.072	24.9626
444.000000	61.044	24.8194
450.000000	61.020	24.8130
455.000000	60.992	24.9139
462.000000	60.937	25.1618
468.000000	60.892	25.3057
475.000000	60.877	25.4680
482.000000	60.894	25.7954
487.000000	60.916	26.0904
494.000000	60.975	26.4452
500.000000	61.048	26.5850
508.000000	61.145	26.4439
515.000000	61.206	26.1682
522.000000	61.236	25.9491
530.000000	61.234	25.8165
538.000000	61.210	25.7841
545.000000	61.189	25.8672
552.000000	61.175	26.1369
560.000000	61.168	26.6787
570.000000	61.172	27.3558
580.000000	61.183	27.8460
590.000000	61.174	28.3165
600.000000	61.146	28.8931
608.000000	61.129	29.4366
615.000000	61.128	29.9127
622.000000	61.135	30.3459
630.000000	61.142	30.7920
640.000000	61.145	31.3420
650.000000	61.160	31.9089
660.000000	61.184	32.4774
670.000000	61.212	33.1537
680.000000	61.245	33.9022
690.000000	61.285	34.6420
700.000000	61.339	35.2822
710.000000	61.399	35.9460
720.000000	61.446	36.5685
730.000000	61.454	37.0795
740.000000	61.426	37.7907
750.000000	61.391	38.7146
762.000000	61.372	39.8805
775.000000	61.376	41.1953
788.000000	61.399	42.4679
800.000000	61.447	43.6011
812.000000	61.502	44.5021
825.000000	61.560	45.1099
838.000000	61.598	45.6855
850.000000	61.624	46.3429
862.000000	61.654	47.0143
875.000000	61.693	47.7495
885.000000	61.727	48.3942
900.000000	61.765	49.4214
912.000000	61.771	50.2492
925.000000	61.759	51.2306
938.000000	61.743	52.3487
950.000000	61.742	53.4738
962.000000	61.761	54.6060
975.000000	61.780	55.8113
988.000000	61.777	56.9233
1000.000000	61.771	57.7924
1015.000000	61.791	58.8043
1030.000000	61.825	59.9405
1044.000000	61.857	61.0708
1060.000000	61.893	62.4197
1075.000000	61.931	63.7945
1090.000000	61.966	65.2551
1106.000000	62.011	66.7563
1120.000000	62.061	67.9674
1138.000000	62.123	69.4600
1150.000000	62.152	70.4682
1172.000000	62.187	72.3447
1180.000000	62.201	73.0316
1206.000000	62.268	75.3453
1220.000000	62.315	76.6526
1241.000000	62.416	78.6871
1250.000000	62.473	79.5858
1265.000000	62.582	81.0790
1280.000000	62.697	82.4910
1315.000000	62.895	84.9912
1320.000000	62.913	85.2612
1340.000000	62.965	86.2387
1360.000000	63.002	87.1035
1380.000000	63.027	87.8507
1400.000000	63.041	88.5234
1430.000000	63.077	89.4219
1450.000000	63.124	90.0004
1475.000000	63.207	90.8408
1500.000000	63.316	91.7542
1525.000000	63.431	92.6732
1550.000000	63.556	93.5097
1575.000000	63.710	94.2939
1600.000000	63.877	95.0623
1625.000000	64.030	95.7481
1650.000000	64.160	96.3812
1675.000000	64.278	97.0309
1700.000000	64.397	97.7517
1725.000000	64.520	98.5736
1750.000000	64.636	99.4484
1775.000000	64.745	100.3123
1800.000000	64.858	101.1845
1825.000000	64.974	102.1478
1850.000000	65.098	103.1979
1875.000000	65.239	104.3493
1900.000000	65.400	105.5905
1925.000000	65.577	106.8658
1950.000000	65.769	108.1718
1975.000000	65.979	109.5058
2000.000000	66.217	110.8325
2030.000000	66.554	112.3742
2060.000000	66.947	113.7976
2090.000000	67.377	115.0302
2120.000000	67.834	116.0339
2140.000000	68.148	116.5607
2180.000000	68.794	117.2773
2200.000000	69.125	117.4657
2240.000000	69.790	117.4200
2270.000000	70.273	117.0026
2300.000000	70.744	116.3100
2330.000000	71.209	115.4155
2360.000000	71.662	114.3896
2400.000000	72.234	112.8404
2430.000000	72.635	111.5192
2470.000000	73.131	109.5623
2500.000000	73.475	108.0305
2540.000000	73.902	105.9771
2580.000000	74.310	103.9238
2620.000000	74.714	101.8559
2650.000000	75.017	100.3000
2690.000000	75.420	98.2526
2720.000000	75.724	96.7155
2760.000000	76.142	94.6412
2800.000000	76.591	92.4983
2850.000000	77.194	89.4326
2900.000000	77.782	85.6036
2950.000000	78.303	81.1363
3000.000000	78.741	76.3543
3040.000000	79.033	72.3764
3070.000000	79.228	69.3172
3110.000000	79.459	65.1848
3150.000000	79.646	61.0108
3200.000000	79.805	55.7873
3250.000000	79.891	50.7276
3300.000000	79.927	45.9769
3350.000000	79.939	41.5415
3400.000000	79.940	37.2852
3450.000000	79.924	33.0437
3500.000000	79.878	28.8225
3550.000000	79.805	24.7176
3600.000000	79.706	20.7924
3650.000000	79.593	17.0828
3700.000000	79.488	13.5703
3750.000000	79.404	10.1736
3820.000000	79.318	5.4538
3870.000000	79.260	2.0852
3950.000000	79.138	-3.2281
4000.000000	79.048	-6.4858
4060.000000	78.938	-10.4735
4120.000000	78.800	-14.6058
4180.000000	78.603	-18.7871
4250.000000	78.295	-23.4920
4310.000000	77.990	-27.2418
4370.000000	77.675	-30.7514
4440.000000	77.306	-34.5997
4500.000000	76.992	-37.6736
4550.000000	76.738	-40.0608
4620.000000	76.404	-43.1723
4680.000000	76.140	-45.7248
4750.000000	75.828	-48.6781
4820.000000	75.465	-51.4280
4870.000000	75.168	-53.0411
4940.000000	74.734	-54.5253
5000.000000	74.395	-54.9508
5080.000000	74.065	-54.1227
5150.000000	73.941	-51.8492
5220.000000	74.042	-48.1616
5300.000000	74.481	-43.3761
5380.000000	75.161	-39.8419
5450.000000	75.804	-38.4265
5520.000000	76.405	-38.4182
5600.000000	76.981	-39.8441
5700.000000	77.429	-43.1483
5800.000000	77.545	-46.9679
5900.000000	77.397	-50.4192
6000.000000	77.032	-53.0343
6080.000000	76.614	-54.2064
6150.000000	76.191	-54.4652
6220.000000	75.745	-54.0530
6300.000000	75.236	-52.8520
6400.000000	74.638	-50.4172
6500.000000	74.110	-47.1444
6600.000000	73.670	-43.2467
6700.000000	73.337	-38.9674
6800.000000	73.124	-34.5408
6900.000000	73.024	-30.1891
7000.000000	73.002	-26.1423
7100.000000	73.014	-22.4924
7200.000000	73.030	-19.0821
7300.000000	73.047	-15.5541
7400.000000	73.103	-11.5476
7500.000000	73.270	-6.9897
7620.000000	73.686	-1.3779
7750.000000	74.333	3.7559
7880.000000	75.025	7.3113
8000.000000	75.612	9.2049
8120.000000	76.123	9.7482
8250.000000	76.544	8.6068
8380.000000	76.728	5.8487
8500.000000	76.611	2.6444
8620.000000	76.211	-0.1927
8750.000000	75.532	-1.9672
8850.000000	74.910	-2.1345
9000.000000	73.934	-0.4097
9120.000000	73.190	2.4089
9250.000000	72.473	6.4773
9380.000000	71.878	11.2877
9500.000000	71.464	16.1385
9620.000000	71.195	21.1347
9750.000000	71.064	26.3916
9880.000000	71.091	31.0940
10000.000000	71.242	34.5420
10150.000000	71.533	37.0683
