* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-May-2025 15:24:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Pill L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	41.877	143.7401
20.600000	41.606	143.0819
20.900000	41.349	141.9117
21.200001	41.260	140.2630
21.400000	41.341	138.9778
21.799999	41.832	136.2675
22.000000	42.193	134.9664
22.400000	42.978	132.6743
22.700001	43.508	131.3255
23.000000	43.929	130.3622
23.299999	44.235	129.8169
23.600000	44.452	129.6567
24.000000	44.683	129.7832
24.299999	44.866	129.8164
24.700001	45.159	129.3228
25.000000	45.403	128.4302
25.400000	45.717	126.7181
25.799999	45.984	124.8288
26.200001	46.189	123.1411
26.500000	46.302	122.0852
26.900000	46.395	120.8952
27.200001	46.422	120.1014
27.600000	46.415	119.1273
28.000000	46.416	118.2069
28.500000	46.557	116.8379
29.000000	46.916	114.6225
29.500000	47.371	111.3601
30.000000	47.719	107.8759
30.400000	47.854	105.8540
30.700001	47.891	105.1822
31.100000	47.917	105.5436
31.500000	47.986	107.0172
32.000000	48.162	109.3226
32.500000	48.373	111.0838
33.000000	48.561	111.9336
33.500000	48.755	111.8867
34.000000	49.008	110.8846
34.500000	49.314	108.9487
35.000000	49.607	106.4735
35.500000	49.833	104.0991
36.000000	49.991	102.2862
36.500000	50.107	101.0421
37.000000	50.192	100.0668
37.500000	50.235	99.1723
38.200001	50.273	98.3522
38.700001	50.404	98.2476
39.500000	50.919	97.8955
40.000000	51.298	96.9564
40.599998	51.627	95.4585
41.200001	51.822	94.3323
41.799999	52.022	93.6500
42.500000	52.364	92.4515
43.099998	52.675	90.7510
43.700001	52.917	89.0956
44.400002	53.107	88.1573
45.000000	53.230	88.0658
45.500000	53.320	87.8255
46.200001	53.435	86.3004
46.799999	53.598	84.0289
47.500000	54.066	81.4803
48.200001	54.864	79.6732
48.700001	55.428	78.5418
49.400002	55.860	77.0403
50.000000	55.774	76.2712
50.799999	55.233	76.3862
51.500000	54.790	76.4740
52.200001	54.627	75.3259
53.000000	54.679	73.2150
