* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Jul-2025 15:13:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Space Travel 2 ANC on R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.123	1.1235
20.600000	68.140	1.0823
20.900000	68.153	0.9715
21.200001	68.156	0.7869
21.400000	68.150	0.6356
21.799999	68.125	0.3162
22.000000	68.109	0.1673
22.400000	68.084	-0.0900
22.700001	68.073	-0.2580
23.000000	68.071	-0.4256
23.299999	68.073	-0.6092
23.600000	68.075	-0.8154
24.000000	68.068	-1.1147
24.299999	68.053	-1.3397
24.700001	68.024	-1.6119
25.000000	67.999	-1.7818
25.400000	67.970	-1.9591
25.799999	67.955	-2.0989
26.200001	67.957	-2.2427
26.500000	67.969	-2.3804
26.900000	67.990	-2.6241
27.200001	68.004	-2.8475
27.600000	68.012	-3.1670
28.000000	68.008	-3.4633
28.500000	67.991	-3.7504
29.000000	67.974	-3.9574
29.500000	67.963	-4.1517
30.000000	67.955	-4.3835
30.400000	67.945	-4.5944
30.700001	67.934	-4.7564
31.100000	67.916	-4.9658
31.500000	67.897	-5.1637
32.000000	67.873	-5.4018
32.500000	67.850	-5.6406
33.000000	67.826	-5.8817
33.500000	67.798	-6.1138
34.000000	67.767	-6.3201
34.500000	67.737	-6.4882
35.000000	67.713	-6.6203
35.500000	67.697	-6.7349
36.000000	67.691	-6.8564
36.500000	67.692	-7.0020
37.000000	67.692	-7.1753
37.500000	67.684	-7.3687
38.200001	67.656	-7.6420
38.700001	67.625	-7.8109
39.500000	67.578	-8.0057
40.000000	67.561	-8.0978
40.599998	67.555	-8.2177
41.200001	67.558	-8.3730
41.799999	67.563	-8.5695
42.500000	67.558	-8.8414
43.099998	67.536	-9.0815
43.700001	67.501	-9.2845
44.400002	67.458	-9.4520
45.000000	67.433	-9.5701
45.500000	67.421	-9.6743
46.200001	67.416	-9.8116
46.799999	67.420	-9.8877
47.500000	67.433	-9.9434
48.200001	67.445	-10.0439
48.700001	67.444	-10.1789
49.400002	67.421	-10.4541
50.000000	67.382	-10.7329
50.799999	67.314	-11.0777
51.500000	67.257	-11.2937
52.200001	67.212	-11.4212
53.000000	67.174	-11.5039
53.799999	67.148	-11.5960
54.500000	67.128	-11.7304
55.200001	67.107	-11.8916
56.000000	67.079	-12.0315
57.000000	67.048	-12.1370
58.000000	67.022	-12.3070
59.000000	66.991	-12.5528
60.000000	66.952	-12.7538
60.799999	66.915	-12.8329
61.500000	66.879	-12.8495
62.200001	66.843	-12.8538
63.000000	66.807	-12.8963
64.000000	66.772	-13.0391
65.000000	66.745	-13.2187
66.000000	66.724	-13.3582
67.000000	66.708	-13.4765
68.000000	66.689	-13.6371
69.000000	66.658	-13.8241
70.000000	66.618	-13.9501
71.000000	66.581	-13.9686
