* Measurement data measured by REW V5.30 beta 2
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Moondrop Space Travel, Moondrop Space Travel, RMS Average 1, Moondrop Space Travel L
* Dated: 21-Nov-2023 16:04:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Space Travel R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	65.298
20.600000	65.303
20.900000	65.306
21.200001	65.306
21.400000	65.304
21.799999	65.296
22.000000	65.291
22.400000	65.279
22.700001	65.272
23.000000	65.272
23.299999	65.282
23.600000	65.306
24.000000	65.360
24.299999	65.411
24.700001	65.478
25.000000	65.517
25.400000	65.543
25.799999	65.538
26.200001	65.518
26.500000	65.507
26.900000	65.511
27.200001	65.531
27.600000	65.573
28.000000	65.616
28.500000	65.651
29.000000	65.671
29.500000	65.704
30.000000	65.764
30.400000	65.821
30.700001	65.860
31.100000	65.898
31.500000	65.920
32.000000	65.938
32.500000	65.960
33.000000	65.991
33.500000	66.024
34.000000	66.052
34.500000	66.076
35.000000	66.098
35.500000	66.117
36.000000	66.130
36.500000	66.135
37.000000	66.133
37.500000	66.130
38.200001	66.136
38.700001	66.150
39.500000	66.175
40.000000	66.184
40.599998	66.188
41.200001	66.188
41.799999	66.186
42.500000	66.181
43.099998	66.176
43.700001	66.175
44.400002	66.176
45.000000	66.173
45.500000	66.166
46.200001	66.154
46.799999	66.143
47.500000	66.130
48.200001	66.116
48.700001	66.106
49.400002	66.093
50.000000	66.081
50.799999	66.058
51.500000	66.032
52.200001	66.003
53.000000	65.965
53.799999	65.925
54.500000	65.890
55.200001	65.859
56.000000	65.824
57.000000	65.777
58.000000	65.728
59.000000	65.679
60.000000	65.631
60.799999	65.591
61.500000	65.557
62.200001	65.523
63.000000	65.486
64.000000	65.439
65.000000	65.388
66.000000	65.335
67.000000	65.286
68.000000	65.239
69.000000	65.187
70.000000	65.130
71.000000	65.072
72.000000	65.013
73.000000	64.957
74.000000	64.903
75.000000	64.851
76.199997	64.789
77.500000	64.721
78.800003	64.649
80.000000	64.582
81.199997	64.519
82.500000	64.452
83.800003	64.381
85.000000	64.312
86.199997	64.239
