* Measurement data measured by REW V5.40 beta 103
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 27-Oct-2025 14:34:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPB4 ANC L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.759	-59.8041
20.299999	74.784	-60.6611
20.600000	74.804	-61.5139
20.900000	74.820	-62.3719
21.200001	74.835	-63.2467
21.400000	74.843	-63.8422
21.799999	74.852	-65.0554
22.000000	74.854	-65.6643
22.400000	74.862	-66.8619
22.700001	74.870	-67.7293
23.000000	74.883	-68.5664
23.299999	74.904	-69.3745
23.600000	74.929	-70.1528
24.000000	74.967	-71.1339
24.299999	74.996	-71.8169
24.700001	75.039	-72.6508
25.000000	75.073	-73.2242
25.400000	75.120	-73.9335
25.799999	75.163	-74.5863
26.200001	75.197	-75.1718
26.500000	75.216	-75.5570
26.900000	75.234	-75.9967
27.200001	75.245	-76.2808
27.600000	75.256	-76.6232
28.000000	75.264	-76.9504
28.500000	75.269	-77.3626
29.000000	75.262	-77.7865
29.500000	75.251	-78.2239
30.000000	75.238	-78.6792
30.400000	75.226	-79.0596
30.700001	75.217	-79.3544
31.100000	75.204	-79.7555
31.500000	75.192	-80.1533
32.000000	75.179	-80.6203
32.500000	75.174	-81.0371
33.000000	75.176	-81.4149
33.500000	75.182	-81.7739
34.000000	75.187	-82.1102
34.500000	75.186	-82.3984
35.000000	75.182	-82.6245
35.500000	75.174	-82.8004
36.000000	75.164	-82.9477
36.500000	75.153	-83.0821
37.000000	75.139	-83.2128
37.500000	75.120	-83.3454
38.200001	75.080	-83.5274
38.700001	75.046	-83.6474
39.500000	74.992	-83.8393
40.000000	74.957	-83.9661
40.599998	74.912	-84.0987
41.200001	74.870	-84.1845
41.799999	74.836	-84.2388
42.500000	74.798	-84.2897
43.099998	74.758	-84.2981
43.700001	74.715	-84.2457
44.400002	74.673	-84.1518
45.000000	74.638	-84.1077
45.500000	74.602	-84.1011
46.200001	74.538	-84.0816
46.799999	74.478	-84.0218
47.500000	74.409	-83.9148
48.200001	74.346	-83.7898
48.700001	74.305	-83.6904
49.400002	74.253	-83.5323
50.000000	74.200	-83.3672
50.799999	74.107	-83.0898
51.500000	74.020	-82.8212
52.200001	73.935	-82.5583
53.000000	73.838	-82.2421
53.799999	73.743	-81.8926
54.500000	73.663	-81.5863
55.200001	73.582	-81.2850
56.000000	73.487	-80.9214
57.000000	73.370	-80.4446
58.000000	73.247	-79.9709
59.000000	73.114	-79.4093
60.000000	72.985	-78.7221
60.799999	72.892	-78.1625
61.500000	72.811	-77.7129
62.200001	72.725	-77.2873
63.000000	72.618	-76.7717
64.000000	72.484	-76.0616
65.000000	72.351	-75.3403
66.000000	72.212	-74.5877
67.000000	72.073	-73.7733
68.000000	71.933	-72.9260
69.000000	71.785	-72.0449
70.000000	71.633	-71.1159
71.000000	71.484	-70.1271
72.000000	71.347	-69.0954
73.000000	71.218	-68.0500
74.000000	71.092	-67.0160
75.000000	70.961	-66.0063
76.199997	70.787	-64.7538
77.500000	70.596	-63.3235
78.800003	70.407	-61.8944
80.000000	70.232	-60.5742
81.199997	70.053	-59.2465
82.500000	69.852	-57.7205
83.800003	69.658	-56.0496
85.000000	69.492	-54.4631
86.199997	69.326	-52.8736
87.500000	69.152	-51.1317
88.500000	69.020	-49.8057
90.000000	68.821	-47.7842
91.199997	68.662	-46.1360
92.500000	68.485	-44.3108
93.800003	68.303	-42.4349
95.000000	68.133	-40.6661
96.199997	67.968	-38.8739
97.500000	67.801	-36.9452
98.800003	67.640	-35.0568
100.000000	67.495	-33.2862
101.500000	67.318	-30.9996
103.000000	67.140	-28.6170
104.400002	66.971	-26.2988
106.000000	66.783	-23.6584
107.500000	66.604	-21.1733
109.000000	66.440	-18.6220
110.599998	66.277	-15.9672
112.000000	66.134	-13.6465
113.800003	65.950	-10.6095
115.000000	65.830	-8.5569
117.199997	65.620	-4.7604
118.000000	65.546	-3.3862
120.599998	65.308	1.1075
122.000000	65.189	3.5384
124.099998	65.019	7.0957
125.000000	64.947	8.6513
126.500000	64.836	11.3165
128.000000	64.736	13.9997
131.500000	64.501	20.2424
132.000000	64.468	21.1449
134.000000	64.342	24.7179
136.000000	64.228	28.2349
138.000000	64.127	31.7389
140.000000	64.033	35.2207
143.000000	63.886	40.4902
145.000000	63.797	44.0702
147.500000	63.698	48.4119
150.000000	63.604	52.6260
152.500000	63.515	56.8395
155.000000	63.439	61.1875
157.500000	63.389	65.4581
160.000000	63.339	69.5318
162.500000	63.288	73.6567
165.000000	63.258	77.8222
167.500000	63.235	81.8900
170.000000	63.202	85.9427
172.500000	63.158	89.9680
175.000000	63.109	93.9877
177.500000	63.067	97.9506
180.000000	63.031	101.8540
182.500000	62.995	105.7749
185.000000	62.951	109.6794
187.500000	62.892	113.4820
190.000000	62.821	117.2424
192.500000	62.752	121.0110
195.000000	62.697	124.7464
197.500000	62.667	128.4266
200.000000	62.661	132.1526
203.000000	62.670	136.6807
206.000000	62.680	141.0822
209.000000	62.696	145.2674
212.000000	62.723	149.4256
214.000000	62.739	152.2446
218.000000	62.747	157.9730
220.000000	62.742	160.8320
224.000000	62.726	166.5020
227.000000	62.705	170.6603
230.000000	62.683	174.7434
233.000000	62.667	178.8793
236.000000	62.657	-176.8672
240.000000	62.649	-171.2506
243.000000	62.644	-167.1481
247.000000	62.638	-161.7477
250.000000	62.642	-157.7292
254.000000	62.660	-152.4044
258.000000	62.674	-147.1177
262.000000	62.679	-141.9268
265.000000	62.675	-138.0695
269.000000	62.665	-132.9617
272.000000	62.664	-129.1479
276.000000	62.661	-124.0502
280.000000	62.644	-118.9292
285.000000	62.627	-112.6222
290.000000	62.613	-106.4043
295.000000	62.604	-100.1550
300.000000	62.595	-94.0085
304.000000	62.591	-89.0796
307.000000	62.595	-85.3717
311.000000	62.591	-80.4681
315.000000	62.575	-75.6201
320.000000	62.560	-69.5497
325.000000	62.551	-63.5244
330.000000	62.529	-57.5176
335.000000	62.509	-51.6042
340.000000	62.502	-45.7089
345.000000	62.507	-39.7218
350.000000	62.508	-33.8203
355.000000	62.485	-28.0179
360.000000	62.453	-22.2612
365.000000	62.425	-16.4748
370.000000	62.408	-10.6863
375.000000	62.404	-4.8349
382.000000	62.394	3.2189
387.000000	62.383	8.8210
395.000000	62.366	17.9143
400.000000	62.361	23.6165
406.000000	62.370	30.4761
412.000000	62.375	37.3209
418.000000	62.369	44.1263
425.000000	62.349	51.8714
431.000000	62.329	58.3757
437.000000	62.304	64.8287
444.000000	62.279	72.4179
450.000000	62.256	79.0360
455.000000	62.240	84.5682
462.000000	62.226	92.1755
468.000000	62.226	98.6563
475.000000	62.235	106.2399
482.000000	62.260	113.8403
487.000000	62.270	119.1538
494.000000	62.274	126.4990
500.000000	62.276	132.7712
508.000000	62.289	141.1770
515.000000	62.293	148.4626
522.000000	62.304	155.6539
530.000000	62.321	163.9235
538.000000	62.328	172.1137
545.000000	62.334	179.1940
552.000000	62.350	-173.7610
560.000000	62.377	-165.6774
570.000000	62.395	-155.7093
580.000000	62.414	-145.8528
590.000000	62.435	-136.0138
600.000000	62.441	-126.2159
608.000000	62.452	-118.4539
615.000000	62.458	-111.7557
622.000000	62.459	-105.0914
630.000000	62.466	-97.4779
640.000000	62.482	-87.9192
650.000000	62.502	-78.3896
660.000000	62.510	-69.0712
670.000000	62.521	-59.8152
680.000000	62.549	-50.5272
690.000000	62.578	-41.2387
700.000000	62.607	-32.0203
710.000000	62.638	-22.9122
720.000000	62.651	-13.8531
730.000000	62.656	-4.8295
740.000000	62.670	4.1922
750.000000	62.699	13.0762
762.000000	62.721	23.5036
775.000000	62.720	34.8022
788.000000	62.727	46.1313
800.000000	62.743	56.4897
812.000000	62.758	66.9531
825.000000	62.786	78.2947
838.000000	62.811	89.4122
850.000000	62.838	99.4626
862.000000	62.867	109.3505
875.000000	62.889	120.0400
885.000000	62.900	128.2292
900.000000	62.896	140.4592
912.000000	62.888	150.3210
925.000000	62.884	161.0027
938.000000	62.888	171.5853
950.000000	62.910	-178.7982
962.000000	62.942	-169.2185
975.000000	62.966	-158.8712
988.000000	62.969	-148.6208
1000.000000	62.968	-139.1796
1015.000000	62.984	-127.5040
