* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Mar-2025 15:40:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPBP 3 A R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.493	171.4890
20.600000	91.551	170.7051
20.900000	91.625	169.7263
21.200001	91.706	168.6819
21.400000	91.761	167.9734
21.799999	91.873	166.5442
22.000000	91.928	165.8260
22.400000	92.038	164.3867
22.700001	92.116	163.3096
23.000000	92.189	162.2382
23.299999	92.259	161.1729
23.600000	92.326	160.1105
24.000000	92.409	158.6864
24.299999	92.468	157.6027
24.700001	92.545	156.1263
25.000000	92.601	154.9944
25.400000	92.673	153.4606
25.799999	92.742	151.9156
26.200001	92.807	150.3791
26.500000	92.854	149.2410
26.900000	92.914	147.7469
27.200001	92.958	146.6419
27.600000	93.014	145.1800
28.000000	93.070	143.7171
28.500000	93.135	141.8665
29.000000	93.193	139.9828
29.500000	93.240	138.0803
30.000000	93.278	136.1868
30.400000	93.303	134.6929
30.700001	93.320	133.5861
31.100000	93.342	132.1244
31.500000	93.364	130.6725
32.000000	93.390	128.8667
32.500000	93.413	127.0770
33.000000	93.433	125.3130
33.500000	93.450	123.5759
34.000000	93.464	121.8559
34.500000	93.476	120.1412
35.000000	93.482	118.4277
35.500000	93.483	116.7185
36.000000	93.481	115.0188
36.500000	93.478	113.3332
37.000000	93.473	111.6678
37.500000	93.465	110.0295
38.200001	93.447	107.7870
38.700001	93.429	106.2148
39.500000	93.391	103.7285
40.000000	93.363	102.1866
40.599998	93.329	100.3450
41.200001	93.297	98.5085
41.799999	93.268	96.6816
42.500000	93.237	94.5901
43.099998	93.212	92.8484
43.700001	93.188	91.1402
44.400002	93.155	89.1577
45.000000	93.117	87.4638
45.500000	93.079	86.0659
46.200001	93.020	84.1312
46.799999	92.973	82.4742
47.500000	92.923	80.5240
48.200001	92.876	78.5785
48.700001	92.843	77.2208
49.400002	92.795	75.3904
50.000000	92.752	73.8758
50.799999	92.687	71.8775
51.500000	92.622	70.1195
52.200001	92.553	68.3690
53.000000	92.473	66.4032
53.799999	92.396	64.4589
54.500000	92.330	62.7539
55.200001	92.263	61.0492
56.000000	92.186	59.1254
57.000000	92.092	56.7786
58.000000	91.995	54.4832
59.000000	91.891	52.2183
60.000000	91.784	49.9697
60.799999	91.698	48.1827
61.500000	91.623	46.6364
62.200001	91.548	45.1081
63.000000	91.463	43.3748
64.000000	91.358	41.2161
65.000000	91.253	39.0862
66.000000	91.143	37.0206
67.000000	91.030	35.0220
68.000000	90.916	33.0656
69.000000	90.804	31.1283
70.000000	90.697	29.1971
71.000000	90.594	27.2701
72.000000	90.492	25.3525
73.000000	90.385	23.4508
74.000000	90.273	21.5665
75.000000	90.162	19.7069
76.199997	90.035	17.5361
77.500000	89.898	15.2520
78.800003	89.752	12.9878
80.000000	89.615	10.9217
81.199997	89.482	8.9106
82.500000	89.345	6.7818
83.800003	89.216	4.6744
85.000000	89.097	2.7499
86.199997	88.973	0.8416
87.500000	88.831	-1.2123
88.500000	88.719	-2.7628
90.000000	88.552	-5.0151
91.199997	88.427	-6.7806
92.500000	88.299	-8.6852
93.800003	88.177	-10.5679
95.000000	88.067	-12.2791
96.199997	87.957	-13.9727
97.500000	87.835	-15.7909
98.800003	87.708	-17.5854
100.000000	87.589	-19.2115
101.500000	87.440	-21.1968
103.000000	87.297	-23.1556
104.400002	87.169	-24.9957
106.000000	87.031	-27.1053
107.500000	86.906	-29.0411
109.000000	86.783	-30.9145
110.599998	86.652	-32.8779
112.000000	86.541	-34.5923
113.800003	86.402	-36.7897
115.000000	86.309	-38.2391
117.199997	86.147	-40.8631
118.000000	86.091	-41.8080
120.599998	85.918	-44.8193
122.000000	85.825	-46.4105
124.099998	85.682	-48.7698
125.000000	85.620	-49.7639
126.500000	85.517	-51.4035
128.000000	85.419	-53.0341
131.500000	85.218	-56.7643
132.000000	85.190	-57.2851
134.000000	85.077	-59.3638
136.000000	84.961	-61.4737
138.000000	84.847	-63.6101
140.000000	84.742	-65.7496
143.000000	84.601	-68.9389
145.000000	84.515	-71.0098
147.500000	84.407	-73.5066
150.000000	84.301	-75.9484
152.500000	84.207	-78.4217
155.000000	84.125	-80.9282
157.500000	84.047	-83.4508
160.000000	83.967	-86.0178
162.500000	83.885	-88.6089
165.000000	83.808	-91.1711
167.500000	83.733	-93.6597
170.000000	83.659	-96.0856
172.500000	83.593	-98.4770
175.000000	83.537	-100.8679
177.500000	83.488	-103.2982
180.000000	83.438	-105.7709
182.500000	83.381	-108.2731
185.000000	83.314	-110.8048
187.500000	83.237	-113.3593
190.000000	83.152	-115.9208
192.500000	83.067	-118.4900
195.000000	82.990	-121.0563
197.500000	82.927	-123.5930
200.000000	82.879	-126.0880
203.000000	82.842	-129.0555
206.000000	82.822	-132.0132
209.000000	82.805	-134.9544
212.000000	82.781	-137.8708
214.000000	82.761	-139.8047
218.000000	82.715	-143.6594
220.000000	82.690	-145.5810
224.000000	82.632	-149.4288
227.000000	82.586	-152.3348
230.000000	82.541	-155.2439
233.000000	82.498	-158.1380
236.000000	82.459	-161.0191
240.000000	82.410	-164.8610
243.000000	82.376	-167.7366
247.000000	82.329	-171.5436
250.000000	82.293	-174.3788
254.000000	82.248	-178.1443
258.000000	82.208	178.1231
262.000000	82.171	174.4071
265.000000	82.148	171.5983
269.000000	82.125	167.8111
272.000000	82.111	164.9523
276.000000	82.090	161.1366
280.000000	82.062	157.3286
285.000000	82.024	152.6008
290.000000	81.987	147.9064
295.000000	81.949	143.2253
300.000000	81.909	138.5735
304.000000	81.876	134.8743
307.000000	81.850	132.1017
311.000000	81.813	128.4011
315.000000	81.772	124.7078
320.000000	81.723	120.1230
325.000000	81.681	115.5630
330.000000	81.644	111.0276
335.000000	81.615	106.5179
340.000000	81.592	102.0139
345.000000	81.568	97.5227
350.000000	81.539	93.0597
355.000000	81.501	88.6309
360.000000	81.461	84.2252
365.000000	81.427	79.8328
370.000000	81.400	75.4622
375.000000	81.374	71.1033
382.000000	81.329	65.0037
387.000000	81.295	60.6721
395.000000	81.248	53.7816
400.000000	81.228	49.4733
406.000000	81.209	44.3061
412.000000	81.184	39.1852
418.000000	81.150	34.0876
425.000000	81.107	28.1089
431.000000	81.075	22.9980
437.000000	81.050	17.9487
444.000000	81.028	12.1066
450.000000	81.010	7.0956
455.000000	80.992	2.9150
462.000000	80.965	-2.8967
468.000000	80.940	-7.8030
475.000000	80.908	-13.4698
482.000000	80.881	-19.1370
487.000000	80.865	-23.1934
494.000000	80.846	-28.8664
500.000000	80.830	-33.7023
508.000000	80.810	-40.1183
515.000000	80.793	-45.6998
522.000000	80.775	-51.2360
530.000000	80.755	-57.5367
538.000000	80.737	-63.8343
545.000000	80.722	-69.3226
552.000000	80.706	-74.7814
560.000000	80.689	-81.0002
570.000000	80.668	-88.7539
580.000000	80.645	-96.4668
590.000000	80.626	-104.1302
600.000000	80.610	-111.7209
608.000000	80.598	-117.7473
615.000000	80.586	-122.9957
622.000000	80.576	-128.2223
630.000000	80.564	-134.1726
640.000000	80.548	-141.5835
650.000000	80.531	-148.9795
660.000000	80.515	-156.3551
670.000000	80.501	-163.6840
680.000000	80.489	-170.9847
690.000000	80.477	-178.2912
700.000000	80.464	174.4238
710.000000	80.449	167.1952
720.000000	80.434	160.0254
730.000000	80.419	152.9240
740.000000	80.406	145.8879
750.000000	80.392	138.8939
762.000000	80.372	130.5493
775.000000	80.355	121.5454
788.000000	80.350	112.6273
800.000000	80.352	104.4985
812.000000	80.351	96.4510
825.000000	80.348	87.7437
838.000000	80.346	79.0194
850.000000	80.346	70.9999
862.000000	80.347	63.0527
875.000000	80.348	54.5222
885.000000	80.351	48.0000
900.000000	80.358	38.2650
912.000000	80.364	30.5190
925.000000	80.372	22.1740
938.000000	80.385	13.8647
950.000000	80.405	6.2099
962.000000	80.429	-1.4125
975.000000	80.457	-9.5942
988.000000	80.484	-17.7023
1000.000000	80.512	-25.1640
1015.000000	80.550	-34.4744
1030.000000	80.594	-43.7620
1044.000000	80.638	-52.4187
1060.000000	80.689	-62.2843
1075.000000	80.733	-71.4937
1090.000000	80.776	-80.6675
1106.000000	80.824	-90.4026
1120.000000	80.865	-98.8706
1138.000000	80.917	-109.7198
1150.000000	80.954	-116.9420
1172.000000	81.027	-130.1362
1180.000000	81.055	-134.9177
1206.000000	81.153	-150.3914
1220.000000	81.209	-158.6670
1241.000000	81.300	-171.0184
1250.000000	81.343	-176.2891
1265.000000	81.422	174.9700
1280.000000	81.505	166.2878
1315.000000	81.675	146.2560
1320.000000	81.692	143.4214
1340.000000	81.732	132.1565
1360.000000	81.725	121.0061
1380.000000	81.681	109.9341
1400.000000	81.626	98.9355
1430.000000	81.570	82.6174
1450.000000	81.569	71.8658
1475.000000	81.610	58.5656
1500.000000	81.679	45.3669
1525.000000	81.763	32.2941
1550.000000	81.849	19.4014
1575.000000	81.936	6.5929
1600.000000	82.035	-6.1548
1625.000000	82.146	-18.7928
1650.000000	82.264	-31.2878
1675.000000	82.392	-43.6311
1700.000000	82.538	-55.8552
1725.000000	82.698	-68.0055
1750.000000	82.870	-80.1484
1775.000000	83.053	-92.3254
1800.000000	83.242	-104.5446
1825.000000	83.432	-116.7869
1850.000000	83.618	-129.0308
1875.000000	83.796	-141.2654
1900.000000	83.966	-153.4594
1925.000000	84.128	-165.5958
1950.000000	84.281	-177.6824
1975.000000	84.424	170.2701
2000.000000	84.556	158.2533
2030.000000	84.705	143.8816
2060.000000	84.854	129.5933
2090.000000	85.005	115.4194
2120.000000	85.155	101.4081
2140.000000	85.251	92.1750
2180.000000	85.439	73.8832
2200.000000	85.530	64.8021
2240.000000	85.704	46.7767
2270.000000	85.831	33.3187
2300.000000	85.962	19.9119
2330.000000	86.095	6.5839
2360.000000	86.227	-6.6488
2400.000000	86.396	-24.1522
2430.000000	86.521	-37.2101
2470.000000	86.685	-54.4954
2500.000000	86.803	-67.3486
2540.000000	86.954	-84.3561
2580.000000	87.106	-101.2107
2620.000000	87.261	-117.9465
2650.000000	87.377	-130.4418
2690.000000	87.524	-147.0236
2720.000000	87.628	-159.3801
2760.000000	87.757	-175.7190
2800.000000	87.876	168.0725
2850.000000	88.012	147.9617
2900.000000	88.132	128.1021
2950.000000	88.233	108.4326
3000.000000	88.323	88.9376
3040.000000	88.387	73.5066
3070.000000	88.428	62.0150
3110.000000	88.477	46.7977
3150.000000	88.520	31.7086
3200.000000	88.562	13.0616
3250.000000	88.587	-5.3103
3300.000000	88.594	-23.4106
3350.000000	88.585	-41.2512
3400.000000	88.561	-58.8296
3450.000000	88.525	-76.1421
3500.000000	88.479	-93.1934
3550.000000	88.426	-109.9844
3600.000000	88.371	-126.5322
3650.000000	88.319	-142.8530
3700.000000	88.277	-158.9280
3750.000000	88.246	-174.7383
3820.000000	88.216	163.4856
3870.000000	88.206	148.1492
3950.000000	88.210	124.0166
4000.000000	88.222	109.1819
4060.000000	88.232	91.6370
4120.000000	88.227	74.3372
4180.000000	88.209	57.2061
4250.000000	88.176	37.4043
4310.000000	88.147	20.5867
4370.000000	88.120	3.9365
4440.000000	88.095	-15.2883
4500.000000	88.078	-31.6208
4550.000000	88.063	-45.1294
4620.000000	88.033	-63.8740
4680.000000	87.987	-79.7756
4750.000000	87.902	-98.1045
4820.000000	87.773	-116.1433
4870.000000	87.651	-128.8350
4940.000000	87.436	-146.3381
5000.000000	87.213	-161.0708
5080.000000	86.861	179.8228
5150.000000	86.502	163.7334
5220.000000	86.103	148.2568
5300.000000	85.616	131.3428
5380.000000	85.123	115.3071
5450.000000	84.713	102.0007
5520.000000	84.344	89.3171
5600.000000	83.996	75.4421
5700.000000	83.689	58.7446
5800.000000	83.524	42.5471
5900.000000	83.475	26.6995
6000.000000	83.501	11.1025
6080.000000	83.549	-1.2053
6150.000000	83.600	-11.8389
6220.000000	83.657	-22.3362
