* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Mar-2025 15:41:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPBP 3 Bold L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.030	-148.8665
20.600000	91.087	-149.3067
20.900000	91.157	-149.8555
21.200001	91.229	-150.4360
21.400000	91.277	-150.8248
21.799999	91.370	-151.5940
22.000000	91.417	-151.9743
22.400000	91.512	-152.7343
22.700001	91.583	-153.3129
23.000000	91.654	-153.9061
23.299999	91.722	-154.5168
23.600000	91.788	-155.1432
24.000000	91.869	-155.9937
24.299999	91.924	-156.6345
24.700001	91.994	-157.4838
25.000000	92.046	-158.1149
25.400000	92.113	-158.9514
25.799999	92.180	-159.7886
26.200001	92.244	-160.6326
26.500000	92.290	-161.2723
26.900000	92.348	-162.1356
27.200001	92.389	-162.7911
27.600000	92.440	-163.6754
28.000000	92.488	-164.5680
28.500000	92.541	-165.6849
29.000000	92.585	-166.7870
29.500000	92.621	-167.8617
30.000000	92.652	-168.9103
30.400000	92.673	-169.7399
30.700001	92.688	-170.3629
31.100000	92.708	-171.2005
31.500000	92.728	-172.0469
32.000000	92.752	-173.1093
32.500000	92.775	-174.1596
33.000000	92.794	-175.1821
33.500000	92.808	-176.1727
34.000000	92.816	-177.1383
34.500000	92.817	-178.0890
35.000000	92.813	-179.0298
35.500000	92.803	-179.9588
36.000000	92.791	179.1291
36.500000	92.778	178.2360
37.000000	92.765	177.3585
37.500000	92.750	176.4899
38.200001	92.723	175.2844
38.700001	92.697	174.4381
39.500000	92.651	173.1313
40.000000	92.621	172.3441
40.599998	92.585	171.4168
41.200001	92.549	170.5004
41.799999	92.511	169.5994
42.500000	92.462	168.5803
43.099998	92.417	167.7367
43.700001	92.369	166.9140
44.400002	92.314	165.9632
45.000000	92.267	165.1409
45.500000	92.227	164.4501
46.200001	92.167	163.4956
46.799999	92.112	162.7063
47.500000	92.046	161.8103
48.200001	91.980	160.9213
48.700001	91.932	160.2982
49.400002	91.867	159.4696
50.000000	91.813	158.8063
50.799999	91.736	157.9598
51.500000	91.661	157.2321
52.200001	91.578	156.5135
53.000000	91.478	155.7025
53.799999	91.381	154.9077
54.500000	91.300	154.2390
55.200001	91.222	153.5995
56.000000	91.132	152.8938
57.000000	91.012	152.0267
58.000000	90.887	151.1615
59.000000	90.759	150.3174
60.000000	90.629	149.5242
60.799999	90.524	148.9220
61.500000	90.435	148.4070
62.200001	90.348	147.8970
63.000000	90.254	147.3199
64.000000	90.137	146.6173
65.000000	90.015	145.9429
66.000000	89.886	145.3017
67.000000	89.754	144.7063
68.000000	89.622	144.1538
69.000000	89.489	143.6201
70.000000	89.356	143.0842
71.000000	89.221	142.5474
72.000000	89.087	142.0291
73.000000	88.956	141.5468
74.000000	88.830	141.1068
75.000000	88.706	140.7039
76.199997	88.555	140.2554
77.500000	88.382	139.8176
78.800003	88.201	139.4572
80.000000	88.034	139.1960
81.199997	87.878	138.9420
82.500000	87.717	138.6219
83.800003	87.556	138.2982
85.000000	87.400	138.0521
86.199997	87.240	137.8622
87.500000	87.069	137.6939
88.500000	86.944	137.5780
90.000000	86.763	137.4297
91.199997	86.615	137.3456
92.500000	86.450	137.2793
93.800003	86.285	137.2297
95.000000	86.135	137.2038
96.199997	85.989	137.2023
97.500000	85.835	137.2402
98.800003	85.685	137.3279
100.000000	85.548	137.4520
101.500000	85.380	137.6577
103.000000	85.217	137.9053
104.400002	85.072	138.1605
106.000000	84.914	138.4628
107.500000	84.774	138.7458
109.000000	84.643	139.0413
110.599998	84.509	139.3885
112.000000	84.395	139.7005
113.800003	84.253	140.0734
115.000000	84.157	140.3012
117.199997	83.977	140.7007
118.000000	83.913	140.8530
120.599998	83.709	141.4081
122.000000	83.599	141.7197
124.099998	83.437	142.1812
125.000000	83.369	142.3915
126.500000	83.259	142.7796
128.000000	83.151	143.2019
131.500000	82.913	144.1690
132.000000	82.880	144.3030
134.000000	82.752	144.8507
136.000000	82.627	145.4370
138.000000	82.506	146.0526
140.000000	82.393	146.6796
143.000000	82.245	147.6515
145.000000	82.152	148.3087
147.500000	82.024	149.0415
150.000000	81.897	149.6950
152.500000	81.786	150.4011
155.000000	81.687	151.2009
157.500000	81.595	152.0266
160.000000	81.510	152.7845
162.500000	81.427	153.4760
165.000000	81.343	154.1694
167.500000	81.270	154.9288
170.000000	81.208	155.7091
172.500000	81.142	156.4519
175.000000	81.066	157.1816
177.500000	80.987	157.9478
180.000000	80.915	158.7970
182.500000	80.852	159.7192
185.000000	80.793	160.6302
187.500000	80.741	161.4549
190.000000	80.699	162.1376
192.500000	80.667	162.6756
195.000000	80.641	163.1284
197.500000	80.614	163.5575
200.000000	80.587	163.9932
203.000000	80.563	164.5683
206.000000	80.551	165.2296
209.000000	80.550	165.9249
212.000000	80.555	166.5786
214.000000	80.558	166.9802
218.000000	80.550	167.7173
220.000000	80.538	168.0688
224.000000	80.503	168.7573
227.000000	80.470	169.2454
230.000000	80.438	169.6989
233.000000	80.413	170.1393
236.000000	80.390	170.5927
240.000000	80.356	171.2218
243.000000	80.327	171.6975
247.000000	80.284	172.3366
250.000000	80.255	172.8296
254.000000	80.226	173.5030
258.000000	80.203	174.1711
262.000000	80.178	174.8046
265.000000	80.157	175.2594
269.000000	80.131	175.8614
272.000000	80.113	176.3150
276.000000	80.091	176.9187
280.000000	80.072	177.5207
285.000000	80.051	178.2707
290.000000	80.031	179.0060
295.000000	80.008	179.7238
300.000000	79.986	-179.5685
304.000000	79.970	-178.9987
307.000000	79.958	-178.5727
311.000000	79.942	-178.0129
315.000000	79.927	-177.4681
320.000000	79.912	-176.8062
325.000000	79.897	-176.1615
330.000000	79.882	-175.5335
335.000000	79.874	-174.9149
340.000000	79.873	-174.2944
345.000000	79.874	-173.6831
350.000000	79.870	-173.0955
355.000000	79.862	-172.5343
360.000000	79.855	-171.9652
365.000000	79.847	-171.3737
370.000000	79.837	-170.7808
375.000000	79.830	-170.1965
382.000000	79.822	-169.4041
387.000000	79.816	-168.8770
395.000000	79.809	-168.0922
400.000000	79.807	-167.6009
406.000000	79.797	-167.0055
412.000000	79.778	-166.3917
418.000000	79.759	-165.7511
425.000000	79.748	-164.9981
431.000000	79.751	-164.3889
437.000000	79.757	-163.8017
444.000000	79.761	-163.1272
450.000000	79.765	-162.5554
455.000000	79.771	-162.0581
462.000000	79.779	-161.3395
468.000000	79.785	-160.7347
475.000000	79.791	-160.0480
482.000000	79.797	-159.3712
487.000000	79.801	-158.8903
494.000000	79.805	-158.2263
500.000000	79.811	-157.6640
508.000000	79.820	-156.9310
515.000000	79.826	-156.3287
522.000000	79.827	-155.7680
530.000000	79.827	-155.1407
538.000000	79.828	-154.4889
545.000000	79.828	-153.9107
552.000000	79.831	-153.3441
560.000000	79.838	-152.7052
570.000000	79.850	-151.8989
580.000000	79.865	-151.0969
590.000000	79.875	-150.2872
600.000000	79.877	-149.4663
608.000000	79.877	-148.8094
615.000000	79.881	-148.2442
622.000000	79.893	-147.7037
630.000000	79.915	-147.1287
640.000000	79.940	-146.4357
650.000000	79.955	-145.7170
660.000000	79.958	-144.9779
670.000000	79.953	-144.2366
680.000000	79.949	-143.4691
690.000000	79.955	-142.7136
700.000000	79.967	-142.0301
710.000000	79.981	-141.3886
720.000000	79.987	-140.7241
730.000000	79.984	-140.0150
740.000000	79.978	-139.2868
750.000000	79.971	-138.5682
762.000000	79.966	-137.7055
775.000000	79.967	-136.7186
788.000000	79.968	-135.6710
800.000000	79.971	-134.7063
812.000000	79.981	-133.7653
825.000000	79.997	-132.7523
838.000000	80.018	-131.7263
850.000000	80.038	-130.7798
862.000000	80.055	-129.8247
875.000000	80.075	-128.7874
885.000000	80.092	-128.0004
900.000000	80.118	-126.8433
912.000000	80.141	-125.9375
925.000000	80.165	-124.9649
938.000000	80.192	-123.9861
950.000000	80.221	-123.0729
962.000000	80.257	-122.1445
975.000000	80.301	-121.1439
988.000000	80.350	-120.1905
1000.000000	80.398	-119.3579
1015.000000	80.454	-118.3685
1030.000000	80.507	-117.4234
1044.000000	80.558	-116.5637
1060.000000	80.617	-115.6021
1075.000000	80.669	-114.7259
1090.000000	80.718	-113.8712
1106.000000	80.772	-112.9803
1120.000000	80.825	-112.2107
1138.000000	80.894	-111.2329
1150.000000	80.940	-110.5932
1172.000000	81.022	-109.4467
1180.000000	81.053	-109.0357
1206.000000	81.161	-107.6909
1220.000000	81.224	-106.9638
1241.000000	81.327	-105.9046
1250.000000	81.374	-105.4640
1265.000000	81.459	-104.7304
1280.000000	81.546	-103.9814
1315.000000	81.735	-102.1720
1320.000000	81.756	-101.9094
1340.000000	81.812	-100.8565
1360.000000	81.819	-99.7950
1380.000000	81.793	-98.6948
1400.000000	81.763	-97.5554
1430.000000	81.750	-95.8276
1450.000000	81.774	-94.6953
1475.000000	81.843	-93.3187
1500.000000	81.944	-91.9498
1525.000000	82.069	-90.6105
1550.000000	82.210	-89.3464
1575.000000	82.357	-88.1498
1600.000000	82.498	-86.9786
1625.000000	82.631	-85.7827
1650.000000	82.761	-84.5498
1675.000000	82.897	-83.3154
1700.000000	83.040	-82.1009
1725.000000	83.191	-80.9101
1750.000000	83.351	-79.7671
1775.000000	83.518	-78.7012
1800.000000	83.689	-77.7220
1825.000000	83.861	-76.8374
1850.000000	84.032	-76.0484
1875.000000	84.196	-75.3377
1900.000000	84.350	-74.6844
1925.000000	84.496	-74.0672
1950.000000	84.637	-73.4667
1975.000000	84.775	-72.8720
2000.000000	84.906	-72.2880
2030.000000	85.050	-71.6112
2060.000000	85.185	-70.9617
2090.000000	85.318	-70.3204
2120.000000	85.456	-69.6860
2140.000000	85.553	-69.2811
2180.000000	85.754	-68.5318
2200.000000	85.854	-68.1882
2240.000000	86.043	-67.5559
2270.000000	86.175	-67.0977
2300.000000	86.306	-66.6209
2330.000000	86.435	-66.1406
2360.000000	86.561	-65.6906
2400.000000	86.722	-65.1608
2430.000000	86.839	-64.8075
2470.000000	86.990	-64.3531
2500.000000	87.100	-64.0049
2540.000000	87.245	-63.5359
2580.000000	87.394	-63.0965
2620.000000	87.545	-62.7294
2650.000000	87.654	-62.5237
2690.000000	87.792	-62.3327
2720.000000	87.889	-62.2128
2760.000000	88.015	-62.0679
2800.000000	88.139	-61.9633
2850.000000	88.282	-61.8781
2900.000000	88.413	-61.8303
2950.000000	88.529	-61.8297
3000.000000	88.622	-61.8534
3040.000000	88.685	-61.8952
3070.000000	88.729	-61.9537
3110.000000	88.784	-62.0614
3150.000000	88.832	-62.1883
3200.000000	88.877	-62.3324
3250.000000	88.901	-62.4107
3300.000000	88.910	-62.4211
3350.000000	88.905	-62.3768
3400.000000	88.888	-62.2808
3450.000000	88.860	-62.1226
3500.000000	88.819	-61.8970
3550.000000	88.770	-61.6142
3600.000000	88.721	-61.2896
3650.000000	88.678	-60.9204
3700.000000	88.647	-60.4847
3750.000000	88.626	-59.9660
3820.000000	88.609	-59.1532
3870.000000	88.607	-58.5563
3950.000000	88.619	-57.6071
4000.000000	88.630	-57.0058
4060.000000	88.640	-56.2725
4120.000000	88.644	-55.5633
4180.000000	88.639	-54.9069
4250.000000	88.626	-54.2164
4310.000000	88.611	-53.7083
4370.000000	88.595	-53.3006
4440.000000	88.583	-52.9691
4500.000000	88.579	-52.8094
4550.000000	88.577	-52.7484
4620.000000	88.566	-52.7494
4680.000000	88.540	-52.8278
4750.000000	88.481	-52.9941
4820.000000	88.384	-53.1955
4870.000000	88.290	-53.3357
4940.000000	88.123	-53.5093
5000.000000	87.950	-53.6046
5080.000000	87.675	-53.5571
5150.000000	87.389	-53.2915
5220.000000	87.065	-52.7722
5300.000000	86.661	-51.7682
5380.000000	86.240	-50.2165
5450.000000	85.874	-48.3811
5520.000000	85.534	-46.1263
5600.000000	85.202	-43.1114
5700.000000	84.891	-38.9070
5800.000000	84.704	-34.5550
5900.000000	84.635	-30.3053
6000.000000	84.659	-26.2845
6080.000000	84.718	-23.2491
6150.000000	84.790	-20.7049
6220.000000	84.877	-18.2554
6300.000000	84.998	-15.5686
6400.000000	85.187	-12.3874
6500.000000	85.425	-9.4440
6600.000000	85.715	-6.7969
6700.000000	86.057	-4.5193
6800.000000	86.445	-2.6751
6900.000000	86.871	-1.3247
7000.000000	87.324	-0.4994
7100.000000	87.803	-0.1949
7200.000000	88.314	-0.4306
7300.000000	88.865	-1.2847
7400.000000	89.458	-2.9206
7500.000000	90.078	-5.5809
7620.000000	90.772	-10.4621
7750.000000	91.283	-17.9063
7880.000000	91.326	-26.9814
8000.000000	90.833	-35.6859
8120.000000	89.827	-43.4421
8250.000000	88.263	-49.5867
8380.000000	86.382	-52.6025
8500.000000	84.540	-52.3268
8620.000000	82.757	-49.1849
8750.000000	81.054	-43.0266
8850.000000	79.987	-36.9426
9000.000000	78.833	-27.0480
9120.000000	78.247	-19.4802
9250.000000	77.840	-12.1894
9380.000000	77.563	-5.8523
9500.000000	77.363	-0.6449
9620.000000	77.186	4.1813
9750.000000	77.011	9.2330
9880.000000	76.864	14.2801
10000.000000	76.767	18.9521
10150.000000	76.707	24.7222
10300.000000	76.702	30.3751
10440.000000	76.734	35.5950
10600.000000	76.816	41.5822
10750.000000	76.955	47.2893
