* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Mar-2025 15:42:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPBP 3 Bold R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.057	-148.8937
20.600000	91.112	-149.3120
20.900000	91.181	-149.8515
21.200001	91.253	-150.4453
21.400000	91.302	-150.8556
21.799999	91.400	-151.6928
22.000000	91.449	-152.1164
22.400000	91.549	-152.9722
22.700001	91.623	-153.6230
23.000000	91.695	-154.2816
23.299999	91.762	-154.9455
23.600000	91.826	-155.6100
24.000000	91.901	-156.4881
24.299999	91.954	-157.1366
24.700001	92.021	-157.9873
25.000000	92.071	-158.6180
25.400000	92.138	-159.4548
25.799999	92.205	-160.2910
26.200001	92.271	-161.1285
26.500000	92.318	-161.7581
26.900000	92.376	-162.6021
27.200001	92.418	-163.2417
27.600000	92.468	-164.1087
28.000000	92.515	-164.9955
28.500000	92.568	-166.1287
29.000000	92.612	-167.2717
29.500000	92.652	-168.3988
30.000000	92.688	-169.4919
30.400000	92.715	-170.3414
30.700001	92.733	-170.9681
31.100000	92.755	-171.7948
31.500000	92.773	-172.6142
32.000000	92.790	-173.6266
32.500000	92.804	-174.6248
33.000000	92.816	-175.6173
33.500000	92.825	-176.6166
34.000000	92.831	-177.6248
34.500000	92.832	-178.6298
35.000000	92.828	-179.6165
35.500000	92.819	179.4212
36.000000	92.808	178.4823
36.500000	92.794	177.5659
37.000000	92.778	176.6732
37.500000	92.758	175.8028
38.200001	92.723	174.6130
38.700001	92.696	173.7768
39.500000	92.649	172.4489
40.000000	92.619	171.6252
40.599998	92.581	170.6685
41.200001	92.542	169.7817
41.799999	92.510	168.9579
42.500000	92.479	167.9879
43.099998	92.445	167.0938
43.700001	92.396	166.1694
44.400002	92.327	165.1240
45.000000	92.270	164.2702
45.500000	92.225	163.5744
46.200001	92.166	162.6208
46.799999	92.115	161.8432
47.500000	92.055	161.0016
48.200001	91.998	160.2143
48.700001	91.959	159.6581
49.400002	91.904	158.8510
50.000000	91.849	158.1267
50.799999	91.756	157.1618
51.500000	91.665	156.3648
52.200001	91.573	155.6159
53.000000	91.471	154.7925
53.799999	91.372	153.9889
54.500000	91.291	153.3015
55.200001	91.214	152.6286
56.000000	91.128	151.8747
57.000000	91.015	150.9473
58.000000	90.893	150.0319
59.000000	90.767	149.1475
60.000000	90.641	148.3173
60.799999	90.540	147.6893
61.500000	90.453	147.1583
62.200001	90.367	146.6401
63.000000	90.270	146.0627
64.000000	90.148	145.3629
65.000000	90.021	144.6807
66.000000	89.890	144.0164
67.000000	89.761	143.3867
68.000000	89.633	142.8068
69.000000	89.504	142.2743
70.000000	89.370	141.7615
71.000000	89.233	141.2426
72.000000	89.096	140.7247
73.000000	88.964	140.2349
74.000000	88.835	139.7875
75.000000	88.708	139.3692
76.199997	88.552	138.8744
77.500000	88.378	138.3589
78.800003	88.200	137.9317
80.000000	88.037	137.6465
81.199997	87.882	137.4006
82.500000	87.721	137.0829
83.800003	87.557	136.7168
85.000000	87.402	136.4118
86.199997	87.244	136.1824
87.500000	87.074	135.9976
88.500000	86.947	135.8748
90.000000	86.764	135.7136
91.199997	86.618	135.6168
92.500000	86.455	135.5416
93.800003	86.289	135.4789
95.000000	86.136	135.4258
96.199997	85.988	135.3976
97.500000	85.832	135.4121
98.800003	85.679	135.4681
100.000000	85.541	135.5511
101.500000	85.375	135.7041
103.000000	85.217	135.9186
104.400002	85.075	136.1609
106.000000	84.917	136.4519
107.500000	84.776	136.7057
109.000000	84.644	136.9557
110.599998	84.509	137.2660
112.000000	84.393	137.5605
113.800003	84.246	137.9043
115.000000	84.149	138.0975
117.199997	83.971	138.4214
118.000000	83.907	138.5480
120.599998	83.701	139.0514
122.000000	83.590	139.3605
124.099998	83.425	139.8222
125.000000	83.356	140.0246
126.500000	83.242	140.3827
128.000000	83.130	140.7654
131.500000	82.889	141.6677
132.000000	82.856	141.7924
134.000000	82.727	142.2998
136.000000	82.599	142.8486
138.000000	82.473	143.4179
140.000000	82.351	143.9889
143.000000	82.177	144.8649
145.000000	82.068	145.4393
147.500000	81.951	146.1196
150.000000	81.850	146.7829
152.500000	81.756	147.4826
155.000000	81.661	148.2222
157.500000	81.563	148.9726
160.000000	81.471	149.6765
162.500000	81.392	150.3405
165.000000	81.326	150.9904
167.500000	81.265	151.6815
170.000000	81.205	152.3924
172.500000	81.138	153.0646
175.000000	81.063	153.7007
177.500000	80.984	154.3692
180.000000	80.906	155.1533
182.500000	80.832	156.0203
185.000000	80.769	156.8770
187.500000	80.718	157.6693
190.000000	80.680	158.3579
192.500000	80.648	158.9181
195.000000	80.618	159.3693
197.500000	80.585	159.7626
200.000000	80.555	160.1425
203.000000	80.533	160.6318
206.000000	80.528	161.1793
209.000000	80.534	161.7483
212.000000	80.543	162.2985
214.000000	80.545	162.6542
218.000000	80.536	163.3488
220.000000	80.524	163.6938
224.000000	80.492	164.3658
227.000000	80.461	164.8263
230.000000	80.428	165.2401
233.000000	80.393	165.6224
236.000000	80.359	165.9978
240.000000	80.319	166.5137
243.000000	80.290	166.9243
247.000000	80.249	167.5000
250.000000	80.219	167.9444
254.000000	80.186	168.5378
258.000000	80.163	169.1238
262.000000	80.139	169.6832
265.000000	80.118	170.0795
269.000000	80.090	170.5982
272.000000	80.070	170.9879
276.000000	80.047	171.5139
280.000000	80.028	172.0460
285.000000	80.010	172.7001
290.000000	79.992	173.3305
295.000000	79.970	173.9444
300.000000	79.945	174.5580
304.000000	79.926	175.0495
307.000000	79.914	175.4088
311.000000	79.898	175.8755
315.000000	79.882	176.3322
320.000000	79.864	176.8955
325.000000	79.847	177.4577
330.000000	79.833	178.0032
335.000000	79.827	178.5197
340.000000	79.827	179.0137
345.000000	79.823	179.5003
350.000000	79.811	-179.9902
355.000000	79.798	-179.4685
360.000000	79.788	-178.9635
365.000000	79.780	-178.4654
370.000000	79.771	-177.9852
375.000000	79.765	-177.5435
382.000000	79.759	-176.9662
387.000000	79.757	-176.5673
395.000000	79.759	-175.9255
400.000000	79.758	-175.5186
406.000000	79.751	-175.0354
412.000000	79.736	-174.5254
418.000000	79.719	-173.9704
425.000000	79.705	-173.3040
431.000000	79.703	-172.8035
437.000000	79.707	-172.3721
444.000000	79.713	-171.8816
450.000000	79.718	-171.4382
455.000000	79.723	-171.0449
462.000000	79.728	-170.4812
468.000000	79.731	-170.0156
475.000000	79.736	-169.4975
482.000000	79.740	-168.9779
487.000000	79.740	-168.6022
494.000000	79.738	-168.0902
500.000000	79.740	-167.6647
508.000000	79.749	-167.1115
515.000000	79.760	-166.6454
522.000000	79.766	-166.1904
530.000000	79.767	-165.6757
538.000000	79.765	-165.1727
545.000000	79.764	-164.7400
552.000000	79.766	-164.3139
560.000000	79.773	-163.8359
570.000000	79.786	-163.2317
580.000000	79.799	-162.6348
590.000000	79.811	-162.0317
600.000000	79.815	-161.4198
608.000000	79.815	-160.9329
615.000000	79.819	-160.5174
622.000000	79.830	-160.1271
630.000000	79.850	-159.7228
640.000000	79.876	-159.2382
650.000000	79.892	-158.7166
660.000000	79.896	-158.1695
670.000000	79.891	-157.6260
680.000000	79.889	-157.0596
690.000000	79.895	-156.5067
700.000000	79.907	-156.0324
710.000000	79.920	-155.6044
720.000000	79.925	-155.1476
730.000000	79.923	-154.6470
740.000000	79.918	-154.1307
750.000000	79.912	-153.6231
762.000000	79.905	-153.0182
775.000000	79.900	-152.3067
788.000000	79.899	-151.5161
800.000000	79.904	-150.7836
812.000000	79.916	-150.0732
825.000000	79.936	-149.3101
838.000000	79.957	-148.5393
850.000000	79.976	-147.8330
862.000000	79.993	-147.1162
875.000000	80.011	-146.3322
885.000000	80.026	-145.7390
900.000000	80.051	-144.8798
912.000000	80.074	-144.2143
925.000000	80.099	-143.4900
938.000000	80.126	-142.7550
950.000000	80.156	-142.0694
962.000000	80.192	-141.3707
975.000000	80.237	-140.6236
988.000000	80.286	-139.9322
1000.000000	80.333	-139.3441
1015.000000	80.388	-138.6528
1030.000000	80.440	-137.9968
1044.000000	80.491	-137.4091
1060.000000	80.550	-136.7664
1075.000000	80.601	-136.1953
1090.000000	80.649	-135.6471
1106.000000	80.704	-135.0686
1120.000000	80.759	-134.5564
1138.000000	80.835	-133.9118
1150.000000	80.884	-133.5004
1172.000000	80.967	-132.7634
1180.000000	80.996	-132.5011
1206.000000	81.097	-131.6572
1220.000000	81.158	-131.1987
1241.000000	81.261	-130.5287
1250.000000	81.310	-130.2536
1265.000000	81.398	-129.8021
1280.000000	81.489	-129.3412
1315.000000	81.673	-128.2251
1320.000000	81.693	-128.0620
1340.000000	81.747	-127.3935
1360.000000	81.757	-126.6980
1380.000000	81.734	-125.9593
1400.000000	81.704	-125.1926
1430.000000	81.690	-124.0501
1450.000000	81.714	-123.2992
1475.000000	81.780	-122.3986
1500.000000	81.879	-121.5038
1525.000000	82.004	-120.6275
1550.000000	82.147	-119.8458
1575.000000	82.288	-119.1510
1600.000000	82.421	-118.4770
1625.000000	82.550	-117.7646
1650.000000	82.684	-117.0026
1675.000000	82.820	-116.2241
1700.000000	82.965	-115.4674
1725.000000	83.119	-114.7371
1750.000000	83.281	-114.0567
1775.000000	83.445	-113.4660
1800.000000	83.611	-112.9810
1825.000000	83.780	-112.5897
1850.000000	83.949	-112.2767
1875.000000	84.111	-112.0340
1900.000000	84.265	-111.8503
1925.000000	84.411	-111.7030
1950.000000	84.552	-111.5720
1975.000000	84.689	-111.4475
2000.000000	84.820	-111.3337
2030.000000	84.965	-111.2190
2060.000000	85.099	-111.1280
2090.000000	85.232	-111.0466
2120.000000	85.368	-110.9730
2140.000000	85.464	-110.9418
2180.000000	85.666	-110.9405
2200.000000	85.765	-110.9698
2240.000000	85.954	-111.0795
2270.000000	86.085	-111.1774
2300.000000	86.215	-111.2599
2330.000000	86.343	-111.3395
2360.000000	86.469	-111.4470
2400.000000	86.630	-111.6595
2430.000000	86.747	-111.8649
2470.000000	86.898	-112.1535
2500.000000	87.008	-112.3616
2540.000000	87.153	-112.6357
2580.000000	87.303	-112.9433
2620.000000	87.454	-113.3230
2650.000000	87.564	-113.6752
2690.000000	87.702	-114.2237
2720.000000	87.799	-114.6561
2760.000000	87.925	-115.2488
2800.000000	88.050	-115.8865
2850.000000	88.197	-116.7354
2900.000000	88.333	-117.6309
2950.000000	88.460	-118.5691
3000.000000	88.563	-119.5301
3040.000000	88.623	-120.3052
3070.000000	88.661	-120.8978
3110.000000	88.708	-121.7156
3150.000000	88.751	-122.5648
3200.000000	88.791	-123.6195
3250.000000	88.815	-124.6140
3300.000000	88.824	-125.5441
3350.000000	88.819	-126.4177
3400.000000	88.803	-127.2378
3450.000000	88.777	-127.9959
3500.000000	88.739	-128.6891
3550.000000	88.692	-129.3283
3600.000000	88.640	-129.9238
3650.000000	88.593	-130.4806
3700.000000	88.555	-130.9854
3750.000000	88.526	-131.4210
3820.000000	88.502	-131.9370
3870.000000	88.503	-132.2505
3950.000000	88.526	-132.6949
4000.000000	88.542	-132.9750
4060.000000	88.555	-133.3208
4120.000000	88.560	-133.7042
4180.000000	88.557	-134.1448
4250.000000	88.544	-134.7334
4310.000000	88.528	-135.3197
4370.000000	88.512	-136.0040
4440.000000	88.499	-136.9444
4500.000000	88.494	-137.8736
4550.000000	88.493	-138.7188
4620.000000	88.484	-139.9876
4680.000000	88.459	-141.1449
4750.000000	88.400	-142.5582
4820.000000	88.303	-144.0029
4870.000000	88.208	-145.0310
4940.000000	88.043	-146.4492
5000.000000	87.871	-147.6138
5080.000000	87.597	-148.9924
5150.000000	87.313	-149.9780
5220.000000	86.992	-150.7125
5300.000000	86.588	-151.1417
5380.000000	86.164	-151.0405
5450.000000	85.798	-150.4821
5520.000000	85.458	-149.5040
5600.000000	85.127	-147.9559
5700.000000	84.816	-145.5975
5800.000000	84.629	-143.0976
5900.000000	84.562	-140.7078
6000.000000	84.587	-138.5411
6080.000000	84.649	-136.9732
6150.000000	84.722	-135.7060
6220.000000	84.812	-134.5346
6300.000000	84.934	-133.3134
6400.000000	85.122	-131.9643
6500.000000	85.357	-130.8464
6600.000000	85.645	-130.0165
6700.000000	85.987	-129.5440
6800.000000	86.376	-129.4917
6900.000000	86.802	-129.9262
7000.000000	87.255	-130.8868
7100.000000	87.733	-132.3687
7200.000000	88.244	-134.3805
7300.000000	88.796	-136.9994
7400.000000	89.391	-140.3966
7500.000000	90.010	-144.8111
7620.000000	90.701	-151.7584
7750.000000	91.205	-161.3604
7880.000000	91.240	-172.5070
8000.000000	90.739	176.9321
8120.000000	89.727	167.3393
8250.000000	88.159	159.1840
8380.000000	86.277	154.0981
8500.000000	84.436	152.3819
8620.000000	82.654	153.4311
8750.000000	80.954	157.2014
8850.000000	79.888	161.3876
9000.000000	78.736	168.4269
9120.000000	78.151	173.7641
9250.000000	77.744	178.7101
9380.000000	77.468	-177.2522
9500.000000	77.269	-174.1488
9620.000000	77.095	-171.4052
9750.000000	76.925	-168.5833
9880.000000	76.783	-165.7585
10000.000000	76.690	-163.1546
10150.000000	76.632	-159.9818
10300.000000	76.627	-156.9281
10440.000000	76.659	-154.1399
10600.000000	76.740	-150.9355
10750.000000	76.879	-147.8408
10900.000000	77.105	-144.6027
11060.000000	77.480	-140.9900
11200.000000	77.954	-137.8075
11380.000000	78.802	-134.1044
11500.000000	79.519	-132.2838
11720.000000	81.039	-131.3669
11800.000000	81.599	-131.9514
12060.000000	83.206	-136.3717
12200.000000	83.930	-139.3617
12410.000000	85.028	-143.5827
12500.000000	85.567	-145.3862
12650.000000	86.583	-148.9045
12800.000000	87.685	-153.7148
13150.000000	89.879	-172.0526
13200.000000	90.087	-175.4036
13400.000000	90.569	170.1264
13600.000000	90.524	155.1236
13800.000000	90.111	140.7057
14000.000000	89.521	127.2235
14300.000000	88.524	108.2199
14500.000000	87.754	96.1156
14750.000000	86.566	81.9981
15000.000000	85.144	69.5627
15250.000000	83.633	58.7574
15500.000000	82.166	48.5979
15750.000000	80.744	37.7205
16000.000000	79.215	25.6404
16250.000000	77.366	13.3347
16500.000000	75.091	2.5752
16750.000000	72.453	-5.0710
17000.000000	69.634	-8.8021
17250.000000	66.849	-8.7153
17500.000000	64.286	-5.5483
17750.000000	62.072	-0.2811
18000.000000	60.261	6.2054
18250.000000	58.848	13.3580
18500.000000	57.791	20.7838
18750.000000	57.030	28.0099
19000.000000	56.488	34.7387
19250.000000	56.082	40.8527
19500.000000	55.731	46.3159
19750.000000	55.432	50.8932
20000.000000	55.258	53.6782
