* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Mar-2025 15:43:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPBP 3 Dyn F L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.903	-101.2026
20.600000	88.978	-102.1766
20.900000	89.071	-103.3911
21.200001	89.166	-104.6886
21.400000	89.229	-105.5704
21.799999	89.349	-107.3490
22.000000	89.408	-108.2388
22.400000	89.521	-110.0014
22.700001	89.605	-111.2948
23.000000	89.689	-112.5559
23.299999	89.774	-113.7853
23.600000	89.859	-114.9893
24.000000	89.971	-116.5715
24.299999	90.051	-117.7492
24.700001	90.149	-119.3089
25.000000	90.217	-120.4646
25.400000	90.301	-121.9747
25.799999	90.380	-123.4428
26.200001	90.459	-124.8740
26.500000	90.519	-125.9318
26.900000	90.598	-127.3337
27.200001	90.655	-128.3834
27.600000	90.728	-129.7799
28.000000	90.794	-131.1639
28.500000	90.867	-132.8551
29.000000	90.931	-134.4833
29.500000	90.995	-136.0469
30.000000	91.062	-137.5668
30.400000	91.117	-138.7703
30.700001	91.159	-139.6717
31.100000	91.213	-140.8712
31.500000	91.263	-142.0612
32.000000	91.321	-143.5234
32.500000	91.376	-144.9550
33.000000	91.427	-146.3638
33.500000	91.472	-147.7538
34.000000	91.514	-149.1193
34.500000	91.552	-150.4546
35.000000	91.591	-151.7666
35.500000	91.629	-153.0703
36.000000	91.665	-154.3715
36.500000	91.697	-155.6583
37.000000	91.724	-156.9111
37.500000	91.751	-158.1213
38.200001	91.791	-159.7670
38.700001	91.823	-160.9362
39.500000	91.871	-162.8210
40.000000	91.896	-163.9948
40.599998	91.918	-165.3750
41.200001	91.938	-166.7123
41.799999	91.959	-168.0106
42.500000	91.987	-169.4955
43.099998	92.012	-170.7543
43.700001	92.033	-171.9997
44.400002	92.052	-173.4288
45.000000	92.066	-174.6329
45.500000	92.077	-175.6250
46.200001	92.093	-176.9990
46.799999	92.107	-178.1567
47.500000	92.120	-179.4677
48.200001	92.131	179.2692
48.700001	92.141	178.3798
49.400002	92.156	177.1144
50.000000	92.163	175.9969
50.799999	92.156	174.5010
51.500000	92.142	173.2350
52.200001	92.134	172.0103
53.000000	92.134	170.6270
53.799999	92.141	169.2535
54.500000	92.146	168.0749
55.200001	92.149	166.9220
56.000000	92.146	165.6210
57.000000	92.140	163.9983
58.000000	92.133	162.3936
59.000000	92.126	160.8341
60.000000	92.116	159.3096
60.799999	92.105	158.1002
61.500000	92.094	157.0484
62.200001	92.085	156.0032
63.000000	92.075	154.8148
64.000000	92.063	153.3508
65.000000	92.050	151.9326
66.000000	92.043	150.5448
67.000000	92.038	149.1485
68.000000	92.027	147.7313
69.000000	92.008	146.3208
70.000000	91.987	144.9437
71.000000	91.968	143.5974
72.000000	91.950	142.2749
73.000000	91.931	140.9670
74.000000	91.910	139.6631
75.000000	91.889	138.3667
76.199997	91.867	136.8380
77.500000	91.844	135.2222
78.800003	91.817	133.6224
80.000000	91.785	132.1414
81.199997	91.751	130.6711
82.500000	91.722	129.0966
83.800003	91.697	127.5327
85.000000	91.670	126.0970
86.199997	91.639	124.6642
87.500000	91.607	123.1216
88.500000	91.579	121.9574
90.000000	91.531	120.2662
91.199997	91.489	118.9550
92.500000	91.442	117.5441
93.800003	91.398	116.1171
95.000000	91.361	114.7953
96.199997	91.328	113.4911
97.500000	91.298	112.1006
98.800003	91.270	110.7312
100.000000	91.242	109.4891
101.500000	91.202	107.9614
103.000000	91.160	106.4449
104.400002	91.124	105.0205
106.000000	91.094	103.3583
107.500000	91.074	101.7783
109.000000	91.052	100.1968
110.599998	91.017	98.5034
112.000000	90.979	97.0190
113.800003	90.931	95.1276
115.000000	90.903	93.8766
117.199997	90.853	91.5803
118.000000	90.833	90.7370
120.599998	90.750	87.9324
122.000000	90.700	86.4011
124.099998	90.627	84.1509
125.000000	90.597	83.2061
126.500000	90.548	81.6447
128.000000	90.501	80.0927
131.500000	90.382	76.5249
132.000000	90.364	76.0232
134.000000	90.287	74.0179
136.000000	90.206	72.0032
138.000000	90.120	70.0154
140.000000	90.033	68.0699
143.000000	89.903	65.1322
145.000000	89.816	63.1238
147.500000	89.694	60.5807
150.000000	89.559	58.0541
152.500000	89.415	55.5291
155.000000	89.262	53.0059
157.500000	89.101	50.5842
160.000000	88.933	48.2598
162.500000	88.762	46.0050
165.000000	88.593	43.8351
167.500000	88.419	41.7220
170.000000	88.239	39.6599
172.500000	88.051	37.6909
175.000000	87.854	35.8318
177.500000	87.654	34.1114
180.000000	87.460	32.5546
182.500000	87.275	31.1364
185.000000	87.096	29.7629
187.500000	86.923	28.3412
190.000000	86.754	26.8536
192.500000	86.590	25.3252
195.000000	86.430	23.7847
197.500000	86.276	22.2599
200.000000	86.131	20.7849
203.000000	85.979	19.1089
206.000000	85.856	17.5256
209.000000	85.753	15.9998
212.000000	85.663	14.5099
214.000000	85.605	13.5253
218.000000	85.484	11.5142
220.000000	85.420	10.4700
224.000000	85.284	8.3350
227.000000	85.180	6.7434
230.000000	85.078	5.1847
233.000000	84.980	3.6519
236.000000	84.886	2.1219
240.000000	84.771	0.0494
243.000000	84.691	-1.5466
247.000000	84.585	-3.7179
250.000000	84.509	-5.3472
254.000000	84.414	-7.4922
258.000000	84.326	-9.6083
262.000000	84.242	-11.7091
265.000000	84.178	-13.2787
269.000000	84.094	-15.3893
272.000000	84.033	-17.0064
276.000000	83.957	-19.2074
280.000000	83.883	-21.4331
285.000000	83.794	-24.2201
290.000000	83.707	-27.0011
295.000000	83.622	-29.7677
300.000000	83.535	-32.5349
304.000000	83.465	-34.7489
307.000000	83.413	-36.4041
311.000000	83.345	-38.6118
315.000000	83.276	-40.8202
320.000000	83.189	-43.5769
325.000000	83.103	-46.3331
330.000000	83.021	-49.0893
335.000000	82.945	-51.8680
340.000000	82.872	-54.6755
345.000000	82.802	-57.4843
350.000000	82.733	-60.2661
355.000000	82.661	-63.0308
360.000000	82.588	-65.7803
365.000000	82.518	-68.5131
370.000000	82.452	-71.2609
375.000000	82.388	-74.0506
382.000000	82.297	-77.9866
