* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Mar-2025 15:44:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPBP 3 Dyn F R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.954	-87.9368
20.600000	89.035	-88.8769
20.900000	89.129	-90.0523
21.200001	89.219	-91.2857
21.400000	89.275	-92.0959
21.799999	89.379	-93.6369
22.000000	89.432	-94.3636
22.400000	89.545	-95.7526
22.700001	89.638	-96.7698
23.000000	89.734	-97.7915
23.299999	89.829	-98.8269
23.600000	89.920	-99.8711
24.000000	90.030	-101.2527
24.299999	90.104	-102.2641
24.700001	90.197	-103.5699
25.000000	90.264	-104.5217
25.400000	90.351	-105.7663
25.799999	90.436	-106.9907
26.200001	90.516	-108.1928
26.500000	90.573	-109.0758
26.900000	90.646	-110.2268
27.200001	90.699	-111.0731
27.600000	90.766	-112.1846
28.000000	90.829	-113.2803
28.500000	90.903	-114.6259
29.000000	90.974	-115.9418
29.500000	91.043	-117.2320
30.000000	91.112	-118.4997
30.400000	91.165	-119.4913
30.700001	91.204	-120.2156
31.100000	91.253	-121.1501
31.500000	91.300	-122.0504
32.000000	91.359	-123.1427
32.500000	91.415	-124.2198
33.000000	91.466	-125.2949
33.500000	91.512	-126.3679
34.000000	91.555	-127.4334
34.500000	91.595	-128.4842
35.000000	91.633	-129.5090
35.500000	91.668	-130.4943
36.000000	91.702	-131.4367
36.500000	91.737	-132.3519
37.000000	91.772	-133.2681
37.500000	91.805	-134.2050
38.200001	91.842	-135.5355
38.700001	91.863	-136.4577
39.500000	91.899	-137.8206
40.000000	91.927	-138.6086
40.599998	91.965	-139.5264
41.200001	91.998	-140.4375
41.799999	92.022	-141.3374
42.500000	92.041	-142.3572
43.099998	92.055	-143.2163
43.700001	92.071	-144.0838
44.400002	92.095	-145.1098
45.000000	92.115	-145.9781
45.500000	92.130	-146.6780
46.200001	92.146	-147.6172
46.799999	92.156	-148.3981
47.500000	92.166	-149.3069
48.200001	92.177	-150.2198
48.700001	92.186	-150.8587
49.400002	92.202	-151.7088
50.000000	92.214	-152.3965
50.799999	92.222	-153.2851
51.500000	92.219	-154.0498
52.200001	92.214	-154.8015
53.000000	92.210	-155.6573
53.799999	92.209	-156.5258
54.500000	92.206	-157.2891
55.200001	92.202	-158.0439
56.000000	92.198	-158.8923
57.000000	92.190	-159.9182
58.000000	92.177	-160.8713
59.000000	92.166	-161.7553
60.000000	92.161	-162.6099
60.799999	92.160	-163.2884
61.500000	92.159	-163.8875
62.200001	92.157	-164.4974
63.000000	92.150	-165.2002
64.000000	92.137	-166.0524
65.000000	92.122	-166.8528
66.000000	92.105	-167.6049
67.000000	92.086	-168.3095
68.000000	92.068	-168.9968
69.000000	92.050	-169.7163
70.000000	92.031	-170.4682
71.000000	92.015	-171.2143
72.000000	92.002	-171.9306
73.000000	91.988	-172.6273
74.000000	91.967	-173.3162
75.000000	91.943	-173.9843
76.199997	91.914	-174.7546
77.500000	91.883	-175.5800
78.800003	91.849	-176.3882
80.000000	91.821	-177.0917
81.199997	91.796	-177.7462
82.500000	91.773	-178.4254
83.800003	91.746	-179.1197
85.000000	91.719	-179.7641
86.199997	91.689	179.6168
87.500000	91.653	178.9630
88.500000	91.623	178.4601
90.000000	91.578	177.7131
91.199997	91.547	177.1188
92.500000	91.514	176.4618
93.800003	91.477	175.7917
95.000000	91.441	175.1852
96.199997	91.403	174.6058
97.500000	91.361	174.0169
98.800003	91.316	173.4823
100.000000	91.277	173.0385
101.500000	91.234	172.5060
103.000000	91.199	171.9431
104.400002	91.171	171.3875
106.000000	91.145	170.7561
107.500000	91.124	170.1793
109.000000	91.102	169.5979
110.599998	91.077	168.9524
112.000000	91.053	168.3577
113.800003	91.015	167.5640
115.000000	90.985	167.0315
117.199997	90.922	166.0769
118.000000	90.897	165.7399
120.599998	90.818	164.6714
