* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Mar-2025 15:42:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPBP 3 Seren L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.561	-163.5424
20.600000	88.571	-163.8468
20.900000	88.583	-164.2151
21.200001	88.592	-164.5908
21.400000	88.597	-164.8347
21.799999	88.603	-165.3022
22.000000	88.604	-165.5269
22.400000	88.603	-165.9633
22.700001	88.600	-166.2822
23.000000	88.595	-166.5942
23.299999	88.590	-166.8985
23.600000	88.585	-167.1944
24.000000	88.580	-167.5785
24.299999	88.578	-167.8634
24.700001	88.579	-168.2456
25.000000	88.580	-168.5346
25.400000	88.580	-168.9152
25.799999	88.577	-169.2744
26.200001	88.569	-169.5970
26.500000	88.562	-169.8130
26.900000	88.552	-170.0753
27.200001	88.547	-170.2626
27.600000	88.541	-170.5131
28.000000	88.538	-170.7707
28.500000	88.535	-171.0964
29.000000	88.531	-171.4115
29.500000	88.527	-171.7070
30.000000	88.523	-171.9846
30.400000	88.518	-172.1970
30.700001	88.514	-172.3521
31.100000	88.510	-172.5562
31.500000	88.507	-172.7613
32.000000	88.507	-173.0264
32.500000	88.510	-173.3033
33.000000	88.513	-173.5836
33.500000	88.516	-173.8537
34.000000	88.521	-174.1036
34.500000	88.528	-174.3300
35.000000	88.536	-174.5319
35.500000	88.547	-174.7103
36.000000	88.560	-174.8744
36.500000	88.574	-175.0425
37.000000	88.589	-175.2316
37.500000	88.599	-175.4448
38.200001	88.604	-175.7648
38.700001	88.605	-176.0007
39.500000	88.608	-176.4124
40.000000	88.612	-176.7015
40.599998	88.615	-177.0691
41.200001	88.619	-177.4399
41.799999	88.627	-177.8086
42.500000	88.638	-178.2431
43.099998	88.644	-178.6133
43.700001	88.646	-178.9617
44.400002	88.647	-179.3249
45.000000	88.648	-179.6123
45.500000	88.648	-179.8522
46.200001	88.643	179.8018
46.799999	88.634	179.5029
47.500000	88.626	179.1460
48.200001	88.626	178.7590
48.700001	88.630	178.4727
49.400002	88.634	178.1035
50.000000	88.634	177.8381
50.799999	88.628	177.5096
51.500000	88.614	177.1832
52.200001	88.595	176.8130
53.000000	88.571	176.3853
53.799999	88.549	175.9982
54.500000	88.534	175.6994
55.200001	88.520	175.4197
56.000000	88.503	175.0975
57.000000	88.479	174.6743
58.000000	88.450	174.2444
59.000000	88.421	173.8219
60.000000	88.392	173.4070
60.799999	88.365	173.0935
61.500000	88.339	172.8394
62.200001	88.313	172.5962
63.000000	88.285	172.3121
64.000000	88.257	171.9224
65.000000	88.231	171.4995
66.000000	88.203	171.0685
67.000000	88.170	170.6483
68.000000	88.134	170.2579
69.000000	88.095	169.9157
70.000000	88.052	169.6240
71.000000	88.006	169.3527
72.000000	87.961	169.0671
73.000000	87.918	168.7572
74.000000	87.879	168.4276
75.000000	87.843	168.1006
76.199997	87.802	167.7623
77.500000	87.756	167.4694
78.800003	87.702	167.2053
80.000000	87.644	166.9596
81.199997	87.582	166.7137
82.500000	87.520	166.4471
83.800003	87.470	166.1731
85.000000	87.426	165.9287
86.199997	87.378	165.6970
87.500000	87.320	165.4552
88.500000	87.273	165.2809
90.000000	87.201	165.0522
91.199997	87.146	164.8978
92.500000	87.091	164.7446
93.800003	87.039	164.5880
95.000000	86.988	164.4434
96.199997	86.935	164.3136
97.500000	86.875	164.1963
98.800003	86.811	164.1047
100.000000	86.748	164.0369
101.500000	86.669	163.9684
103.000000	86.596	163.9494
104.400002	86.540	163.9954
106.000000	86.488	164.0546
107.500000	86.445	164.0407
109.000000	86.404	163.9570
110.599998	86.356	163.8317
112.000000	86.312	163.7270
113.800003	86.253	163.6111
115.000000	86.213	163.5306
117.199997	86.140	163.3558
118.000000	86.115	163.2888
120.599998	86.037	163.0911
122.000000	85.992	163.0107
124.099998	85.917	162.9480
125.000000	85.883	162.9450
126.500000	85.826	162.9538
128.000000	85.771	162.9547
131.500000	85.655	162.9649
132.000000	85.638	162.9762
134.000000	85.565	163.0332
136.000000	85.493	163.0773
138.000000	85.424	163.1097
140.000000	85.359	163.1339
143.000000	85.265	163.1580
145.000000	85.205	163.2108
147.500000	85.136	163.3372
150.000000	85.066	163.4356
152.500000	84.999	163.5186
155.000000	84.940	163.6453
157.500000	84.879	163.8209
160.000000	84.817	164.0151
162.500000	84.758	164.1823
165.000000	84.699	164.2959
167.500000	84.638	164.4164
170.000000	84.580	164.5773
172.500000	84.523	164.7693
175.000000	84.461	164.9972
177.500000	84.394	165.2484
180.000000	84.331	165.5328
182.500000	84.279	165.8808
185.000000	84.234	166.2690
187.500000	84.188	166.6284
190.000000	84.135	166.8998
192.500000	84.079	167.0592
195.000000	84.026	167.1348
197.500000	83.981	167.1779
200.000000	83.946	167.2183
203.000000	83.920	167.2828
206.000000	83.908	167.3706
209.000000	83.904	167.4768
212.000000	83.901	167.5999
214.000000	83.896	167.6892
218.000000	83.870	167.8763
220.000000	83.849	167.9625
224.000000	83.799	168.1162
227.000000	83.756	168.2208
230.000000	83.710	168.3397
233.000000	83.659	168.4955
236.000000	83.604	168.6816
240.000000	83.530	168.9340
243.000000	83.474	169.0999
247.000000	83.401	169.2843
250.000000	83.350	169.4127
254.000000	83.292	169.6128
258.000000	83.236	169.8654
262.000000	83.178	170.1587
265.000000	83.133	170.3999
269.000000	83.076	170.7199
272.000000	83.036	170.9480
276.000000	82.986	171.2482
280.000000	82.940	171.5542
285.000000	82.885	171.9442
290.000000	82.829	172.3463
295.000000	82.772	172.7369
300.000000	82.714	173.0941
304.000000	82.667	173.3657
307.000000	82.631	173.5742
311.000000	82.583	173.8787
315.000000	82.538	174.2195
320.000000	82.491	174.6671
325.000000	82.450	175.0840
330.000000	82.406	175.4690
335.000000	82.361	175.8589
340.000000	82.318	176.2625
345.000000	82.279	176.6513
350.000000	82.234	177.0305
355.000000	82.182	177.4413
360.000000	82.132	177.8798
365.000000	82.088	178.3141
370.000000	82.051	178.7168
375.000000	82.015	179.1010
382.000000	81.968	179.6788
387.000000	81.937	-179.8714
395.000000	81.892	-179.1629
400.000000	81.864	-178.7413
406.000000	81.829	-178.2424
412.000000	81.796	-177.7802
