* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10-Mar-2025 15:42:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPBP 3 Seren R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.527	146.0658
20.600000	88.533	145.3345
20.900000	88.539	144.4160
21.200001	88.545	143.4313
21.400000	88.549	142.7621
21.799999	88.556	141.4174
22.000000	88.560	140.7470
22.400000	88.568	139.4189
22.700001	88.573	138.4381
23.000000	88.578	137.4724
23.299999	88.581	136.5215
23.600000	88.583	135.5839
24.000000	88.582	134.3499
24.299999	88.577	133.4326
24.700001	88.569	132.2168
25.000000	88.561	131.3103
25.400000	88.550	130.1139
25.799999	88.539	128.9396
26.200001	88.529	127.7937
26.500000	88.523	126.9521
26.900000	88.517	125.8468
27.200001	88.513	125.0254
27.600000	88.506	123.9379
28.000000	88.498	122.8642
28.500000	88.486	121.5550
29.000000	88.476	120.2836
29.500000	88.473	119.0265
30.000000	88.477	117.7548
30.400000	88.480	116.7224
30.700001	88.481	115.9447
31.100000	88.481	114.9124
31.500000	88.480	113.8914
32.000000	88.481	112.6306
32.500000	88.482	111.3839
33.000000	88.483	110.1557
33.500000	88.485	108.9529
34.000000	88.491	107.7687
34.500000	88.502	106.5812
35.000000	88.515	105.3722
35.500000	88.526	104.1439
36.000000	88.533	102.9158
36.500000	88.538	101.7066
37.000000	88.543	100.5191
37.500000	88.551	99.3392
38.200001	88.563	97.6653
38.700001	88.571	96.4457
39.500000	88.577	94.4860
40.000000	88.578	93.2769
40.599998	88.579	91.8393
41.200001	88.582	90.3964
41.799999	88.587	88.9401
42.500000	88.595	87.2397
43.099998	88.603	85.7919
43.700001	88.612	84.3478
44.400002	88.620	82.6586
45.000000	88.622	81.2123
45.500000	88.622	80.0190
46.200001	88.618	78.3776
46.799999	88.616	76.9886
47.500000	88.613	75.3606
48.200001	88.606	73.7151
48.700001	88.601	72.5395
49.400002	88.600	70.9005
50.000000	88.603	69.4912
50.799999	88.601	67.5966
51.500000	88.589	65.9454
52.200001	88.570	64.3163
53.000000	88.546	62.4722
53.799999	88.526	60.6406
54.500000	88.511	59.0532
55.200001	88.495	57.4825
56.000000	88.476	55.7050
57.000000	88.451	53.4967
58.000000	88.429	51.2844
59.000000	88.404	49.0758
60.000000	88.374	46.8858
60.799999	88.346	45.1493
61.500000	88.322	43.6398
62.200001	88.298	42.1371
63.000000	88.272	40.4264
64.000000	88.240	38.3014
65.000000	88.209	36.1953
66.000000	88.180	34.1093
67.000000	88.150	32.0394
68.000000	88.114	29.9779
69.000000	88.074	27.9087
70.000000	88.029	25.8218
71.000000	87.984	23.7335
72.000000	87.942	21.6607
73.000000	87.907	19.6101
74.000000	87.875	17.5958
75.000000	87.839	15.6323
76.199997	87.788	13.3298
77.500000	87.730	10.8459
78.800003	87.673	8.3485
80.000000	87.617	6.0706
81.199997	87.560	3.8343
82.500000	87.500	1.4189
83.800003	87.445	-1.0121
85.000000	87.394	-3.2458
86.199997	87.341	-5.4530
87.500000	87.283	-7.8222
88.500000	87.239	-9.6300
90.000000	87.174	-12.3164
91.199997	87.120	-14.4453
92.500000	87.058	-16.7248
93.800003	86.992	-18.9725
95.000000	86.928	-21.0257
96.199997	86.864	-23.0689
97.500000	86.796	-25.2704
98.800003	86.730	-27.4424
100.000000	86.673	-29.4186
101.500000	86.609	-31.8710
103.000000	86.553	-34.3010
104.400002	86.507	-36.5406
106.000000	86.459	-39.1024
107.500000	86.416	-41.5383
109.000000	86.374	-44.0002
110.599998	86.331	-46.6209
112.000000	86.294	-48.8913
113.800003	86.247	-51.7867
115.000000	86.211	-53.7125
117.199997	86.134	-57.2408
118.000000	86.104	-58.5207
120.599998	86.003	-62.6497
122.000000	85.952	-64.8372
124.099998	85.880	-68.0454
125.000000	85.851	-69.4059
126.500000	85.805	-71.6883
128.000000	85.759	-73.9985
131.500000	85.643	-79.3461
132.000000	85.626	-80.0932
134.000000	85.552	-83.0481
136.000000	85.476	-85.9730
138.000000	85.403	-88.8782
140.000000	85.335	-91.7710
143.000000	85.234	-96.1202
145.000000	85.168	-99.0346
147.500000	85.101	-102.6538
150.000000	85.046	-106.2454
152.500000	84.987	-109.8017
155.000000	84.922	-113.3179
157.500000	84.852	-116.8164
160.000000	84.792	-120.2544
162.500000	84.745	-123.6144
165.000000	84.701	-126.9548
167.500000	84.647	-130.3458
170.000000	84.581	-133.7943
172.500000	84.511	-137.2354
175.000000	84.440	-140.5901
177.500000	84.371	-143.8189
180.000000	84.302	-146.9707
182.500000	84.236	-150.0908
185.000000	84.176	-153.1967
187.500000	84.123	-156.3313
190.000000	84.076	-159.5624
192.500000	84.034	-162.9033
195.000000	83.997	-166.2914
197.500000	83.963	-169.6505
200.000000	83.935	-172.9605
203.000000	83.910	-176.9152
206.000000	83.899	179.1316
209.000000	83.895	175.2002
212.000000	83.891	171.2800
214.000000	83.887	168.6670
218.000000	83.865	163.4614
220.000000	83.844	160.8722
224.000000	83.786	155.7218
227.000000	83.736	151.8814
230.000000	83.681	148.0615
233.000000	83.625	144.2742
236.000000	83.569	140.5197
240.000000	83.499	135.5226
243.000000	83.451	131.7684
247.000000	83.390	126.7921
250.000000	83.346	123.0901
254.000000	83.290	118.1793
258.000000	83.235	113.3134
262.000000	83.178	108.4907
265.000000	83.134	104.8919
269.000000	83.076	100.1141
272.000000	83.032	96.5430
276.000000	82.979	91.8085
280.000000	82.933	87.1136
285.000000	82.879	81.2656
290.000000	82.817	75.4122
295.000000	82.751	69.5945
300.000000	82.689	63.8169
304.000000	82.643	59.2158
307.000000	82.609	55.7852
311.000000	82.565	51.2390
315.000000	82.522	46.7132
320.000000	82.470	41.0615
325.000000	82.418	35.4207
330.000000	82.370	29.8340
335.000000	82.328	24.3153
340.000000	82.289	18.8216
345.000000	82.252	13.3187
350.000000	82.214	7.8342
355.000000	82.167	2.4008
360.000000	82.113	-3.0012
365.000000	82.065	-8.4021
370.000000	82.026	-13.8041
375.000000	81.994	-19.1874
382.000000	81.956	-26.6565
387.000000	81.933	-31.9537
395.000000	81.895	-40.3883
400.000000	81.867	-45.6140
406.000000	81.827	-51.8550
412.000000	81.785	-58.0969
418.000000	81.746	-64.3263
