* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07-Aug-2024 19:30:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oladance OWS Sport BB L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	47.417	-6.1039
20.600000	47.205	-22.1352
20.900000	46.889	-47.5146
21.200001	46.751	-85.6239
21.400000	46.905	-115.0822
21.799999	47.617	-158.4835
22.000000	47.906	-171.4551
22.400000	47.812	173.2501
22.700001	47.056	170.3504
23.000000	46.150	179.9495
23.299999	46.095	-152.6977
23.600000	47.278	-128.8156
24.000000	49.200	-121.6756
24.299999	50.050	-124.8172
24.700001	50.129	-133.4280
25.000000	49.421	-141.8717
25.400000	47.543	-155.8025
25.799999	44.797	-176.2926
26.200001	41.637	139.3444
26.500000	39.375	92.3322
26.900000	36.909	72.0191
27.200001	35.856	83.2834
27.600000	36.053	113.7053
28.000000	37.391	141.3192
28.500000	39.872	-166.2913
29.000000	43.005	-128.7673
29.500000	45.412	-121.1542
30.000000	46.249	-121.6413
30.400000	45.710	-122.7881
30.700001	44.709	-121.9486
31.100000	43.034	-105.8131
31.500000	41.809	-12.5794
32.000000	41.189	13.4762
32.500000	40.536	8.7842
33.000000	40.529	-40.1142
33.500000	42.498	-109.6844
34.000000	44.993	-120.4825
34.500000	46.604	-124.4029
35.000000	46.972	-126.2672
35.500000	46.307	-120.8720
36.000000	45.533	-88.9609
36.500000	45.516	-51.7568
37.000000	45.674	-48.0798
37.500000	45.345	-61.8174
38.200001	44.757	-176.1033
38.700001	45.062	108.1055
39.500000	47.564	63.3426
40.000000	49.935	56.3262
40.599998	52.772	66.8990
41.200001	55.518	102.7469
41.799999	58.142	138.5975
42.500000	60.293	152.8921
43.099998	60.714	156.1021
43.700001	59.715	158.4006
44.400002	57.451	164.1692
45.000000	56.069	151.1567
45.500000	56.445	64.1223
46.200001	59.032	7.6036
46.799999	62.079	-21.7992
47.500000	65.760	-15.0111
48.200001	68.931	-5.3624
48.700001	70.541	-4.7986
49.400002	71.499	-8.3934
50.000000	70.991	-12.1992
50.799999	68.640	-13.9979
51.500000	65.509	-9.4339
52.200001	61.870	-10.7092
53.000000	57.597	-49.6555
53.799999	53.676	-58.7242
54.500000	51.061	-61.8707
55.200001	50.087	-73.9611
56.000000	50.914	-80.9047
57.000000	52.116	-83.1849
58.000000	52.351	-90.6530
59.000000	53.249	-102.4098
60.000000	54.703	-113.0045
60.799999	55.608	-119.9003
61.500000	56.316	-124.4074
62.200001	57.096	-126.5818
63.000000	58.038	-126.3008
64.000000	59.033	-124.8609
65.000000	59.718	-125.4220
66.000000	60.283	-128.4321
67.000000	60.914	-132.7078
68.000000	61.658	-137.7047
69.000000	62.499	-143.2185
70.000000	63.329	-148.1964
71.000000	64.040	-151.8162
72.000000	64.702	-155.0101
73.000000	65.489	-159.3940
74.000000	66.441	-165.1492
75.000000	67.403	-171.2594
76.199997	68.383	-178.1903
77.500000	69.290	174.7545
78.800003	70.183	168.0118
80.000000	70.995	161.8606
81.199997	71.740	155.4763
82.500000	72.503	148.7322
83.800003	73.273	142.4708
85.000000	73.965	136.8240
86.199997	74.671	131.1002
87.500000	75.445	124.8806
88.500000	76.007	120.1984
90.000000	76.778	113.3877
91.199997	77.363	108.0729
92.500000	77.962	102.4016
