* Measurement data measured by REW V5.30 beta 1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of RMS Average 1, RMS Average 1
* Dated: 10-Nov-2023 22:30:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OneOdio A10 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	66.922
20.600000	66.381
20.900000	65.665
21.200001	65.219
21.400000	65.205
21.799999	65.702
22.000000	66.044
22.400000	66.623
22.700001	66.874
23.000000	66.954
23.299999	66.875
23.600000	66.646
24.000000	66.120
24.299999	65.591
24.700001	64.852
25.000000	64.454
25.400000	64.426
25.799999	65.042
26.200001	66.036
26.500000	66.819
26.900000	67.725
27.200001	68.249
27.600000	68.764
28.000000	69.179
28.500000	69.723
29.000000	70.261
29.500000	70.566
30.000000	70.491
30.400000	70.228
30.700001	70.043
31.100000	70.035
31.500000	70.429
32.000000	71.232
32.500000	71.859
33.000000	72.053
33.500000	71.963
34.000000	71.950
34.500000	72.197
35.000000	72.523
35.500000	72.706
36.000000	72.775
36.500000	72.924
37.000000	73.200
37.500000	73.438
38.200001	73.467
38.700001	73.354
39.500000	73.187
40.000000	72.948
40.599998	72.396
41.200001	71.991
41.799999	72.385
42.500000	73.517
43.099998	74.277
43.700001	74.547
44.400002	74.392
45.000000	74.144
45.500000	74.003
46.200001	74.004
46.799999	74.216
47.500000	74.606
48.200001	74.892
48.700001	74.903
49.400002	74.661
50.000000	74.418
50.799999	74.477
51.500000	74.956
52.200001	75.580
53.000000	76.175
53.799999	76.541
54.500000	76.751
55.200001	76.981
56.000000	77.288
57.000000	77.515
58.000000	77.396
59.000000	77.061
60.000000	76.760
60.799999	76.631
61.500000	76.575
62.200001	76.558
63.000000	76.620
64.000000	76.862
65.000000	77.210
66.000000	77.494
67.000000	77.600
68.000000	77.593
69.000000	77.626
70.000000	77.721
71.000000	77.767
72.000000	77.688
73.000000	77.522
74.000000	77.388
75.000000	77.389
76.199997	77.527
77.500000	77.743
78.800003	77.972
80.000000	78.057
81.199997	77.961
82.500000	77.764
83.800003	77.586
85.000000	77.482
86.199997	77.490
87.500000	77.597
88.500000	77.682
90.000000	77.782
91.199997	77.878
