* Measurement data measured by REW V5.30 beta 1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of RMS Average 1, RMS Average 1
* Dated: 10-Nov-2023 22:30:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OneOdio A10 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	66.350
20.600000	65.830
20.900000	65.185
21.200001	64.873
21.400000	64.955
21.799999	65.563
22.000000	65.912
22.400000	66.440
22.700001	66.623
23.000000	66.631
23.299999	66.483
23.600000	66.200
24.000000	65.634
24.299999	65.107
24.700001	64.416
25.000000	64.084
25.400000	64.136
25.799999	64.765
26.200001	65.714
26.500000	66.455
26.900000	67.320
27.200001	67.831
27.600000	68.348
28.000000	68.772
28.500000	69.309
29.000000	69.819
29.500000	70.095
30.000000	70.006
30.400000	69.741
30.700001	69.557
31.100000	69.547
31.500000	69.939
32.000000	70.749
32.500000	71.404
33.000000	71.643
33.500000	71.595
34.000000	71.587
34.500000	71.795
35.000000	72.077
35.500000	72.240
36.000000	72.313
36.500000	72.470
37.000000	72.743
37.500000	72.972
38.200001	72.998
38.700001	72.895
39.500000	72.741
40.000000	72.510
40.599998	71.987
41.200001	71.632
41.799999	72.045
42.500000	73.140
43.099998	73.866
43.700001	74.126
44.400002	73.991
45.000000	73.772
45.500000	73.647
46.200001	73.647
46.799999	73.845
47.500000	74.221
48.200001	74.503
48.700001	74.522
49.400002	74.309
50.000000	74.094
50.799999	74.143
51.500000	74.556
52.200001	75.113
53.000000	75.667
53.799999	76.025
54.500000	76.236
55.200001	76.469
56.000000	76.780
57.000000	77.015
58.000000	76.912
59.000000	76.607
60.000000	76.339
60.799999	76.226
61.500000	76.177
62.200001	76.166
63.000000	76.236
64.000000	76.479
65.000000	76.809
66.000000	77.069
67.000000	77.162
68.000000	77.157
69.000000	77.199
70.000000	77.300
71.000000	77.345
72.000000	77.269
73.000000	77.116
74.000000	76.998
75.000000	77.005
76.199997	77.137
77.500000	77.339
78.800003	77.561
80.000000	77.648
81.199997	77.560
82.500000	77.371
83.800003	77.195
85.000000	77.090
86.199997	77.099
87.500000	77.209
88.500000	77.297
90.000000	77.399
91.199997	77.494
92.500000	77.637
93.800003	77.778
95.000000	77.850
96.199997	77.873
97.500000	77.890
98.800003	77.929
100.000000	77.990
101.500000	78.108
103.000000	78.254
104.400002	78.392
106.000000	78.565
107.500000	78.727
109.000000	78.871
110.599998	79.019
112.000000	79.158
113.800003	79.353
115.000000	79.487
117.199997	79.703
118.000000	79.773
120.599998	79.988
122.000000	80.094
124.099998	80.242
125.000000	80.302
126.500000	80.401
128.000000	80.507
131.500000	80.807
132.000000	80.854
134.000000	81.038
136.000000	81.198
138.000000	81.347
140.000000	81.502
143.000000	81.770
145.000000	81.956
147.500000	82.157
150.000000	82.355
152.500000	82.565
155.000000	82.746
157.500000	82.894
160.000000	83.045
162.500000	83.214
165.000000	83.379
167.500000	83.539
170.000000	83.704
172.500000	83.869
175.000000	84.027
177.500000	84.177
180.000000	84.328
182.500000	84.484
185.000000	84.642
187.500000	84.795
190.000000	84.945
192.500000	85.102
195.000000	85.277
197.500000	85.470
200.000000	85.674
203.000000	85.916
206.000000	86.125
209.000000	86.284
212.000000	86.387
214.000000	86.416
218.000000	86.382
220.000000	86.329
224.000000	86.189
227.000000	86.059
230.000000	85.897
233.000000	85.712
236.000000	85.536
240.000000	85.351
243.000000	85.237
247.000000	85.076
