* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -29.0 dBFS, measurement signal peak level -28.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 03-Jul-2023 11:43:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OneOdio OpenRock Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.030	153.8152
20.299999	58.881	167.3210
20.600000	58.808	-179.8262
20.900000	58.741	-167.5170
21.200001	58.655	-155.4551
21.400000	58.601	-147.4801
21.799999	58.518	-131.8870
22.000000	58.482	-124.3737
22.400000	58.362	-110.0349
22.700001	58.176	-99.5444
23.000000	57.902	-88.7137
23.299999	57.611	-77.3318
23.600000	57.379	-65.7236
24.000000	57.201	-50.8577
24.299999	57.089	-40.7932
24.700001	56.789	-28.6768
25.000000	56.358	-19.7487
25.400000	55.479	-6.6830
25.799999	54.324	9.0007
26.200001	53.054	28.0138
26.500000	52.199	44.2794
26.900000	51.456	67.4919
27.200001	51.297	84.7618
27.600000	51.507	106.2229
28.000000	51.933	125.6128
28.500000	52.621	147.7949
29.000000	53.474	167.6211
29.500000	54.292	-176.1248
30.000000	54.814	-163.5411
30.400000	54.953	-155.2903
30.700001	54.901	-149.7769
31.100000	54.641	-143.1284
31.500000	54.170	-137.3292
32.000000	53.289	-131.7051
32.500000	52.093	-128.9703
33.000000	50.622	-130.8135
33.500000	49.039	-138.3950
34.000000	47.928	-151.0254
34.500000	48.169	-165.5746
35.000000	49.737	-178.2744
35.500000	51.748	173.2787
36.000000	53.631	168.9261
36.500000	55.196	167.0959
37.000000	56.379	166.2001
37.500000	57.183	165.5640
38.200001	57.793	165.1953
38.700001	58.010	165.3655
39.500000	58.267	165.0581
40.000000	58.413	163.5448
40.599998	58.543	160.2307
41.200001	58.648	156.1932
41.799999	58.866	152.4022
42.500000	59.405	148.4272
43.099998	60.014	144.8164
43.700001	60.572	141.0104
44.400002	61.085	137.2181
45.000000	61.476	135.0323
45.500000	61.820	133.7120
46.200001	62.322	131.9314
46.799999	62.742	130.1401
47.500000	63.218	127.7516
48.200001	63.687	125.0828
48.700001	64.008	123.0621
49.400002	64.429	120.3102
50.000000	64.776	118.2048
50.799999	65.232	115.7133
51.500000	65.609	113.6587
52.200001	65.959	111.6768
53.000000	66.345	109.3762
53.799999	66.707	106.7566
54.500000	66.985	104.2292
55.200001	67.246	101.7380
56.000000	67.574	99.0377
57.000000	68.034	95.6031
58.000000	68.470	92.1526
59.000000	68.878	89.2046
60.000000	69.313	86.7198
60.799999	69.673	84.7462
61.500000	69.982	82.9530
62.200001	70.281	81.1268
63.000000	70.615	79.0238
64.000000	71.017	76.4124
65.000000	71.399	73.9332
66.000000	71.773	71.6482
67.000000	72.147	69.4255
68.000000	72.504	67.0889
69.000000	72.828	64.6622
70.000000	73.133	62.2827
71.000000	73.443	60.0222
72.000000	73.771	57.8762
73.000000	74.115	55.8076
74.000000	74.461	53.7788
75.000000	74.799	51.7693
76.199997	75.189	49.3596
77.500000	75.592	46.7125
78.800003	75.976	44.0376
80.000000	76.322	41.6215
81.199997	76.669	39.2950
82.500000	77.050	36.8154
