* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -29.7 dBFS, measurement signal peak level -29.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 03-Jul-2023 11:43:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OneOdio OpenRock Pro R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.497	161.4819
20.299999	59.174	173.3032
20.600000	58.812	-174.3303
20.900000	58.467	-161.3032
21.200001	58.212	-147.7886
21.400000	58.123	-138.7750
21.799999	58.113	-121.3564
22.000000	58.156	-113.2180
22.400000	58.209	-98.3130
22.700001	58.122	-87.8912
23.000000	57.893	-77.3258
23.299999	57.578	-66.0861
23.600000	57.267	-54.2283
24.000000	56.956	-38.1454
24.299999	56.785	-26.4845
24.700001	56.524	-11.5137
25.000000	56.251	-0.2200
25.400000	55.836	15.4548
25.799999	55.485	31.4370
26.200001	55.206	46.8381
26.500000	54.956	57.9944
26.900000	54.474	73.1855
27.200001	54.023	85.5624
27.600000	53.464	103.6655
28.000000	53.198	122.5117
28.500000	53.310	144.3984
29.000000	53.471	163.0831
29.500000	53.359	-179.7435
30.000000	53.074	-161.9095
30.400000	52.931	-147.3942
30.700001	52.911	-137.1062
31.100000	52.904	-124.9720
31.500000	52.771	-114.6810
32.000000	52.284	-103.6121
32.500000	51.425	-94.0748
33.000000	50.234	-87.3522
33.500000	48.696	-86.2006
34.000000	46.789	-93.9517
34.500000	44.831	-111.6932
35.000000	44.012	-135.3685
35.500000	45.306	-156.5864
36.000000	47.549	-169.5334
36.500000	49.637	-174.4292
37.000000	51.271	-174.6688
37.500000	52.480	-172.8828
38.200001	53.644	-169.3112
38.700001	54.200	-166.9719
39.500000	54.698	-164.9420
40.000000	54.825	-164.8330
40.599998	54.925	-165.7997
41.200001	55.097	-168.1267
41.799999	55.389	-171.7526
42.500000	55.877	-176.8420
43.099998	56.405	178.8003
43.700001	56.966	174.7438
44.400002	57.552	170.5930
45.000000	57.948	167.7856
45.500000	58.221	166.0427
46.200001	58.566	164.2394
46.799999	58.857	162.8782
47.500000	59.211	161.1870
48.200001	59.619	159.3177
48.700001	59.958	157.8223
49.400002	60.478	155.4039
50.000000	60.919	153.0852
50.799999	61.448	150.0227
51.500000	61.861	147.7252
52.200001	62.260	145.8555
53.000000	62.722	143.9099
53.799999	63.161	141.6567
54.500000	63.479	139.3822
55.200001	63.746	137.1677
56.000000	64.057	134.9718
57.000000	64.499	132.4167
58.000000	64.936	129.9939
59.000000	65.391	128.0515
60.000000	65.884	126.0527
60.799999	66.245	124.0962
61.500000	66.525	122.2722
62.200001	66.794	120.4684
63.000000	67.107	118.4363
