* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01-Aug-2024 14:41:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OneOdio OpenRock X R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	46.295	-166.8280
20.600000	45.925	-166.5955
20.900000	45.188	-165.3738
21.200001	44.151	-162.4640
21.400000	43.421	-159.6655
21.799999	42.358	-154.7916
22.000000	42.169	-154.5054
22.400000	42.377	-159.9852
22.700001	42.794	-167.2647
23.000000	43.279	-173.7449
23.299999	43.841	-176.7938
23.600000	44.608	-175.4092
24.000000	46.114	-169.0223
24.299999	47.461	-164.4668
24.700001	49.092	-162.0607
25.000000	49.983	-162.9241
25.400000	50.658	-166.2536
25.799999	50.905	-170.4893
26.200001	51.101	-174.2948
26.500000	51.480	-176.5542
26.900000	52.426	-179.2075
27.200001	53.330	178.6021
27.600000	54.483	175.2176
28.000000	55.340	171.7299
28.500000	55.904	168.2869
29.000000	56.120	166.7052
29.500000	56.447	166.5385
30.000000	57.223	165.9577
30.400000	58.119	164.3536
30.700001	58.856	162.6222
31.100000	59.831	160.1132
31.500000	60.739	157.8101
32.000000	61.743	155.3588
32.500000	62.583	153.0009
33.000000	63.259	150.2701
33.500000	63.810	147.0186
34.000000	64.315	143.4183
34.500000	64.863	139.7443
35.000000	65.488	136.1904
35.500000	66.160	132.8474
36.000000	66.817	129.7849
36.500000	67.411	127.0959
37.000000	67.927	124.8504
37.500000	68.382	122.9965
38.200001	68.965	120.5597
38.700001	69.356	118.4215
39.500000	69.904	113.8861
40.000000	70.198	110.7703
40.599998	70.566	107.5153
41.200001	71.022	105.0828
41.799999	71.537	103.0943
42.500000	72.062	100.6601
43.099998	72.364	98.2805
43.700001	72.557	95.5891
44.400002	72.746	91.9059
45.000000	72.950	88.2248
45.500000	73.180	84.8670
46.200001	73.588	80.0186
46.799999	73.971	76.2172
47.500000	74.429	72.9797
48.200001	74.957	71.0273
48.700001	75.368	69.6529
49.400002	75.849	66.6404
50.000000	76.056	62.9289
50.799999	76.078	57.3389
51.500000	76.076	52.6052
52.200001	76.194	48.1593
53.000000	76.422	43.4094
53.799999	76.653	39.0490
54.500000	76.837	35.4223
55.200001	77.014	31.8345
56.000000	77.248	27.7336
57.000000	77.604	22.5521
58.000000	77.967	17.4091
59.000000	78.300	12.3767
60.000000	78.599	7.1764
60.799999	78.812	2.8776
61.500000	78.990	-0.8512
62.200001	79.157	-4.4697
63.000000	79.330	-8.4628
64.000000	79.530	-13.3777
65.000000	79.754	-18.3813
66.000000	80.016	-23.3649
67.000000	80.285	-28.1321
68.000000	80.520	-32.7507
69.000000	80.719	-37.3728
70.000000	80.907	-42.0026
71.000000	81.094	-46.5565
72.000000	81.274	-51.0304
73.000000	81.446	-55.4739
74.000000	81.621	-59.8940
75.000000	81.803	-64.2520
76.199997	82.022	-69.3458
77.500000	82.243	-74.7469
78.800003	82.431	-80.0832
80.000000	82.571	-84.8903
81.199997	82.689	-89.5256
82.500000	82.806	-94.3895
83.800003	82.919	-99.0557
85.000000	83.018	-103.1415
86.199997	83.106	-107.1193
87.500000	83.191	-111.4195
88.500000	83.256	-114.7241
90.000000	83.352	-119.6821
91.199997	83.428	-123.6576
92.500000	83.505	-127.9031
93.800003	83.573	-132.0186
95.000000	83.630	-135.7125
96.199997	83.688	-139.2975
97.500000	83.750	-143.0341
98.800003	83.804	-146.6357
100.000000	83.844	-149.8975
101.500000	83.884	-153.9417
103.000000	83.918	-157.9756
104.400002	83.953	-161.7244
106.000000	83.997	-165.8521
107.500000	84.034	-169.5063
109.000000	84.065	-173.0849
110.599998	84.096	-176.9246
112.000000	84.121	179.7218
113.800003	84.152	175.5167
115.000000	84.172	172.8180
117.199997	84.205	168.0459
118.000000	84.218	166.3525
120.599998	84.269	160.9360
122.000000	84.296	158.0769
124.099998	84.336	153.9297
125.000000	84.352	152.1959
126.500000	84.378	149.3359
128.000000	84.402	146.4968
131.500000	84.464	140.0676
132.000000	84.475	139.1902
134.000000	84.528	135.7732
136.000000	84.584	132.4436
138.000000	84.637	129.1401
140.000000	84.688	125.8785
143.000000	84.768	121.2234
145.000000	84.821	118.2648
147.500000	84.882	114.6075
150.000000	84.947	110.9871
152.500000	85.022	107.4509
155.000000	85.105	104.0226
157.500000	85.191	100.6562
160.000000	85.270	97.3249
162.500000	85.339	94.0104
165.000000	85.409	90.7208
167.500000	85.489	87.5043
170.000000	85.574	84.3982
172.500000	85.658	81.3903
175.000000	85.734	78.4653
177.500000	85.803	75.6003
180.000000	85.871	72.7865
182.500000	85.939	70.0115
185.000000	86.010	67.2481
187.500000	86.093	64.4933
190.000000	86.185	61.7980
192.500000	86.279	59.1713
195.000000	86.372	56.5655
197.500000	86.461	53.9719
200.000000	86.546	51.4201
