* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:56:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPB3 Ba R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.272	-172.8891
20.600000	82.268	-173.1589
20.900000	82.262	-173.5008
21.200001	82.257	-173.8769
21.400000	82.255	-174.1405
21.799999	82.251	-174.6880
22.000000	82.250	-174.9655
22.400000	82.248	-175.5081
22.700001	82.248	-175.8913
23.000000	82.249	-176.2504
23.299999	82.254	-176.5907
23.600000	82.260	-176.9227
24.000000	82.269	-177.3711
24.299999	82.274	-177.7196
24.700001	82.279	-178.2002
25.000000	82.281	-178.5672
25.400000	82.285	-179.0571
25.799999	82.291	-179.5432
26.200001	82.299	179.9736
26.500000	82.306	179.6118
26.900000	82.315	179.1297
27.200001	82.321	178.7683
27.600000	82.329	178.2859
28.000000	82.336	177.8005
28.500000	82.346	177.1853
29.000000	82.355	176.5598
29.500000	82.364	175.9280
30.000000	82.373	175.2943
30.400000	82.377	174.7882
30.700001	82.379	174.4103
31.100000	82.379	173.9096
31.500000	82.378	173.4113
32.000000	82.376	172.7823
32.500000	82.375	172.1314
33.000000	82.373	171.4525
33.500000	82.366	170.7614
34.000000	82.356	170.0872
34.500000	82.345	169.4477
35.000000	82.335	168.8351
35.500000	82.328	168.2263
36.000000	82.320	167.6049
36.500000	82.309	166.9733
37.000000	82.294	166.3454
37.500000	82.275	165.7335
38.200001	82.244	164.9060
38.700001	82.222	164.3232
39.500000	82.187	163.3669
40.000000	82.164	162.7430
40.599998	82.132	161.9823
41.200001	82.098	161.2403
41.799999	82.064	160.5391
42.500000	82.025	159.7671
43.099998	81.990	159.1277
43.700001	81.950	158.4991
44.400002	81.900	157.7718
45.000000	81.854	157.1458
45.500000	81.813	156.6194
46.200001	81.751	155.8787
46.799999	81.695	155.2472
47.500000	81.628	154.5231
48.200001	81.565	153.8177
48.700001	81.524	153.3243
49.400002	81.472	152.6461
50.000000	81.425	152.0803
50.799999	81.349	151.3554
51.500000	81.274	150.7428
52.200001	81.196	150.1338
53.000000	81.110	149.4288
53.799999	81.025	148.7170
54.500000	80.948	148.1027
55.200001	80.869	147.5071
56.000000	80.777	146.8468
57.000000	80.664	146.0521
58.000000	80.553	145.3292
59.000000	80.442	144.6752
60.000000	80.328	144.0263
60.799999	80.236	143.4936
61.500000	80.156	143.0250
62.200001	80.074	142.5706
63.000000	79.979	142.0926
64.000000	79.856	141.5583
65.000000	79.735	141.0417
66.000000	79.617	140.5147
67.000000	79.504	139.9762
68.000000	79.388	139.4271
69.000000	79.266	138.8847
70.000000	79.138	138.3759
71.000000	79.011	137.9301
72.000000	78.889	137.5496
73.000000	78.770	137.2086
74.000000	78.651	136.8721
75.000000	78.532	136.5156
76.199997	78.388	136.0803
77.500000	78.231	135.6529
78.800003	78.076	135.2823
80.000000	77.937	134.9648
81.199997	77.798	134.6593
82.500000	77.643	134.3420
83.800003	77.491	134.0330
85.000000	77.355	133.7567
86.199997	77.217	133.4915
87.500000	77.065	133.2351
88.500000	76.947	133.0745
90.000000	76.769	132.9012
91.199997	76.631	132.8162
92.500000	76.488	132.7634
93.800003	76.346	132.7180
95.000000	76.212	132.6510
96.199997	76.076	132.5684
97.500000	75.930	132.4830
98.800003	75.786	132.4117
100.000000	75.653	132.3705
101.500000	75.489	132.3732
103.000000	75.324	132.4430
104.400002	75.174	132.5482
106.000000	75.010	132.6609
107.500000	74.862	132.7526
109.000000	74.714	132.8769
110.599998	74.554	133.0442
112.000000	74.414	133.1902
113.800003	74.239	133.3950
115.000000	74.128	133.5424
117.199997	73.933	133.8058
118.000000	73.863	133.9082
120.599998	73.632	134.3070
122.000000	73.507	134.5794
124.099998	73.325	135.0625
125.000000	73.248	135.2888
126.500000	73.124	135.6831
128.000000	73.002	136.0814
131.500000	72.729	136.9476
132.000000	72.693	137.0636
134.000000	72.552	137.5191
136.000000	72.413	138.0006
138.000000	72.271	138.5185
140.000000	72.131	139.0317
143.000000	71.938	139.8280
145.000000	71.815	140.4033
147.500000	71.665	141.1670
150.000000	71.521	141.9564
152.500000	71.384	142.7485
155.000000	71.258	143.5069
157.500000	71.138	144.2452
160.000000	71.025	144.9917
162.500000	70.917	145.7886
165.000000	70.811	146.6226
167.500000	70.703	147.4459
170.000000	70.598	148.2696
172.500000	70.499	149.1095
175.000000	70.413	149.9368
177.500000	70.336	150.7348
180.000000	70.256	151.5180
182.500000	70.171	152.2963
185.000000	70.079	153.0959
187.500000	69.978	153.9430
190.000000	69.877	154.8084
192.500000	69.787	155.6502
195.000000	69.716	156.4607
197.500000	69.660	157.2524
200.000000	69.614	158.0290
203.000000	69.576	158.9181
206.000000	69.561	159.7609
209.000000	69.565	160.6267
212.000000	69.569	161.5445
214.000000	69.566	162.1609
218.000000	69.555	163.3469
220.000000	69.551	163.9326
224.000000	69.547	165.1126
227.000000	69.543	165.9613
230.000000	69.536	166.7545
233.000000	69.526	167.4971
236.000000	69.520	168.1988
240.000000	69.527	169.0859
243.000000	69.537	169.7210
247.000000	69.544	170.5478
250.000000	69.548	171.1478
254.000000	69.562	171.9195
258.000000	69.580	172.6599
262.000000	69.600	173.3813
265.000000	69.615	173.9308
269.000000	69.638	174.6688
272.000000	69.659	175.2164
276.000000	69.690	175.9100
280.000000	69.728	176.5414
