* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:56:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPB3 Bo L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.051	-165.0296
20.600000	79.058	-165.3083
20.900000	79.063	-165.6699
21.200001	79.065	-166.0648
21.400000	79.065	-166.3308
21.799999	79.062	-166.8409
22.000000	79.061	-167.0782
22.400000	79.065	-167.5175
22.700001	79.074	-167.8284
23.000000	79.088	-168.1389
23.299999	79.104	-168.4586
23.600000	79.120	-168.7896
24.000000	79.135	-169.2392
24.299999	79.142	-169.5728
24.700001	79.150	-170.0057
25.000000	79.156	-170.3250
25.400000	79.168	-170.7576
25.799999	79.184	-171.2104
26.200001	79.201	-171.6841
26.500000	79.212	-172.0447
26.900000	79.226	-172.5173
27.200001	79.234	-172.8576
27.600000	79.244	-173.2897
28.000000	79.255	-173.7038
28.500000	79.271	-174.2177
29.000000	79.286	-174.7509
29.500000	79.300	-175.3144
30.000000	79.312	-175.9000
30.400000	79.319	-176.3709
30.700001	79.324	-176.7182
31.100000	79.329	-177.1686
31.500000	79.335	-177.6052
32.000000	79.345	-178.1426
32.500000	79.355	-178.6857
33.000000	79.363	-179.2407
33.500000	79.367	-179.7998
34.000000	79.369	179.6487
34.500000	79.370	179.1087
35.000000	79.371	178.5744
35.500000	79.373	178.0371
36.000000	79.374	177.4935
36.500000	79.374	176.9460
37.000000	79.371	176.4000
37.500000	79.365	175.8607
38.200001	79.348	175.1240
38.700001	79.333	174.6096
39.500000	79.306	173.7847
40.000000	79.290	173.2533
40.599998	79.270	172.6004
41.200001	79.249	171.9534
41.799999	79.228	171.3382
42.500000	79.202	170.6679
43.099998	79.179	170.1128
43.700001	79.155	169.5489
44.400002	79.126	168.8647
45.000000	79.099	168.2669
45.500000	79.075	167.7783
46.200001	79.035	167.1320
46.799999	78.997	166.6160
47.500000	78.952	166.0384
48.200001	78.910	165.4604
48.700001	78.883	165.0415
49.400002	78.847	164.4575
50.000000	78.810	163.9771
50.799999	78.748	163.3797
51.500000	78.683	162.8793
52.200001	78.615	162.3730
53.000000	78.538	161.7870
53.799999	78.465	161.2175
54.500000	78.408	160.7361
55.200001	78.354	160.2569
56.000000	78.291	159.7098
57.000000	78.203	159.0683
58.000000	78.107	158.5060
59.000000	78.015	157.9672
60.000000	77.931	157.3937
60.799999	77.866	156.9143
61.500000	77.809	156.4962
62.200001	77.748	156.0957
63.000000	77.677	155.6714
64.000000	77.590	155.1866
65.000000	77.505	154.7391
66.000000	77.421	154.3207
67.000000	77.335	153.9196
68.000000	77.246	153.5172
69.000000	77.148	153.1075
70.000000	77.044	152.7159
71.000000	76.942	152.3648
72.000000	76.846	152.0609
73.000000	76.753	151.7968
74.000000	76.658	151.5445
75.000000	76.560	151.2792
76.199997	76.448	150.9348
77.500000	76.338	150.5471
78.800003	76.229	150.1910
80.000000	76.121	149.8967
81.199997	76.008	149.6244
82.500000	75.888	149.3618
83.800003	75.773	149.1187
85.000000	75.671	148.8981
86.199997	75.568	148.7072
87.500000	75.456	148.5260
88.500000	75.369	148.3795
90.000000	75.234	148.1817
91.199997	75.125	148.0950
92.500000	75.009	148.0457
93.800003	74.894	147.9817
95.000000	74.787	147.9105
96.199997	74.681	147.8521
97.500000	74.568	147.7929
98.800003	74.458	147.7255
100.000000	74.356	147.6750
101.500000	74.228	147.6618
103.000000	74.106	147.7103
104.400002	73.999	147.7924
106.000000	73.875	147.8908
107.500000	73.754	147.9720
109.000000	73.633	148.0474
110.599998	73.507	148.1264
112.000000	73.399	148.2029
113.800003	73.261	148.3035
115.000000	73.170	148.3603
117.199997	73.001	148.4865
118.000000	72.939	148.5511
120.599998	72.743	148.8307
122.000000	72.639	149.0165
124.099998	72.486	149.3407
125.000000	72.422	149.4972
126.500000	72.322	149.7676
128.000000	72.229	150.0256
131.500000	72.022	150.5569
132.000000	71.992	150.6310
134.000000	71.872	150.9415
136.000000	71.750	151.3061
138.000000	71.626	151.7186
140.000000	71.503	152.1400
143.000000	71.326	152.8265
145.000000	71.209	153.3168
147.500000	71.073	153.9396
150.000000	70.956	154.5708
152.500000	70.849	155.2045
155.000000	70.737	155.8577
157.500000	70.615	156.5223
160.000000	70.497	157.1554
162.500000	70.390	157.7497
165.000000	70.293	158.3264
167.500000	70.199	158.9300
170.000000	70.110	159.5887
172.500000	70.025	160.2919
175.000000	69.942	160.9935
177.500000	69.860	161.7060
180.000000	69.776	162.4461
182.500000	69.687	163.1780
185.000000	69.590	163.8683
187.500000	69.490	164.5320
190.000000	69.394	165.2259
192.500000	69.302	165.9620
195.000000	69.219	166.7176
197.500000	69.148	167.4679
200.000000	69.093	168.1867
203.000000	69.044	169.0148
206.000000	69.008	169.8409
209.000000	68.977	170.6583
212.000000	68.949	171.4627
214.000000	68.930	172.0161
218.000000	68.894	173.2166
220.000000	68.876	173.8397
224.000000	68.841	175.0382
227.000000	68.816	175.8662
230.000000	68.796	176.6435
233.000000	68.780	177.3937
236.000000	68.769	178.1237
240.000000	68.757	179.0665
243.000000	68.746	179.7656
247.000000	68.724	-179.3004
250.000000	68.704	-178.6212
254.000000	68.681	-177.7561
258.000000	68.666	-176.8936
262.000000	68.655	-175.9907
265.000000	68.649	-175.2840
269.000000	68.645	-174.3398
272.000000	68.647	-173.6680
276.000000	68.658	-172.8398
280.000000	68.680	-172.0647
285.000000	68.709	-171.1083
290.000000	68.728	-170.1774
295.000000	68.749	-169.2791
300.000000	68.771	-168.4354
304.000000	68.788	-167.8089
307.000000	68.799	-167.3677
311.000000	68.809	-166.8030
