* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:55:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OPB3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.953	-178.8176
20.600000	76.986	-179.4526
20.900000	77.026	179.7532
21.200001	77.067	178.9133
21.400000	77.094	178.3531
21.799999	77.150	177.2546
22.000000	77.181	176.7168
22.400000	77.248	175.6526
22.700001	77.301	174.8518
23.000000	77.354	174.0413
23.299999	77.403	173.2223
23.600000	77.446	172.4028
24.000000	77.491	171.3282
24.299999	77.519	170.5453
24.700001	77.551	169.5323
25.000000	77.575	168.7858
25.400000	77.610	167.7902
25.799999	77.645	166.7823
26.200001	77.680	165.7656
26.500000	77.705	165.0060
26.900000	77.737	164.0089
27.200001	77.762	163.2759
27.600000	77.796	162.3152
28.000000	77.831	161.3636
28.500000	77.874	160.1724
29.000000	77.911	158.9741
29.500000	77.942	157.7769
30.000000	77.970	156.5930
30.400000	77.993	155.6575
30.700001	78.012	154.9601
31.100000	78.039	154.0330
31.500000	78.067	153.1125
32.000000	78.099	151.9945
32.500000	78.126	150.9468
33.000000	78.152	149.9773
33.500000	78.180	149.0412
34.000000	78.212	148.0690
34.500000	78.243	147.0204
35.000000	78.268	145.9087
35.500000	78.288	144.7758
36.000000	78.308	143.6545
36.500000	78.329	142.5565
37.000000	78.352	141.4819
37.500000	78.373	140.4290
38.200001	78.400	138.9890
38.700001	78.417	137.9886
39.500000	78.446	136.4414
40.000000	78.470	135.4821
40.599998	78.501	134.2901
41.200001	78.529	133.0479
41.799999	78.550	131.8052
42.500000	78.572	130.4039
43.099998	78.593	129.2206
43.700001	78.610	128.0310
44.400002	78.620	126.6599
45.000000	78.628	125.5111
45.500000	78.636	124.5547
46.200001	78.649	123.2009
46.799999	78.660	122.0509
47.500000	78.679	120.7393
