* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), no input selected, L, volume: no control. Timing signal peak level -37.5 dBFS, measurement signal peak level -37.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09-Apr-2023 12:28:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OnePlus Buds Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	65.990	82.4901
20.600000	66.011	82.3568
20.900000	66.073	82.0587
21.200001	66.165	81.6811
21.400000	66.242	81.3979
21.799999	66.424	80.8006
22.000000	66.521	80.5138
22.400000	66.710	80.0190
22.700001	66.839	79.7344
23.000000	66.951	79.5060
23.299999	67.050	79.2854
23.600000	67.138	79.0306
24.000000	67.239	78.6043
24.299999	67.309	78.2451
24.700001	67.402	77.8047
25.000000	67.480	77.5722
25.400000	67.604	77.4246
25.799999	67.752	77.3806
26.200001	67.905	77.2720
26.500000	68.007	77.0617
26.900000	68.103	76.5855
27.200001	68.139	76.1346
27.600000	68.143	75.5339
28.000000	68.123	75.0721
28.500000	68.111	74.7632
29.000000	68.150	74.6270
29.500000	68.236	74.4752
30.000000	68.332	74.2328
30.400000	68.399	74.0195
30.700001	68.441	73.8831
31.100000	68.490	73.7548
31.500000	68.537	73.6779
32.000000	68.596	73.6050
32.500000	68.654	73.5061
33.000000	68.703	73.3686
33.500000	68.741	73.2169
34.000000	68.771	73.0856
34.500000	68.799	72.9974
35.000000	68.827	72.9573
35.500000	68.858	72.9557
36.000000	68.892	72.9776
36.500000	68.924	73.0140
37.000000	68.953	73.0677
37.500000	68.975	73.1469
38.200001	68.999	73.3067
38.700001	69.010	73.4501
39.500000	69.025	73.7227
40.000000	69.036	73.9231
40.599998	69.054	74.1913
41.200001	69.081	74.4779
41.799999	69.110	74.7814
42.500000	69.140	75.1760
43.099998	69.157	75.5617
43.700001	69.166	75.9793
44.400002	69.167	76.4748
45.000000	69.167	76.8823
45.500000	69.170	77.1994
46.200001	69.185	77.6087
46.799999	69.205	77.9526
47.500000	69.230	78.4182
48.200001	69.252	79.0177
48.700001	69.267	79.5220
49.400002	69.292	80.2657
50.000000	69.311	80.8836
50.799999	69.325	81.6887
51.500000	69.327	82.4327
52.200001	69.329	83.2083
53.000000	69.337	84.0441
53.799999	69.351	84.7807
54.500000	69.363	85.3995
55.200001	69.374	86.0604
56.000000	69.380	86.8791
57.000000	69.374	87.9177
58.000000	69.359	88.9296
59.000000	69.351	89.9906
60.000000	69.361	91.1125
60.799999	69.376	91.9767
61.500000	69.388	92.6730
62.200001	69.396	93.3248
63.000000	69.401	94.0603
64.000000	69.400	95.0498
65.000000	69.393	96.1705
66.000000	69.377	97.3706
67.000000	69.350	98.5674
68.000000	69.315	99.7505
69.000000	69.280	100.9303
70.000000	69.242	102.1004
71.000000	69.199	103.2681
72.000000	69.160	104.4529
73.000000	69.128	105.6889
74.000000	69.099	107.0019
75.000000	69.066	108.3330
76.199997	69.014	109.8003
77.500000	68.941	111.2277
78.800003	68.858	112.6924
80.000000	68.773	114.1834
81.199997	68.680	115.7864
82.500000	68.572	117.5975
83.800003	68.455	119.4519
85.000000	68.343	121.1742
86.199997	68.228	122.8909
87.500000	68.101	124.7615
88.500000	68.003	126.2364
90.000000	67.857	128.5738
91.199997	67.741	130.5703
92.500000	67.607	132.7988
93.800003	67.458	135.0341
95.000000	67.310	137.1166
96.199997	67.165	139.2527
97.500000	67.018	141.6495
98.800003	66.876	144.1234
100.000000	66.738	146.4551
101.500000	66.553	149.4289
103.000000	66.371	152.4762
104.400002	66.215	155.3661
106.000000	66.046	158.6924
107.500000	65.881	161.8278
109.000000	65.708	164.9979
110.599998	65.525	168.4526
112.000000	65.375	171.5717
113.800003	65.192	175.7264
115.000000	65.070	178.5615
117.199997	64.839	-176.1685
118.000000	64.754	-174.2335
120.599998	64.476	-167.8298
122.000000	64.329	-164.2777
124.099998	64.117	-158.8474
125.000000	64.030	-156.5054
126.500000	63.891	-152.6078
128.000000	63.759	-148.7363
131.500000	63.470	-139.6595
132.000000	63.429	-138.3444
134.000000	63.269	-133.0529
136.000000	63.108	-127.6919
138.000000	62.953	-122.2199
140.000000	62.816	-116.6339
143.000000	62.639	-108.1803
145.000000	62.530	-102.6053
147.500000	62.387	-95.6718
150.000000	62.252	-88.6008
152.500000	62.141	-81.3442
155.000000	62.043	-74.0345
157.500000	61.954	-66.7991
160.000000	61.872	-59.6028
162.500000	61.782	-52.3567
165.000000	61.691	-45.0218
167.500000	61.612	-37.6724
170.000000	61.550	-30.3823
172.500000	61.499	-23.0746
175.000000	61.456	-15.6824
177.500000	61.420	-8.2963
180.000000	61.383	-1.0080
182.500000	61.339	6.2090
185.000000	61.287	13.4116
187.500000	61.225	20.6101
190.000000	61.160	27.7924
192.500000	61.107	34.9773
195.000000	61.082	42.1910
197.500000	61.081	49.4406
200.000000	61.088	56.7308
203.000000	61.098	65.5072
206.000000	61.114	74.2550
209.000000	61.144	83.0009
212.000000	61.179	91.8066
214.000000	61.196	97.7145
218.000000	61.194	109.5579
220.000000	61.177	115.4299
224.000000	61.143	126.9830
227.000000	61.135	135.5834
230.000000	61.142	144.2867
233.000000	61.153	153.1378
236.000000	61.167	162.0433
240.000000	61.195	173.8362
243.000000	61.218	-177.3773
247.000000	61.240	-165.6845
250.000000	61.243	-156.9170
254.000000	61.237	-145.2236
258.000000	61.232	-133.5473
262.000000	61.231	-121.9094
265.000000	61.232	-113.1987
269.000000	61.232	-101.5321
272.000000	61.231	-92.6846
276.000000	61.221	-80.7404
280.000000	61.204	-68.7394
285.000000	61.193	-53.8292
290.000000	61.210	-39.0159
295.000000	61.233	-24.1512
300.000000	61.242	-9.0925
304.000000	61.247	3.0352
307.000000	61.250	12.1171
311.000000	61.250	24.1737
315.000000	61.244	36.2023
320.000000	61.240	51.2979
325.000000	61.245	66.4834
330.000000	61.245	81.7026
335.000000	61.233	96.9286
340.000000	61.218	112.1646
345.000000	61.214	127.4088
350.000000	61.216	142.6316
355.000000	61.216	157.8054
360.000000	61.217	172.9489
365.000000	61.230	-171.8049
370.000000	61.252	-156.3564
375.000000	61.267	-140.7524
382.000000	61.258	-118.8445
387.000000	61.246	-103.2434
395.000000	61.259	-78.3186
400.000000	61.291	-62.6868
406.000000	61.343	-43.8928
412.000000	61.385	-25.1077
418.000000	61.404	-6.3707
425.000000	61.410	15.3871
431.000000	61.412	33.9966
437.000000	61.410	52.6885
