* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16-Aug-2024 14:45:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OpenRock X Relax L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	43.067	-165.4380
20.600000	42.200	-168.8661
20.900000	40.949	-175.4775
21.200001	39.797	169.1602
21.400000	39.610	148.3879
21.799999	41.363	97.7144
22.000000	42.758	83.7544
22.400000	45.152	70.4273
22.700001	46.205	65.7021
23.000000	46.536	63.4181
23.299999	46.160	63.7804
23.600000	45.171	68.5048
24.000000	43.469	89.3859
24.299999	42.696	119.6489
24.700001	42.810	151.9442
25.000000	43.120	163.4249
25.400000	43.123	171.2801
25.799999	42.672	174.4464
26.200001	42.126	171.7235
26.500000	41.863	164.5070
26.900000	41.802	149.6127
27.200001	41.907	138.6679
27.600000	42.164	130.4752
28.000000	42.798	131.6802
28.500000	44.547	139.3424
29.000000	46.604	140.9876
29.500000	47.985	135.5211
30.000000	48.544	128.8843
30.400000	48.705	126.5697
30.700001	48.929	127.5695
31.100000	49.586	131.3680
31.500000	50.536	135.0450
32.000000	51.617	136.7684
32.500000	52.274	136.0235
33.000000	52.627	134.3135
33.500000	52.977	132.1227
34.000000	53.505	129.1523
34.500000	54.168	124.9359
35.000000	54.789	118.8444
35.500000	55.147	110.1085
36.000000	55.057	98.4543
36.500000	54.477	85.3729
37.000000	53.713	75.8732
37.500000	53.678	76.8662
38.200001	55.770	88.7159
38.700001	57.542	92.3973
39.500000	59.431	93.4644
40.000000	60.276	93.6584
40.599998	61.243	91.8633
41.200001	61.995	87.0726
41.799999	62.343	81.8704
42.500000	62.375	79.2941
43.099998	62.346	79.9357
43.700001	62.348	80.1718
44.400002	62.450	76.9886
45.000000	62.812	71.7702
45.500000	63.329	67.6506
46.200001	64.113	64.7758
46.799999	64.571	64.1285
47.500000	64.550	61.4500
48.200001	63.783	52.8303
48.700001	63.095	42.6927
49.400002	63.073	33.7490
50.000000	64.366	37.6541
50.799999	66.444	39.6002
51.500000	67.489	38.0272
52.200001	67.819	36.4626
53.000000	67.945	34.3070
53.799999	68.243	30.6308
54.500000	68.650	26.8935
55.200001	69.100	23.3073
56.000000	69.578	19.1294
57.000000	70.117	13.9092
58.000000	70.623	9.7170
59.000000	71.007	6.3724
60.000000	71.267	2.6464
60.799999	71.496	-0.9739
61.500000	71.752	-4.3502
62.200001	72.035	-7.5523
63.000000	72.355	-10.7908
64.000000	72.730	-14.5419
65.000000	73.071	-18.4754
66.000000	73.410	-22.4775
67.000000	73.784	-26.3452
68.000000	74.147	-30.1979
69.000000	74.454	-34.0945
70.000000	74.721	-37.9170
71.000000	74.982	-41.5748
72.000000	75.240	-45.2319
73.000000	75.484	-49.1572
74.000000	75.712	-53.2858
75.000000	75.941	-57.3085
76.199997	76.218	-61.8451
77.500000	76.465	-66.4919
78.800003	76.637	-70.9293
80.000000	76.768	-74.9680
81.199997	76.901	-78.8834
82.500000	77.060	-82.8705
83.800003	77.225	-86.8408
85.000000	77.397	-90.6342
86.199997	77.589	-94.4501
87.500000	77.782	-98.4829
88.500000	77.913	-101.5079
90.000000	78.111	-106.0345
91.199997	78.283	-109.6720
92.500000	78.469	-113.5668
93.800003	78.640	-117.4453
95.000000	78.778	-121.0099
96.199997	78.902	-124.4956
97.500000	79.019	-128.1841
98.800003	79.124	-131.8398
100.000000	79.226	-135.1917
101.500000	79.365	-139.3445
103.000000	79.506	-143.4915
104.400002	79.625	-147.3005
106.000000	79.732	-151.5585
107.500000	79.814	-155.4819
109.000000	79.905	-159.2825
110.599998	80.016	-163.2802
112.000000	80.111	-166.8221
113.800003	80.222	-171.4062
115.000000	80.287	-174.4490
117.199997	80.374	-179.8616
118.000000	80.400	178.2476
120.599998	80.493	172.2958
122.000000	80.550	169.0565
124.099998	80.622	164.0446
125.000000	80.643	161.8887
126.500000	80.669	158.3445
128.000000	80.689	154.8839
131.500000	80.720	147.0667
132.000000	80.722	145.9867
134.000000	80.729	141.8355
136.000000	80.743	137.9565
138.000000	80.772	134.2422
140.000000	80.817	130.5855
143.000000	80.914	125.1036
145.000000	80.994	121.3450
147.500000	81.071	116.5323
150.000000	81.080	111.7720
152.500000	81.014	107.1973
155.000000	80.906	103.0126
157.500000	80.808	99.2386
160.000000	80.766	95.8193
162.500000	80.794	92.6282
165.000000	80.870	89.4752
167.500000	80.956	86.2453
170.000000	81.040	82.9386
172.500000	81.117	79.6718
175.000000	81.178	76.4861
177.500000	81.219	73.3217
180.000000	81.260	70.1407
182.500000	81.319	66.9968
185.000000	81.395	63.8920
187.500000	81.474	60.7474
190.000000	81.550	57.6317
192.500000	81.624	54.6136
195.000000	81.695	51.6432
197.500000	81.765	48.6796
200.000000	81.832	45.7445
203.000000	81.909	42.2908
206.000000	81.982	38.8463
209.000000	82.053	35.3625
212.000000	82.125	31.9589
214.000000	82.172	29.8102
218.000000	82.266	25.7706
220.000000	82.316	23.8121
224.000000	82.422	19.8966
227.000000	82.502	16.9169
230.000000	82.578	13.9559
233.000000	82.645	11.1027
236.000000	82.700	8.3505
240.000000	82.763	4.7457
243.000000	82.807	2.0407
247.000000	82.858	-1.5670
250.000000	82.895	-4.2768
254.000000	82.944	-7.8552
258.000000	82.987	-11.2905
262.000000	83.025	-14.5511
265.000000	83.053	-16.9267
269.000000	83.092	-19.9930
272.000000	83.120	-22.1974
276.000000	83.152	-25.0500
280.000000	83.181	-27.9116
285.000000	83.217	-31.5081
290.000000	83.244	-35.0619
295.000000	83.264	-38.5662
300.000000	83.294	-41.9534
304.000000	83.328	-44.5502
307.000000	83.359	-46.4325
311.000000	83.408	-48.8768
315.000000	83.459	-51.2773
320.000000	83.515	-54.2614
325.000000	83.559	-57.3030
330.000000	83.592	-60.3278
335.000000	83.621	-63.0872
340.000000	83.653	-65.4774
345.000000	83.693	-67.6328
350.000000	83.740	-69.6443
355.000000	83.790	-71.4786
360.000000	83.838	-73.1432
365.000000	83.884	-74.7375
370.000000	83.924	-76.3361
375.000000	83.955	-77.9318
382.000000	84.006	-80.0544
387.000000	84.058	-81.4700
395.000000	84.145	-83.6122
400.000000	84.196	-84.8746
406.000000	84.254	-86.3478
412.000000	84.304	-87.8259
418.000000	84.337	-89.2596
425.000000	84.362	-90.8715
431.000000	84.398	-92.3140
437.000000	84.458	-93.8158
444.000000	84.530	-95.5715
450.000000	84.578	-97.0577
455.000000	84.610	-98.2350
462.000000	84.652	-99.7347
468.000000	84.686	-100.9167
475.000000	84.721	-102.2816
482.000000	84.762	-103.6854
487.000000	84.800	-104.6698
494.000000	84.861	-106.0021
500.000000	84.913	-107.1189
508.000000	84.972	-108.5251
515.000000	85.015	-109.6759
522.000000	85.057	-110.8016
530.000000	85.116	-112.0665
538.000000	85.187	-113.3087
545.000000	85.246	-114.4033
552.000000	85.300	-115.5017
560.000000	85.358	-116.7173
570.000000	85.423	-118.1787
580.000000	85.483	-119.5714
590.000000	85.543	-120.9545
600.000000	85.595	-122.3689
608.000000	85.630	-123.5271
615.000000	85.663	-124.5249
622.000000	85.705	-125.4785
630.000000	85.766	-126.5225
640.000000	85.847	-127.8037
650.000000	85.921	-129.0841
660.000000	85.985	-130.2930
670.000000	86.036	-131.3895
680.000000	86.080	-132.4053
690.000000	86.133	-133.3582
700.000000	86.193	-134.2798
710.000000	86.246	-135.2194
720.000000	86.282	-136.2340
730.000000	86.311	-137.3184
740.000000	86.339	-138.4150
750.000000	86.365	-139.5032
762.000000	86.398	-140.8208
775.000000	86.441	-142.2285
788.000000	86.487	-143.5686
800.000000	86.525	-144.7888
812.000000	86.557	-146.0182
825.000000	86.593	-147.3088
838.000000	86.637	-148.5027
850.000000	86.675	-149.5391
862.000000	86.700	-150.5408
875.000000	86.715	-151.5535
885.000000	86.726	-152.2627
900.000000	86.744	-153.1963
912.000000	86.757	-153.8114
925.000000	86.775	-154.4093
938.000000	86.804	-154.9880
950.000000	86.838	-155.4712
962.000000	86.876	-155.8955
975.000000	86.913	-156.3743
988.000000	86.937	-156.9669
1000.000000	86.946	-157.6055
1015.000000	86.951	-158.4048
1030.000000	86.959	-159.0959
1044.000000	86.971	-159.5594
1060.000000	86.987	-159.8763
1075.000000	87.009	-160.0916
1090.000000	87.040	-160.2854
1106.000000	87.078	-160.4686
1120.000000	87.111	-160.5923
1138.000000	87.153	-160.6523
1150.000000	87.185	-160.6108
1172.000000	87.261	-160.4443
1180.000000	87.294	-160.3889
1206.000000	87.395	-160.1980
1220.000000	87.440	-160.0564
1241.000000	87.506	-159.7590
1250.000000	87.536	-159.5870
1265.000000	87.589	-159.2507
1280.000000	87.647	-158.8938
1315.000000	87.820	-158.0895
1320.000000	87.849	-157.9688
1340.000000	87.971	-157.4233
1360.000000	88.109	-156.8380
1380.000000	88.255	-156.3959
1400.000000	88.404	-156.1610
1430.000000	88.635	-156.1437
1450.000000	88.792	-156.2996
1475.000000	88.991	-156.5767
1500.000000	89.199	-156.8947
1525.000000	89.398	-157.2930
1550.000000	89.554	-157.7336
1575.000000	89.657	-158.1550
1600.000000	89.717	-158.4490
1625.000000	89.749	-158.5366
1650.000000	89.761	-158.3625
1675.000000	89.766	-157.8993
1700.000000	89.769	-157.1550
1725.000000	89.774	-156.1265
1750.000000	89.799	-154.8008
1775.000000	89.866	-153.2471
1800.000000	89.984	-151.5154
1825.000000	90.157	-149.6830
1850.000000	90.389	-147.8920
1875.000000	90.681	-146.2528
1900.000000	91.029	-144.8710
1925.000000	91.422	-143.8634
1950.000000	91.841	-143.2906
1975.000000	92.272	-143.1089
2000.000000	92.704	-143.2196
2030.000000	93.209	-143.6903
2060.000000	93.689	-144.5859
2090.000000	94.144	-145.9506
2120.000000	94.571	-147.7880
2140.000000	94.831	-149.2532
2180.000000	95.278	-152.5540
2200.000000	95.468	-154.3328
2240.000000	95.775	-158.1344
2270.000000	95.926	-161.0930
2300.000000	95.999	-164.0159
2330.000000	95.993	-166.8099
2360.000000	95.911	-169.2959
2400.000000	95.729	-172.0156
2430.000000	95.573	-173.5691
2470.000000	95.413	-174.7886
2500.000000	95.381	-175.1760
2540.000000	95.480	-175.5607
2580.000000	95.720	-176.4353
2620.000000	96.031	-178.1865
2650.000000	96.263	179.9969
2690.000000	96.539	177.2640
2720.000000	96.709	175.1604
2760.000000	96.874	172.4282
2800.000000	96.978	169.7855
2850.000000	97.046	166.5803
2900.000000	97.048	163.5110
2950.000000	96.973	160.6315
3000.000000	96.835	158.2181
3040.000000	96.696	156.5857
3070.000000	96.580	155.4583
3110.000000	96.409	154.0491
3150.000000	96.231	152.7974
3200.000000	96.011	151.4941
3250.000000	95.792	150.4333
