* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -32.1 dBFS, measurement signal peak level -28.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 05-May-2023 23:28:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco Air3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.999	-44.4661
20.299999	66.418	-45.3305
20.600000	66.850	-46.1419
20.900000	67.277	-46.9077
21.200001	67.686	-47.6079
21.400000	67.945	-48.0209
21.799999	68.428	-48.7029
22.000000	68.653	-48.9723
22.400000	69.071	-49.3936
22.700001	69.358	-49.6461
23.000000	69.623	-49.8859
23.299999	69.865	-50.1445
23.600000	70.082	-50.4438
24.000000	70.336	-50.9307
24.299999	70.500	-51.3719
24.700001	70.689	-52.0693
25.000000	70.814	-52.6825
25.400000	70.966	-53.6387
25.799999	71.106	-54.7761
26.200001	71.237	-56.0994
26.500000	71.330	-57.1958
26.900000	71.450	-58.7542
27.200001	71.541	-59.9610
27.600000	71.668	-61.5848
28.000000	71.808	-63.2044
28.500000	72.000	-65.2088
29.000000	72.204	-67.1652
29.500000	72.410	-69.0283
30.000000	72.612	-70.7530
30.400000	72.768	-72.0193
30.700001	72.880	-72.9039
31.100000	73.025	-74.0064
31.500000	73.163	-75.0379
32.000000	73.326	-76.2647
32.500000	73.477	-77.4659
33.000000	73.611	-78.6685
33.500000	73.727	-79.8684
34.000000	73.830	-81.0443
34.500000	73.928	-82.1827
35.000000	74.027	-83.2933
35.500000	74.134	-84.4070
36.000000	74.248	-85.5550
36.500000	74.364	-86.7441
37.000000	74.478	-87.9471
37.500000	74.585	-89.1184
38.200001	74.729	-90.6357
38.700001	74.831	-91.6189
39.500000	75.000	-93.0623
40.000000	75.111	-93.9223
40.599998	75.246	-94.9501
41.200001	75.379	-95.9950
41.799999	75.505	-97.0536
42.500000	75.643	-98.2824
43.099998	75.755	-99.3194
43.700001	75.861	-100.3491
44.400002	75.978	-101.5495
45.000000	76.071	-102.5652
45.500000	76.144	-103.3844
46.200001	76.243	-104.4776
46.799999	76.332	-105.3784
47.500000	76.441	-106.4197
48.200001	76.554	-107.4619
48.700001	76.636	-108.1974
49.400002	76.751	-109.1991
50.000000	76.848	-110.0307
50.799999	76.972	-111.1148
51.500000	77.077	-112.0531
52.200001	77.179	-112.9901
53.000000	77.292	-114.0587
53.799999	77.398	-115.0998
54.500000	77.487	-115.9677
55.200001	77.578	-116.8089
56.000000	77.686	-117.7816
57.000000	77.823	-119.0582
58.000000	77.962	-120.4127
59.000000	78.098	-121.8529
60.000000	78.223	-123.3247
60.799999	78.315	-124.4671
61.500000	78.395	-125.4370
62.200001	78.474	-126.3960
63.000000	78.562	-127.4893
64.000000	78.666	-128.8452
65.000000	78.770	-130.1991
66.000000	78.877	-131.6036
67.000000	78.980	-133.0970
68.000000	79.068	-134.6373
69.000000	79.142	-136.1429
70.000000	79.211	-137.5924
71.000000	79.281	-139.0337
72.000000	79.349	-140.5168
73.000000	79.407	-142.0410
74.000000	79.454	-143.5673
75.000000	79.495	-145.0723
76.199997	79.543	-146.8809
77.500000	79.588	-148.9059
78.800003	79.612	-150.9681
80.000000	79.614	-152.8301
81.199997	79.602	-154.6400
82.500000	79.577	-156.5533
83.800003	79.546	-158.4202
85.000000	79.518	-160.1258
86.199997	79.484	-161.8304
87.500000	79.432	-163.6338
88.500000	79.381	-164.9504
90.000000	79.287	-166.7955
91.199997	79.199	-168.1786
92.500000	79.093	-169.5977
93.800003	78.983	-170.9466
95.000000	78.886	-172.1624
96.199997	78.794	-173.3895
97.500000	78.691	-174.7253
98.800003	78.578	-175.9988
100.000000	78.467	-177.0696
101.500000	78.327	-178.2780
103.000000	78.185	-179.4073
104.400002	78.041	179.5809
106.000000	77.859	178.5079
107.500000	77.676	177.6122
109.000000	77.491	176.8218
110.599998	77.305	176.0592
112.000000	77.157	175.4279
113.800003	76.984	174.6638
115.000000	76.875	174.1983
117.199997	76.670	173.4734
118.000000	76.593	173.2610
120.599998	76.344	172.7415
122.000000	76.215	172.5402
124.099998	76.030	172.3518
125.000000	75.954	172.3146
126.500000	75.832	172.2817
128.000000	75.710	172.2540
131.500000	75.425	172.2906
132.000000	75.388	172.3216
134.000000	75.258	172.4955
136.000000	75.153	172.6949
138.000000	75.062	172.8621
140.000000	74.975	172.9812
143.000000	74.848	173.1862
145.000000	74.768	173.4022
147.500000	74.666	173.7456
150.000000	74.564	174.0925
152.500000	74.479	174.3302
155.000000	74.416	174.4406
157.500000	74.360	174.5107
160.000000	74.305	174.5737
162.500000	74.254	174.5806
165.000000	74.217	174.5122
167.500000	74.190	174.4198
170.000000	74.168	174.3734
172.500000	74.157	174.3735
175.000000	74.159	174.3738
177.500000	74.161	174.3764
180.000000	74.147	174.3982
182.500000	74.115	174.3973
185.000000	74.068	174.3199
187.500000	74.010	174.1743
190.000000	73.944	174.0076
192.500000	73.878	173.8549
195.000000	73.813	173.7286
197.500000	73.754	173.6064
200.000000	73.711	173.4457
203.000000	73.693	173.1860
206.000000	73.709	172.9089
209.000000	73.729	172.6590
212.000000	73.734	172.3961
214.000000	73.728	172.1893
218.000000	73.695	171.7453
220.000000	73.671	171.5516
224.000000	73.612	171.2525
227.000000	73.560	171.0542
230.000000	73.504	170.8345
233.000000	73.447	170.5975
236.000000	73.389	170.3646
240.000000	73.312	170.0653
243.000000	73.255	169.8602
247.000000	73.180	169.6431
250.000000	73.127	169.4996
254.000000	73.069	169.3012
258.000000	73.016	169.1312
262.000000	72.948	168.9935
265.000000	72.890	168.8914
269.000000	72.810	168.7584
272.000000	72.749	168.6610
276.000000	72.665	168.5208
280.000000	72.582	168.3722
285.000000	72.482	168.1767
290.000000	72.380	167.9428
295.000000	72.267	167.7212
300.000000	72.142	167.5915
304.000000	72.034	167.5438
307.000000	71.953	167.5159
311.000000	71.850	167.4813
315.000000	71.754	167.4680
320.000000	71.646	167.4935
325.000000	71.544	167.5634
330.000000	71.454	167.6451
335.000000	71.387	167.6588
340.000000	71.329	167.5799
345.000000	71.256	167.4501
350.000000	71.160	167.3080
355.000000	71.054	167.1768
360.000000	70.947	167.0920
365.000000	70.827	167.0697
370.000000	70.684	167.0768
375.000000	70.520	167.1109
382.000000	70.287	167.3157
387.000000	70.139	167.5998
395.000000	69.924	168.1756
400.000000	69.784	168.5813
406.000000	69.619	169.1490
412.000000	69.474	169.8062
418.000000	69.338	170.4890
425.000000	69.173	171.2510
431.000000	69.029	171.8656
437.000000	68.886	172.4418
444.000000	68.719	173.1147
450.000000	68.581	173.7715
455.000000	68.476	174.4205
462.000000	68.342	175.4827
468.000000	68.230	176.4637
475.000000	68.113	177.6066
482.000000	68.036	178.7774
487.000000	67.999	179.6846
494.000000	67.955	-178.9271
500.000000	67.919	-177.6788
508.000000	67.880	-176.0339
515.000000	67.852	-174.6501
522.000000	67.832	-173.2950
530.000000	67.817	-171.7771
538.000000	67.813	-170.3336
545.000000	67.825	-169.1561
552.000000	67.848	-168.0456
560.000000	67.886	-166.8140
570.000000	67.944	-165.3123
580.000000	68.010	-163.8970
590.000000	68.075	-162.6535
600.000000	68.131	-161.5728
608.000000	68.172	-160.7903
615.000000	68.213	-160.1790
622.000000	68.264	-159.6581
630.000000	68.325	-159.1417
640.000000	68.389	-158.5048
650.000000	68.426	-157.8553
660.000000	68.453	-157.2822
670.000000	68.494	-156.8446
680.000000	68.545	-156.4471
690.000000	68.586	-155.9343
700.000000	68.617	-155.3030
710.000000	68.656	-154.6926
720.000000	68.704	-154.1690
730.000000	68.750	-153.6990
740.000000	68.789	-153.2595
750.000000	68.820	-152.8663
762.000000	68.851	-152.4381
775.000000	68.884	-151.9015
788.000000	68.906	-151.2520
