* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20-May-2024 11:34:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco X2 (Dyn Real) L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.996	97.6474
20.600000	74.061	96.6935
20.900000	74.151	95.5246
21.200001	74.256	94.3235
21.400000	74.333	93.5465
21.799999	74.498	92.0948
22.000000	74.584	91.4273
22.400000	74.758	90.2046
22.700001	74.886	89.3691
23.000000	75.009	88.5808
23.299999	75.125	87.8181
23.600000	75.234	87.0632
24.000000	75.368	86.0494
24.299999	75.462	85.2797
24.700001	75.585	84.2456
25.000000	75.676	83.4706
25.400000	75.800	82.4460
25.799999	75.924	81.4377
26.200001	76.047	80.4511
26.500000	76.134	79.7296
26.900000	76.244	78.7974
27.200001	76.321	78.1225
27.600000	76.418	77.2519
28.000000	76.511	76.4050
28.500000	76.624	75.3617
29.000000	76.732	74.3273
29.500000	76.833	73.3098
30.000000	76.926	72.3155
30.400000	76.996	71.5277
30.700001	77.048	70.9315
31.100000	77.115	70.1184
31.500000	77.180	69.2791
32.000000	77.259	68.2014
32.500000	77.335	67.1150
33.000000	77.410	66.0452
33.500000	77.483	65.0086
34.000000	77.554	64.0098
34.500000	77.624	63.0414
35.000000	77.693	62.0893
35.500000	77.759	61.1438
36.000000	77.820	60.2079
36.500000	77.873	59.2906
37.000000	77.920	58.3942
37.500000	77.961	57.5141
38.200001	78.012	56.3118
38.700001	78.049	55.4876
39.500000	78.121	54.2236
40.000000	78.170	53.4393
40.599998	78.224	52.4905
41.200001	78.265	51.5538
41.799999	78.298	50.6374
42.500000	78.336	49.5592
43.099998	78.371	48.6196
43.700001	78.408	47.7075
44.400002	78.456	46.7183
45.000000	78.503	45.9120
45.500000	78.540	45.2480
46.200001	78.582	44.3387
46.799999	78.609	43.6012
47.500000	78.630	42.7919
48.200001	78.641	42.0139
48.700001	78.645	41.4574
49.400002	78.652	40.6340
50.000000	78.664	39.8532
50.799999	78.681	38.7361
51.500000	78.690	37.8028
52.200001	78.692	37.0015
53.000000	78.695	36.2186
53.799999	78.701	35.4480
54.500000	78.706	34.7137
55.200001	78.704	33.9472
56.000000	78.692	33.1028
57.000000	78.669	32.1205
58.000000	78.643	31.1705
59.000000	78.623	30.2321
60.000000	78.613	29.2755
60.799999	78.606	28.4885
61.500000	78.597	27.7853
62.200001	78.587	27.0712
63.000000	78.568	26.2713
64.000000	78.534	25.3614
65.000000	78.493	24.5317
66.000000	78.448	23.7133
67.000000	78.406	22.9075
68.000000	78.366	22.1588
69.000000	78.327	21.4573
70.000000	78.281	20.7249
71.000000	78.222	19.9313
72.000000	78.157	19.0994
73.000000	78.094	18.2487
74.000000	78.036	17.4111
75.000000	77.982	16.6251
76.199997	77.912	15.7973
77.500000	77.817	15.0474
78.800003	77.707	14.3441
80.000000	77.602	13.6485
81.199997	77.493	12.9277
82.500000	77.373	12.1376
83.800003	77.253	11.3148
85.000000	77.142	10.5547
86.199997	77.020	9.8437
87.500000	76.874	9.1780
88.500000	76.758	8.7529
90.000000	76.581	8.2380
91.199997	76.435	7.8770
92.500000	76.269	7.4920
93.800003	76.093	7.1486
95.000000	75.922	6.9142
96.199997	75.744	6.7646
97.500000	75.541	6.7065
98.800003	75.332	6.7753
100.000000	75.142	6.9422
101.500000	74.919	7.2596
103.000000	74.716	7.6886
104.400002	74.537	8.1991
106.000000	74.342	8.9249
107.500000	74.172	9.7234
109.000000	74.012	10.6171
110.599998	73.845	11.6522
112.000000	73.702	12.6004
113.800003	73.531	13.8240
115.000000	73.427	14.6408
117.199997	73.269	16.1877
118.000000	73.224	16.7613
120.599998	73.098	18.6198
122.000000	73.033	19.6135
124.099998	72.937	21.1291
125.000000	72.901	21.8005
126.500000	72.850	22.9329
128.000000	72.812	24.0569
131.500000	72.763	26.5095
132.000000	72.759	26.8272
134.000000	72.748	28.0234
136.000000	72.739	29.1543
138.000000	72.741	30.2670
140.000000	72.765	31.3716
143.000000	72.837	32.9892
145.000000	72.898	34.0804
147.500000	72.976	35.4465
150.000000	73.051	36.6312
152.500000	73.130	37.5864
155.000000	73.214	38.5357
157.500000	73.295	39.4803
160.000000	73.377	40.2823
162.500000	73.465	40.9391
165.000000	73.550	41.5060
167.500000	73.631	42.0376
170.000000	73.711	42.5452
172.500000	73.781	43.0298
175.000000	73.837	43.4998
177.500000	73.892	43.9666
180.000000	73.954	44.4611
182.500000	74.026	44.9624
185.000000	74.110	45.3736
187.500000	74.207	45.7125
190.000000	74.307	46.0628
192.500000	74.407	46.4011
195.000000	74.506	46.6543
197.500000	74.598	46.8049
200.000000	74.680	46.9133
203.000000	74.772	47.1023
