* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20-May-2024 11:34:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco X2 (Dyn Real) R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.950	85.5367
20.600000	74.020	84.3985
20.900000	74.114	82.9859
21.200001	74.225	81.5131
21.400000	74.306	80.5490
21.799999	74.479	78.7266
22.000000	74.569	77.8823
22.400000	74.748	76.3372
22.700001	74.877	75.2943
23.000000	74.999	74.3291
23.299999	75.113	73.4146
23.600000	75.219	72.5227
24.000000	75.348	71.3285
24.299999	75.438	70.4130
24.700001	75.554	69.1629
25.000000	75.640	68.2120
25.400000	75.758	66.9427
25.799999	75.879	65.6870
26.200001	76.000	64.4557
26.500000	76.087	63.5546
26.900000	76.197	62.3926
27.200001	76.273	61.5564
27.600000	76.369	60.4892
28.000000	76.462	59.4623
28.500000	76.582	58.1918
29.000000	76.703	56.8879
29.500000	76.819	55.5394
30.000000	76.922	54.1791
30.400000	76.994	53.1087
30.700001	77.044	52.3210
31.100000	77.107	51.2824
31.500000	77.170	50.2390
32.000000	77.249	48.9012
32.500000	77.327	47.5219
33.000000	77.402	46.1292
33.500000	77.474	44.7654
34.000000	77.541	43.4611
34.500000	77.605	42.2226
35.000000	77.667	41.0339
35.500000	77.727	39.8648
36.000000	77.787	38.6828
36.500000	77.845	37.4682
37.000000	77.902	36.2260
37.500000	77.956	34.9824
38.200001	78.030	33.2905
38.700001	78.081	32.1283
39.500000	78.157	30.3258
40.000000	78.197	29.2234
40.599998	78.239	27.9216
41.200001	78.281	26.6370
41.799999	78.325	25.3628
42.500000	78.375	23.8875
43.099998	78.412	22.6313
43.700001	78.442	21.3790
44.400002	78.472	19.9270
45.000000	78.500	18.7047
45.500000	78.529	17.7105
46.200001	78.575	16.3564
46.799999	78.610	15.2186
47.500000	78.633	13.8977
48.200001	78.634	12.5797
48.700001	78.628	11.6495
49.400002	78.624	10.3728
50.000000	78.634	9.2994
50.799999	78.658	7.8980
51.500000	78.674	6.7148
52.200001	78.680	5.5680
53.000000	78.676	4.2526
53.799999	78.668	2.8818
54.500000	78.664	1.6254
55.200001	78.662	0.3334
56.000000	78.656	-1.1341
57.000000	78.641	-2.8685
58.000000	78.619	-4.4886
59.000000	78.597	-6.0672
60.000000	78.581	-7.6611
60.799999	78.570	-8.9666
61.500000	78.559	-10.1153
62.200001	78.542	-11.2334
63.000000	78.518	-12.4443
