* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20-May-2024 11:35:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco X2 (Dyn S&S) L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.763	93.7720
20.600000	73.825	92.6825
20.900000	73.907	91.3257
21.200001	74.003	89.9088
21.400000	74.075	88.9822
21.799999	74.234	87.2371
22.000000	74.320	86.4326
22.400000	74.497	84.9698
22.700001	74.629	83.9938
23.000000	74.754	83.1061
23.299999	74.870	82.2864
23.600000	74.976	81.5104
24.000000	75.104	80.4989
24.299999	75.195	79.7287
24.700001	75.311	78.6606
25.000000	75.399	77.8278
25.400000	75.516	76.6960
25.799999	75.636	75.5751
26.200001	75.758	74.4963
26.500000	75.848	73.7211
26.900000	75.964	72.7271
27.200001	76.045	72.0045
27.600000	76.141	71.0652
28.000000	76.227	70.1527
28.500000	76.326	69.0459
29.000000	76.425	67.9555
29.500000	76.528	66.8533
30.000000	76.629	65.7390
30.400000	76.702	64.8606
30.700001	76.753	64.2207
31.100000	76.816	63.3938
31.500000	76.876	62.5825
32.000000	76.950	61.5556
32.500000	77.019	60.4929
33.000000	77.083	59.4073
33.500000	77.142	58.3283
34.000000	77.199	57.2721
34.500000	77.254	56.2357
35.000000	77.308	55.2115
35.500000	77.360	54.1975
36.000000	77.411	53.1969
36.500000	77.459	52.2135
37.000000	77.506	51.2502
37.500000	77.550	50.3077
38.200001	77.606	49.0191
38.700001	77.641	48.1238
39.500000	77.690	46.7648
40.000000	77.721	45.9715
40.599998	77.758	45.0571
41.200001	77.793	44.1557
41.799999	77.821	43.2701
42.500000	77.845	42.2977
43.099998	77.864	41.5234
43.700001	77.887	40.7613
44.400002	77.915	39.8210
45.000000	77.937	38.9502
45.500000	77.954	38.1885
46.200001	77.980	37.1040
46.799999	78.004	36.2125
47.500000	78.028	35.3088
48.200001	78.051	34.5889
48.700001	78.069	34.1334
49.400002	78.094	33.4467
50.000000	78.107	32.7536
50.799999	78.104	31.7564
51.500000	78.091	30.9274
52.200001	78.082	30.1603
53.000000	78.076	29.3108
53.799999	78.075	28.4739
54.500000	78.079	27.7592
55.200001	78.084	27.0596
56.000000	78.083	26.2758
57.000000	78.065	25.3110
58.000000	78.037	24.3598
59.000000	78.019	23.4539
60.000000	78.021	22.5724
60.799999	78.027	21.8499
61.500000	78.027	21.2153
62.200001	78.020	20.6055
63.000000	78.008	19.9581
64.000000	77.990	19.2188
65.000000	77.972	18.5260
66.000000	77.949	17.8202
67.000000	77.916	17.0740
68.000000	77.875	16.3368
69.000000	77.836	15.6526
70.000000	77.800	15.0132
71.000000	77.764	14.3775
72.000000	77.727	13.7290
73.000000	77.693	13.1074
74.000000	77.666	12.5485
75.000000	77.645	12.0301
76.199997	77.616	11.4087
77.500000	77.568	10.7300
78.800003	77.507	10.0400
80.000000	77.448	9.3789
81.199997	77.392	8.7209
82.500000	77.332	8.0257
83.800003	77.269	7.3587
85.000000	77.207	6.8212
86.199997	77.138	6.3470
87.500000	77.060	5.8142
88.500000	77.002	5.3933
90.000000	76.922	4.8376
91.199997	76.859	4.4515
92.500000	76.783	4.0389
93.800003	76.696	3.6258
95.000000	76.606	3.2684
96.199997	76.516	2.9403
97.500000	76.428	2.6068
98.800003	76.343	2.2961
100.000000	76.258	2.0471
101.500000	76.140	1.7890
103.000000	76.020	1.5611
104.400002	75.920	1.3569
106.000000	75.819	1.1450
107.500000	75.721	0.9706
109.000000	75.614	0.8264
110.599998	75.495	0.7286
112.000000	75.392	0.7147
113.800003	75.263	0.8173
115.000000	75.182	0.9472
117.199997	75.037	1.2598
118.000000	74.985	1.3931
120.599998	74.815	1.8984
122.000000	74.724	2.1911
124.099998	74.582	2.6150
125.000000	74.518	2.8034
126.500000	74.414	3.1483
128.000000	74.317	3.5245
131.500000	74.118	4.4546
132.000000	74.090	4.6001
134.000000	73.970	5.2168
136.000000	73.847	5.8682
138.000000	73.739	6.5811
140.000000	73.643	7.3838
143.000000	73.507	8.6472
145.000000	73.418	9.4455
147.500000	73.311	10.3601
150.000000	73.215	11.2847
152.500000	73.140	12.3304
155.000000	73.082	13.4183
157.500000	73.032	14.4111
160.000000	72.986	15.3303
162.500000	72.943	16.2738
165.000000	72.909	17.2131
167.500000	72.878	18.0790
170.000000	72.844	18.9667
172.500000	72.807	19.9941
175.000000	72.773	21.0875
177.500000	72.739	22.0938
180.000000	72.698	23.0152
182.500000	72.653	23.9734
185.000000	72.616	24.9907
187.500000	72.598	25.9834
190.000000	72.602	26.9099
192.500000	72.624	27.7853
195.000000	72.653	28.6105
197.500000	72.677	29.3956
200.000000	72.686	30.1750
203.000000	72.680	31.1443
206.000000	72.670	32.1267
209.000000	72.673	33.1066
212.000000	72.690	34.0820
214.000000	72.706	34.7176
218.000000	72.737	35.9516
220.000000	72.751	36.5367
224.000000	72.765	37.6276
227.000000	72.755	38.3941
230.000000	72.731	39.1600
233.000000	72.701	39.9813
236.000000	72.678	40.9051
240.000000	72.647	42.2821
243.000000	72.618	43.3447
247.000000	72.572	44.7516
250.000000	72.538	45.7960
254.000000	72.495	47.1775
258.000000	72.454	48.5886
262.000000	72.412	50.0633
265.000000	72.377	51.1772
269.000000	72.328	52.6583
272.000000	72.292	53.7790
276.000000	72.248	55.2865
280.000000	72.213	56.8032
285.000000	72.185	58.7387
290.000000	72.172	60.7223
295.000000	72.161	62.7516
300.000000	72.147	64.9038
304.000000	72.139	66.6966
307.000000	72.136	68.0514
311.000000	72.133	69.8472
