* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20-May-2024 11:35:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco X2 (Dyn S&S) R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.740	98.6307
20.600000	73.807	97.5930
20.900000	73.899	96.2858
21.200001	74.006	94.8997
21.400000	74.083	93.9819
21.799999	74.247	92.2403
22.000000	74.333	91.4395
22.400000	74.504	90.0070
22.700001	74.630	89.0783
23.000000	74.750	88.2520
23.299999	74.863	87.4951
23.600000	74.968	86.7720
24.000000	75.096	85.8085
24.299999	75.184	85.0630
24.700001	75.296	84.0263
25.000000	75.380	83.2205
25.400000	75.497	82.1225
25.799999	75.620	81.0185
26.200001	75.746	79.9335
26.500000	75.839	79.1465
26.900000	75.958	78.1460
27.200001	76.041	77.4331
27.600000	76.146	76.5212
28.000000	76.243	75.6294
28.500000	76.357	74.5070
29.000000	76.460	73.3659
29.500000	76.553	72.2368
30.000000	76.638	71.1595
30.400000	76.702	70.3394
30.700001	76.749	69.7374
31.100000	76.809	68.9298
31.500000	76.866	68.0949
32.000000	76.929	67.0022
32.500000	76.984	65.8754
33.000000	77.037	64.7503
33.500000	77.094	63.6500
34.000000	77.157	62.5790
34.500000	77.222	61.5359
35.000000	77.285	60.5239
35.500000	77.343	59.5476
36.000000	77.394	58.6054
36.500000	77.439	57.6900
37.000000	77.476	56.7935
37.500000	77.509	55.9092
38.200001	77.549	54.6783
38.700001	77.578	53.7963
39.500000	77.633	52.3836
40.000000	77.673	51.5109
40.599998	77.726	50.4879
41.200001	77.776	49.5024
41.799999	77.818	48.5626
42.500000	77.853	47.5193
43.099998	77.874	46.6516
43.700001	77.892	45.7948
44.400002	77.912	44.8212
45.000000	77.932	44.0341
45.500000	77.952	43.4166
46.200001	77.985	42.5850
46.799999	78.013	41.8747
47.500000	78.041	41.0463
48.200001	78.064	40.2331
48.700001	78.080	39.6531
49.400002	78.102	38.8128
50.000000	78.115	38.0602
50.799999	78.123	37.0467
51.500000	78.125	36.1758
52.200001	78.124	35.3181
53.000000	78.117	34.3620
53.799999	78.106	33.4595
54.500000	78.097	32.7204
55.200001	78.091	32.0121
56.000000	78.083	31.2139
57.000000	78.069	30.2210
58.000000	78.052	29.2761
59.000000	78.041	28.4109
60.000000	78.031	27.5826
60.799999	78.015	26.9100
61.500000	77.997	26.3037
62.200001	77.979	25.6839
63.000000	77.960	24.9722
64.000000	77.944	24.0888
65.000000	77.932	23.1892
66.000000	77.917	22.2792
67.000000	77.896	21.4368
68.000000	77.873	20.6930
69.000000	77.850	19.9650
70.000000	77.826	19.1577
71.000000	77.794	18.2941
72.000000	77.753	17.4703
73.000000	77.707	16.7291
74.000000	77.662	16.0679
75.000000	77.621	15.4815
76.199997	77.575	14.8416
77.500000	77.522	14.1510
78.800003	77.470	13.3853
80.000000	77.423	12.6294
81.199997	77.373	11.9000
82.500000	77.316	11.1631
83.800003	77.260	10.4749
85.000000	77.208	9.8845
86.199997	77.147	9.3438
87.500000	77.065	8.8174
88.500000	76.995	8.4230
90.000000	76.889	7.7774
91.199997	76.802	7.2467
92.500000	76.709	6.7056
93.800003	76.626	6.1934
95.000000	76.560	5.7748
96.199997	76.494	5.4455
97.500000	76.414	5.1759
98.800003	76.325	4.9272
100.000000	76.238	4.6404
101.500000	76.132	4.1782
103.000000	76.029	3.7175
104.400002	75.929	3.3559
106.000000	75.811	2.9627
107.500000	75.703	2.5976
109.000000	75.598	2.3043
110.599998	75.485	2.1126
112.000000	75.385	2.0341
113.800003	75.261	1.9983
115.000000	75.178	1.9899
117.199997	75.021	1.9899
118.000000	74.965	1.9910
120.599998	74.795	2.0095
122.000000	74.700	2.0331
124.099998	74.549	2.1256
125.000000	74.483	2.2038
126.500000	74.376	2.3818
128.000000	74.277	2.5864
131.500000	74.068	2.9676
132.000000	74.038	3.0174
134.000000	73.928	3.2731
136.000000	73.830	3.6453
138.000000	73.738	4.0861
140.000000	73.640	4.5263
143.000000	73.499	5.1815
145.000000	73.416	5.5999
147.500000	73.325	6.0567
150.000000	73.239	6.5092
152.500000	73.157	7.0089
155.000000	73.092	7.5489
157.500000	73.038	8.1145
160.000000	72.998	8.7119
162.500000	72.970	9.3211
165.000000	72.937	9.8957
167.500000	72.893	10.3735
170.000000	72.847	10.7605
172.500000	72.806	11.1607
175.000000	72.769	11.6330
177.500000	72.731	12.1402
180.000000	72.698	12.6702
182.500000	72.666	13.2303
185.000000	72.635	13.7745
187.500000	72.614	14.2729
190.000000	72.606	14.7248
192.500000	72.611	15.0989
195.000000	72.623	15.3790
197.500000	72.640	15.5790
200.000000	72.658	15.7302
203.000000	72.674	15.9180
206.000000	72.679	16.1546
209.000000	72.683	16.4704
212.000000	72.703	16.8468
214.000000	72.723	17.0847
218.000000	72.768	17.4471
220.000000	72.787	17.5913
224.000000	72.811	17.8811
227.000000	72.809	18.1297
230.000000	72.793	18.4025
233.000000	72.767	18.6805
236.000000	72.734	18.9432
240.000000	72.682	19.2762
243.000000	72.639	19.5247
247.000000	72.585	19.8561
250.000000	72.548	20.1366
254.000000	72.499	20.5967
258.000000	72.445	21.1317
262.000000	72.387	21.6732
265.000000	72.346	22.0641
269.000000	72.300	22.5834
272.000000	72.272	22.9910
276.000000	72.240	23.5958
280.000000	72.215	24.2729
285.000000	72.192	25.1867
290.000000	72.168	26.1460
295.000000	72.142	27.0996
300.000000	72.125	27.9920
304.000000	72.117	28.6667
307.000000	72.112	29.1675
311.000000	72.112	29.8480
315.000000	72.120	30.5367
320.000000	72.136	31.3901
325.000000	72.157	32.2081
330.000000	72.188	32.9648
335.000000	72.225	33.6929
340.000000	72.261	34.4288
345.000000	72.298	35.1476
350.000000	72.335	35.7974
355.000000	72.370	36.3853
360.000000	72.401	36.9474
365.000000	72.427	37.5089
370.000000	72.454	38.0541
375.000000	72.485	38.5294
382.000000	72.541	39.0569
387.000000	72.587	39.3994
395.000000	72.663	40.0700
400.000000	72.712	40.5352
406.000000	72.761	41.0462
412.000000	72.795	41.5442
418.000000	72.824	42.0991
425.000000	72.856	42.6922
431.000000	72.884	43.0638
437.000000	72.913	43.3885
444.000000	72.958	43.7761
450.000000	73.000	44.0556
455.000000	73.028	44.1985
462.000000	73.049	44.2081
468.000000	73.057	44.1026
475.000000	73.071	44.0042
482.000000	73.084	43.9543
487.000000	73.089	43.9139
494.000000	73.090	43.8752
500.000000	73.087	43.8905
508.000000	73.083	43.9140
515.000000	73.083	43.8418
522.000000	73.088	43.6936
