* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20-May-2024 11:31:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco X2 (X Classic) L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.648	103.4056
20.600000	73.723	102.4680
20.900000	73.821	101.2763
21.200001	73.931	99.9958
21.400000	74.009	99.1374
21.799999	74.168	97.4857
22.000000	74.249	96.7182
22.400000	74.408	95.3403
22.700001	74.526	94.4528
23.000000	74.641	93.6757
23.299999	74.752	92.9807
23.600000	74.859	92.3334
24.000000	74.992	91.4917
24.299999	75.086	90.8501
24.700001	75.202	89.9648
25.000000	75.285	89.2798
25.400000	75.393	88.3498
25.799999	75.502	87.4183
26.200001	75.610	86.5049
26.500000	75.692	85.8421
26.900000	75.799	84.9970
27.200001	75.879	84.3926
27.600000	75.985	83.6191
28.000000	76.089	82.8694
28.500000	76.215	81.9482
29.000000	76.335	81.0405
29.500000	76.446	80.1567
30.000000	76.551	79.3022
30.400000	76.630	78.6327
30.700001	76.686	78.1326
31.100000	76.755	77.4636
31.500000	76.817	76.7924
32.000000	76.885	75.9589
32.500000	76.948	75.1407
33.000000	77.008	74.3348
33.500000	77.068	73.5260
34.000000	77.131	72.7005
34.500000	77.194	71.8582
35.000000	77.257	71.0140
35.500000	77.321	70.1897
36.000000	77.385	69.4033
36.500000	77.448	68.6636
37.000000	77.508	67.9703
37.500000	77.561	67.3183
38.200001	77.624	66.4545
38.700001	77.663	65.8471
39.500000	77.726	64.8362
40.000000	77.765	64.1735
40.599998	77.812	63.3720
41.200001	77.861	62.5863
41.799999	77.909	61.8172
42.500000	77.958	60.9409
43.099998	77.991	60.2368
43.700001	78.018	59.6073
44.400002	78.047	58.9663
45.000000	78.073	58.4589
45.500000	78.097	58.0317
46.200001	78.130	57.3867
46.799999	78.158	56.7824
47.500000	78.189	56.0408
48.200001	78.217	55.2921
48.700001	78.232	54.7708
49.400002	78.241	54.0939
50.000000	78.238	53.5856
50.799999	78.228	52.9864
51.500000	78.221	52.4708
52.200001	78.215	51.9280
53.000000	78.209	51.2943
53.799999	78.201	50.6895
54.500000	78.195	50.2077
55.200001	78.191	49.7652
56.000000	78.186	49.2790
57.000000	78.172	48.6676
58.000000	78.145	48.0413
59.000000	78.114	47.4382
60.000000	78.100	46.9143
60.799999	78.104	46.5218
61.500000	78.112	46.1585
62.200001	78.115	45.7705
63.000000	78.106	45.3149
64.000000	78.073	44.7756
65.000000	78.021	44.3240
66.000000	77.964	43.9604
67.000000	77.912	43.6203
68.000000	77.866	43.2620
69.000000	77.826	42.8887
70.000000	77.792	42.4947
71.000000	77.760	42.0831
72.000000	77.717	41.7012
73.000000	77.662	41.3849
74.000000	77.603	41.0929
75.000000	77.547	40.7475
76.199997	77.478	40.2587
77.500000	77.395	39.7319
78.800003	77.303	39.2400
80.000000	77.212	38.7982
81.199997	77.116	38.3549
82.500000	77.005	37.8577
83.800003	76.892	37.3650
85.000000	76.791	36.9602
86.199997	76.686	36.5834
87.500000	76.557	36.1800
88.500000	76.444	35.8842
90.000000	76.260	35.4919
91.199997	76.104	35.2352
92.500000	75.928	35.0545
93.800003	75.751	34.9930
