* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20-May-2024 11:31:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco X2 (X Classic) R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.946	102.0952
20.600000	74.007	101.2046
20.900000	74.088	100.0837
21.200001	74.183	98.8937
21.400000	74.253	98.1046
21.799999	74.406	96.6066
22.000000	74.487	95.9202
22.400000	74.657	94.7025
22.700001	74.785	93.9240
23.000000	74.911	93.2399
23.299999	75.031	92.6187
23.600000	75.142	92.0263
24.000000	75.274	91.2306
24.299999	75.364	90.6052
24.700001	75.476	89.7184
25.000000	75.557	89.0169
25.400000	75.668	88.0531
25.799999	75.783	87.0909
26.200001	75.901	86.1689
26.500000	75.990	85.5189
26.900000	76.107	84.7085
27.200001	76.192	84.1317
27.600000	76.299	83.3801
28.000000	76.395	82.6296
28.500000	76.501	81.6929
29.000000	76.595	80.7855
29.500000	76.687	79.9265
30.000000	76.782	79.1007
30.400000	76.857	78.4455
30.700001	76.911	77.9525
31.100000	76.978	77.2931
31.500000	77.039	76.6306
32.000000	77.111	75.7857
32.500000	77.180	74.9025
33.000000	77.245	73.9806
33.500000	77.305	73.0493
34.000000	77.361	72.1401
34.500000	77.419	71.2586
35.000000	77.479	70.3906
35.500000	77.536	69.5317
36.000000	77.589	68.6996
36.500000	77.638	67.9150
37.000000	77.686	67.1768
37.500000	77.734	66.4592
38.200001	77.801	65.4354
38.700001	77.844	64.6807
39.500000	77.901	63.4831
40.000000	77.932	62.7760
40.599998	77.970	61.9783
41.200001	78.013	61.2140
41.799999	78.059	60.4624
42.500000	78.112	59.6019
43.099998	78.157	58.8794
