* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23-Aug-2024 15:29:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Primark Earbuds L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.632	-32.8090
20.600000	70.680	-32.8580
20.900000	70.797	-33.0389
21.200001	71.002	-33.4478
21.400000	71.185	-33.8774
21.799999	71.630	-35.0928
22.000000	71.869	-35.8237
22.400000	72.327	-37.3185
22.700001	72.627	-38.2885
23.000000	72.882	-39.0079
23.299999	73.099	-39.4437
23.600000	73.291	-39.6381
24.000000	73.524	-39.6908
24.299999	73.689	-39.7036
24.700001	73.894	-39.7850
25.000000	74.036	-39.8815
25.400000	74.217	-39.9778
25.799999	74.404	-39.9886
26.200001	74.609	-39.9786
26.500000	74.770	-40.0461
26.900000	74.977	-40.3281
27.200001	75.113	-40.6852
27.600000	75.263	-41.2697
28.000000	75.393	-41.8521
28.500000	75.574	-42.4785
29.000000	75.806	-43.0609
29.500000	76.064	-43.6831
30.000000	76.307	-44.2411
30.400000	76.486	-44.5407
30.700001	76.624	-44.6970
31.100000	76.822	-44.9389
31.500000	77.035	-45.3739
32.000000	77.286	-46.2424
32.500000	77.494	-47.1946
33.000000	77.668	-47.8488
33.500000	77.838	-48.0986
34.000000	78.004	-48.1051
34.500000	78.149	-47.9950
35.000000	78.289	-47.7864
35.500000	78.475	-47.6299
36.000000	78.730	-47.8525
36.500000	79.008	-48.5969
37.000000	79.246	-49.5927
37.500000	79.431	-50.4289
38.200001	79.645	-51.1200
38.700001	79.766	-51.4652
39.500000	79.886	-51.7360
40.000000	79.977	-51.6424
40.599998	80.164	-51.7073
41.200001	80.362	-52.3823
41.799999	80.486	-53.2624
42.500000	80.624	-53.7592
43.099998	80.842	-54.0529
43.700001	81.079	-54.7493
44.400002	81.238	-55.5705
45.000000	81.331	-55.7198
45.500000	81.456	-55.7318
46.200001	81.686	-56.2460
46.799999	81.874	-56.7109
47.500000	82.167	-56.2352
48.200001	82.619	-55.1690
48.700001	82.939	-54.8605
49.400002	83.191	-55.3137
50.000000	83.196	-56.0998
50.799999	83.072	-57.2548
51.500000	83.009	-58.3625
52.200001	83.043	-59.3612
53.000000	83.183	-60.0112
53.799999	83.374	-60.2495
54.500000	83.535	-60.4041
55.200001	83.679	-60.6602
56.000000	83.826	-61.1230
57.000000	83.981	-61.8044
58.000000	84.130	-62.3302
59.000000	84.304	-62.7341
60.000000	84.480	-63.1535
60.799999	84.610	-63.4863
61.500000	84.723	-63.7834
62.200001	84.842	-64.0850
63.000000	84.986	-64.3904
64.000000	85.174	-64.6906
65.000000	85.355	-64.9569
66.000000	85.530	-65.2100
67.000000	85.706	-65.4827
68.000000	85.881	-65.7893
69.000000	86.054	-66.0782
70.000000	86.224	-66.3213
71.000000	86.383	-66.5499
72.000000	86.531	-66.8134
73.000000	86.678	-67.1641
74.000000	86.824	-67.5580
75.000000	86.968	-67.8907
76.199997	87.140	-68.2336
77.500000	87.327	-68.5692
78.800003	87.522	-68.8435
80.000000	87.691	-69.0902
81.199997	87.846	-69.3874
82.500000	88.013	-69.8206
83.800003	88.181	-70.2358
85.000000	88.334	-70.5036
86.199997	88.486	-70.6740
87.500000	88.654	-70.8648
88.500000	88.788	-71.0667
90.000000	88.996	-71.4315
91.199997	89.157	-71.7247
92.500000	89.323	-71.9923
93.800003	89.489	-72.2184
95.000000	89.645	-72.4238
96.199997	89.795	-72.6433
97.500000	89.947	-72.9181
98.800003	90.094	-73.2619
100.000000	90.230	-73.6209
101.500000	90.404	-74.0458
103.000000	90.580	-74.4422
104.400002	90.743	-74.8089
106.000000	90.928	-75.2035
107.500000	91.105	-75.5266
109.000000	91.285	-75.8075
110.599998	91.469	-76.1271
112.000000	91.624	-76.4485
113.800003	91.823	-76.8646
115.000000	91.958	-77.1190
117.199997	92.207	-77.5618
118.000000	92.298	-77.7216
120.599998	92.586	-78.2125
122.000000	92.738	-78.4562
124.099998	92.962	-78.8402
125.000000	93.056	-79.0285
126.500000	93.211	-79.3767
128.000000	93.365	-79.7525
131.500000	93.720	-80.5778
132.000000	93.770	-80.6852
134.000000	93.966	-81.1055
136.000000	94.159	-81.5187
138.000000	94.349	-81.9204
140.000000	94.543	-82.3238
143.000000	94.839	-82.9333
145.000000	95.039	-83.3373
147.500000	95.288	-83.8214
150.000000	95.531	-84.2848
152.500000	95.772	-84.7633
155.000000	96.011	-85.2701
157.500000	96.238	-85.7948
160.000000	96.456	-86.3498
162.500000	96.675	-86.9488
165.000000	96.899	-87.5834
167.500000	97.121	-88.2669
170.000000	97.336	-89.0078
172.500000	97.546	-89.7624
175.000000	97.752	-90.5033
177.500000	97.957	-91.2518
180.000000	98.158	-92.0337
182.500000	98.354	-92.8484
185.000000	98.549	-93.6821
187.500000	98.745	-94.5247
190.000000	98.943	-95.3713
192.500000	99.148	-96.2175
195.000000	99.356	-97.0624
197.500000	99.566	-97.9099
200.000000	99.775	-98.7667
203.000000	100.024	-99.8097
206.000000	100.273	-100.8725
209.000000	100.519	-101.9495
212.000000	100.761	-103.0303
214.000000	100.921	-103.7567
218.000000	101.239	-105.2487
220.000000	101.398	-106.0202
224.000000	101.716	-107.5978
227.000000	101.953	-108.7846
230.000000	102.189	-109.9675
