* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 15-Sep-2024 19:17:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QCY Crossky C30 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	57.674	-6.6665
20.600000	58.622	-11.9017
20.900000	59.112	-18.6298
21.200001	58.850	-26.1523
21.400000	58.221	-31.4407
21.799999	55.951	-42.6177
22.000000	54.514	-48.6774
22.400000	52.328	166.0827
22.700001	52.028	118.7458
23.000000	52.029	111.2503
23.299999	51.465	105.6481
23.600000	50.088	102.9971
24.000000	47.260	112.0418
24.299999	45.115	143.0972
24.700001	43.381	-177.2779
25.000000	42.535	-172.1020
25.400000	41.295	177.9842
25.799999	41.169	65.8648
26.200001	43.133	27.7172
26.500000	45.079	25.0866
26.900000	47.421	25.0757
27.200001	48.799	25.1478
27.600000	49.974	23.9733
28.000000	50.276	21.3348
28.500000	49.393	16.6235
29.000000	47.539	9.5176
29.500000	46.500	-4.5599
30.000000	47.840	-22.9787
30.400000	49.367	-33.6186
30.700001	50.141	-38.6816
31.100000	50.516	-42.1095
31.500000	50.416	-41.9559
32.000000	50.932	-40.6204
32.500000	53.034	-49.6670
33.000000	55.570	-69.8058
33.500000	57.456	-88.9796
34.000000	58.236	-102.9781
34.500000	57.736	-112.0904
35.000000	56.065	-113.9534
35.500000	53.834	-85.7909
36.000000	51.944	-20.2098
36.500000	50.510	-9.3394
37.000000	49.655	-17.8635
37.500000	50.652	-32.2957
38.200001	54.194	-40.7924
38.700001	56.268	-41.8813
39.500000	57.584	-40.9751
40.000000	57.178	-37.2288
40.599998	55.824	-26.0949
41.200001	54.288	-8.2006
41.799999	53.318	3.5292
42.500000	52.778	-1.4570
43.099998	52.440	-18.8162
43.700001	52.215	-42.0232
44.400002	52.172	-64.8250
45.000000	52.182	-74.3620
45.500000	52.156	-74.2193
46.200001	52.322	-62.9659
46.799999	52.884	-49.5480
47.500000	53.952	-38.0105
48.200001	55.477	-32.9367
48.700001	56.724	-33.9220
49.400002	58.154	-40.8104
50.000000	58.713	-49.0060
50.799999	58.434	-58.6960
51.500000	57.720	-63.9383
52.200001	57.353	-66.7100
53.000000	57.716	-68.6254
53.799999	58.530	-69.2283
54.500000	59.317	-69.1136
55.200001	60.014	-69.3707
56.000000	60.639	-70.1813
57.000000	61.249	-70.8301
58.000000	61.762	-71.0388
59.000000	62.165	-72.9456
60.000000	62.462	-77.7343
60.799999	62.685	-82.2546
61.500000	62.905	-85.2115
62.200001	63.152	-86.9389
63.000000	63.447	-88.3519
64.000000	63.815	-90.8314
65.000000	64.314	-93.3495
66.000000	65.014	-94.2548
67.000000	65.686	-94.1328
68.000000	66.090	-94.6179
69.000000	66.255	-96.2678
70.000000	66.391	-98.9003
71.000000	66.634	-102.1867
72.000000	67.020	-105.3254
73.000000	67.531	-107.6274
74.000000	68.005	-109.2831
75.000000	68.309	-110.8109
76.199997	68.601	-113.0512
77.500000	69.109	-115.6367
78.800003	69.740	-117.4160
80.000000	70.198	-119.0990
81.199997	70.546	-121.5551
82.500000	70.904	-124.4498
83.800003	71.234	-126.6603
85.000000	71.501	-128.4874
86.199997	71.785	-130.4843
87.500000	72.174	-132.7913
88.500000	72.531	-134.6465
90.000000	73.035	-137.3531
91.199997	73.324	-139.1506
92.500000	73.581	-140.9281
93.800003	73.898	-142.7546
95.000000	74.257	-144.5688
96.199997	74.623	-146.6736
97.500000	74.974	-149.1853
98.800003	75.258	-151.6002
100.000000	75.476	-153.5558
101.500000	75.751	-155.7142
103.000000	76.039	-157.8056
104.400002	76.294	-159.7286
106.000000	76.575	-161.9605
107.500000	76.843	-164.1489
109.000000	77.123	-166.3052
110.599998	77.434	-168.4623
112.000000	77.701	-170.2864
113.800003	78.012	-172.6500
115.000000	78.194	-174.2354
117.199997	78.479	-177.1471
118.000000	78.575	-178.2134
120.599998	78.922	178.3860
122.000000	79.142	176.6805
124.099998	79.471	174.3539
125.000000	79.602	173.4037
126.500000	79.818	171.7759
128.000000	80.038	169.9755
131.500000	80.505	165.2115
132.000000	80.562	164.5226
134.000000	80.777	161.8906
136.000000	80.983	159.5411
138.000000	81.193	157.4385
140.000000	81.402	155.4759
143.000000	81.732	152.5424
145.000000	81.969	150.4423
147.500000	82.264	147.5837
150.000000	82.506	144.6182
152.500000	82.651	141.6594
155.000000	82.718	138.8448
157.500000	82.756	136.3132
160.000000	82.817	134.0531
162.500000	82.921	132.0862
165.000000	83.072	130.4526
167.500000	83.251	129.0671
170.000000	83.435	127.5391
172.500000	83.595	125.6940
175.000000	83.719	123.6317
177.500000	83.826	121.5111
180.000000	83.936	119.4543
182.500000	84.059	117.4670
185.000000	84.185	115.4676
187.500000	84.300	113.4139
190.000000	84.397	111.4196
192.500000	84.475	109.4930
195.000000	84.541	107.5372
197.500000	84.599	105.5270
200.000000	84.639	103.4974
203.000000	84.658	101.0984
206.000000	84.646	98.7394
209.000000	84.627	96.4661
212.000000	84.614	94.3956
214.000000	84.613	93.1630
218.000000	84.631	91.0715
220.000000	84.643	90.1703
224.000000	84.664	88.4381
227.000000	84.683	87.1201
230.000000	84.699	85.7380
233.000000	84.706	84.2925
236.000000	84.704	82.8445
240.000000	84.689	81.1117
243.000000	84.673	80.0255
247.000000	84.638	78.5634
250.000000	84.591	77.3016
254.000000	84.505	75.5837
258.000000	84.414	74.0998
262.000000	84.321	72.9077
265.000000	84.246	72.1250
269.000000	84.145	71.2298
272.000000	84.082	70.6934
276.000000	84.014	70.0486
280.000000	83.951	69.3492
285.000000	83.869	68.4746
290.000000	83.781	67.6550
295.000000	83.688	66.7277
300.000000	83.584	65.8666
304.000000	83.502	65.3622
307.000000	83.444	65.0796
311.000000	83.373	64.7750
315.000000	83.311	64.4805
320.000000	83.253	64.0727
325.000000	83.209	63.6699
330.000000	83.142	63.3454
335.000000	83.044	63.0702
340.000000	82.951	62.7338
345.000000	82.881	62.3682
350.000000	82.841	62.0867
355.000000	82.830	61.9344
360.000000	82.832	61.8231
365.000000	82.827	61.6034
370.000000	82.804	61.2908
375.000000	82.764	60.9530
382.000000	82.697	60.4824
387.000000	82.645	60.1426
395.000000	82.550	59.8075
400.000000	82.492	59.9797
406.000000	82.460	60.5475
412.000000	82.488	61.1372
418.000000	82.566	61.5127
425.000000	82.699	61.5292
431.000000	82.825	61.1583
437.000000	82.936	60.5422
444.000000	83.015	59.6343
450.000000	83.026	58.8268
455.000000	83.008	58.2482
462.000000	82.966	57.6863
468.000000	82.925	57.3921
475.000000	82.875	57.1378
482.000000	82.836	56.8835
487.000000	82.811	56.6611
494.000000	82.770	56.2601
500.000000	82.729	55.8745
508.000000	82.671	55.4725
515.000000	82.610	55.4028
522.000000	82.549	55.5596
530.000000	82.502	55.8849
538.000000	82.490	56.3494
545.000000	82.509	56.8530
552.000000	82.564	57.3940
560.000000	82.666	57.9257
570.000000	82.812	58.2670
580.000000	82.949	58.0890
590.000000	83.067	57.4700
600.000000	83.154	56.6292
608.000000	83.174	56.0016
615.000000	83.167	55.5709
622.000000	83.160	55.2835
630.000000	83.169	55.1184
640.000000	83.195	55.0239
650.000000	83.229	54.9887
660.000000	83.278	54.9604
670.000000	83.343	54.9658
680.000000	83.390	55.1660
690.000000	83.402	55.4852
700.000000	83.400	55.6777
710.000000	83.421	55.7606
720.000000	83.474	55.8188
730.000000	83.540	55.9471
740.000000	83.598	56.0987
750.000000	83.644	56.0541
762.000000	83.699	55.7787
775.000000	83.758	55.6454
788.000000	83.806	55.6731
800.000000	83.837	55.8039
812.000000	83.867	56.1125
825.000000	83.920	56.4816
838.000000	83.984	56.7594
850.000000	84.051	56.9620
862.000000	84.128	57.1121
875.000000	84.221	57.1359
885.000000	84.289	57.0212
900.000000	84.371	56.7878
912.000000	84.415	56.6847
925.000000	84.447	56.6686
938.000000	84.486	56.7550
950.000000	84.533	56.8932
962.000000	84.584	57.0458
975.000000	84.629	57.2259
988.000000	84.647	57.3966
1000.000000	84.647	57.5327
1015.000000	84.652	57.6971
1030.000000	84.671	57.8542
1044.000000	84.699	57.9059
1060.000000	84.733	57.7904
