* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 23:46:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QCY HT05 Melobuds L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.079	-149.0017
20.600000	93.100	-149.1304
20.900000	93.127	-149.2879
21.200001	93.157	-149.4598
21.400000	93.179	-149.5830
21.799999	93.221	-149.8521
22.000000	93.242	-149.9955
22.400000	93.279	-150.2819
22.700001	93.303	-150.4778
23.000000	93.325	-150.6426
23.299999	93.348	-150.7705
23.600000	93.373	-150.8650
24.000000	93.411	-150.9586
24.299999	93.442	-151.0221
24.700001	93.488	-151.1162
25.000000	93.523	-151.1964
25.400000	93.568	-151.3071
25.799999	93.613	-151.4074
26.200001	93.659	-151.4896
26.500000	93.695	-151.5429
26.900000	93.745	-151.6141
27.200001	93.785	-151.6744
27.600000	93.839	-151.7666
28.000000	93.894	-151.8668
28.500000	93.967	-151.9930
29.000000	94.044	-152.1223
29.500000	94.126	-152.2720
30.000000	94.211	-152.4534
30.400000	94.279	-152.6176
30.700001	94.330	-152.7475
31.100000	94.399	-152.9284
31.500000	94.471	-153.1228
32.000000	94.565	-153.3986
32.500000	94.662	-153.7210
33.000000	94.759	-154.0867
33.500000	94.854	-154.4836
34.000000	94.946	-154.9007
34.500000	95.035	-155.3327
35.000000	95.120	-155.7791
35.500000	95.201	-156.2441
36.000000	95.277	-156.7328
36.500000	95.348	-157.2458
37.000000	95.417	-157.7787
37.500000	95.486	-158.3293
38.200001	95.584	-159.1438
38.700001	95.652	-159.7649
39.500000	95.748	-160.7932
40.000000	95.798	-161.4255
40.599998	95.850	-162.1669
41.200001	95.900	-162.9114
41.799999	95.948	-163.6726
42.500000	96.001	-164.5701
43.099998	96.044	-165.3400
43.700001	96.081	-166.1131
44.400002	96.113	-167.0091
45.000000	96.130	-167.7567
45.500000	96.138	-168.3684
46.200001	96.145	-169.2367
46.799999	96.148	-170.0142
47.500000	96.151	-170.9652
48.200001	96.157	-171.9412
48.700001	96.161	-172.6211
49.400002	96.161	-173.4874
50.000000	96.152	-174.1200
50.799999	96.126	-174.8524
51.500000	96.090	-175.4776
52.200001	96.048	-176.1333
53.000000	96.002	-176.9049
53.799999	95.965	-177.6750
54.500000	95.936	-178.3372
55.200001	95.901	-178.9808
56.000000	95.854	-179.6977
57.000000	95.792	179.4144
58.000000	95.732	178.5539
59.000000	95.668	177.7570
60.000000	95.591	177.0126
60.799999	95.523	176.4369
61.500000	95.465	175.9423
62.200001	95.407	175.4640
63.000000	95.341	174.9523
64.000000	95.254	174.3666
65.000000	95.166	173.8221
66.000000	95.082	173.3102
67.000000	94.998	172.8463
68.000000	94.908	172.4648
69.000000	94.820	172.1682
70.000000	94.744	171.9072
71.000000	94.684	171.6197
72.000000	94.628	171.2881
73.000000	94.571	170.9324
74.000000	94.512	170.5541
75.000000	94.451	170.1428
76.199997	94.370	169.6259
77.500000	94.271	169.1055
78.800003	94.168	168.6292
80.000000	94.068	168.2070
81.199997	93.966	167.8313
82.500000	93.861	167.5113
83.800003	93.756	167.2633
85.000000	93.652	167.0357
86.199997	93.542	166.7979
87.500000	93.416	166.5851
88.500000	93.321	166.4948
90.000000	93.189	166.5009
91.199997	93.098	166.5932
92.500000	93.012	166.7024
93.800003	92.934	166.7505
95.000000	92.864	166.7227
96.199997	92.792	166.6291
97.500000	92.714	166.4745
98.800003	92.636	166.3068
100.000000	92.565	166.1681
101.500000	92.473	166.0324
103.000000	92.377	165.9391
104.400002	92.281	165.8712
106.000000	92.169	165.8330
107.500000	92.066	165.8644
109.000000	91.968	165.9223
110.599998	91.861	165.9436
112.000000	91.765	165.9126
113.800003	91.638	165.8524
115.000000	91.554	165.8431
117.199997	91.400	165.9246
118.000000	91.346	165.9802
120.599998	91.178	166.2290
122.000000	91.091	166.3784
124.099998	90.960	166.6368
125.000000	90.904	166.7743
126.500000	90.811	167.0397
128.000000	90.716	167.3284
131.500000	90.504	167.8866
132.000000	90.477	167.9502
134.000000	90.372	168.2080
136.000000	90.271	168.4946
138.000000	90.172	168.8202
140.000000	90.073	169.1882
143.000000	89.919	169.7435
145.000000	89.812	170.1061
147.500000	89.678	170.5488
150.000000	89.544	171.0278
152.500000	89.415	171.6247
155.000000	89.294	172.3242
157.500000	89.179	173.0093
160.000000	89.065	173.6378
162.500000	88.950	174.2819
165.000000	88.838	174.9803
167.500000	88.734	175.7249
170.000000	88.631	176.5151
172.500000	88.529	177.3571
175.000000	88.429	178.2732
177.500000	88.334	179.2874
180.000000	88.256	-179.5905
182.500000	88.200	-178.4128
185.000000	88.164	-177.3175
187.500000	88.137	-176.4069
190.000000	88.113	-175.7066
192.500000	88.082	-175.1642
195.000000	88.044	-174.7049
197.500000	88.003	-174.2670
200.000000	87.967	-173.8042
203.000000	87.941	-173.1758
206.000000	87.932	-172.4572
209.000000	87.929	-171.6786
212.000000	87.923	-170.8904
214.000000	87.915	-170.3713
218.000000	87.893	-169.3737
220.000000	87.880	-168.9128
224.000000	87.854	-168.0617
227.000000	87.833	-167.4356
230.000000	87.807	-166.7827
233.000000	87.775	-166.0907
236.000000	87.742	-165.3611
240.000000	87.707	-164.3718
243.000000	87.685	-163.6434
247.000000	87.653	-162.6982
250.000000	87.632	-162.0008
254.000000	87.614	-161.0831
258.000000	87.607	-160.1757
262.000000	87.606	-159.3049
265.000000	87.606	-158.6902
269.000000	87.605	-157.9327
272.000000	87.602	-157.4002
276.000000	87.597	-156.6881
280.000000	87.593	-155.9456
285.000000	87.590	-154.9756
290.000000	87.589	-154.0129
295.000000	87.589	-153.1127
300.000000	87.587	-152.2631
304.000000	87.586	-151.5830
307.000000	87.586	-151.0675
311.000000	87.584	-150.3857
315.000000	87.583	-149.7074
320.000000	87.585	-148.8525
325.000000	87.592	-148.0105
330.000000	87.599	-147.2000
335.000000	87.607	-146.3950
340.000000	87.620	-145.5895
345.000000	87.632	-144.8065
350.000000	87.637	-144.0539
355.000000	87.641	-143.3065
360.000000	87.652	-142.5512
365.000000	87.668	-141.8031
370.000000	87.683	-141.0772
375.000000	87.696	-140.3783
382.000000	87.710	-139.3968
387.000000	87.717	-138.6737
395.000000	87.720	-137.5297
400.000000	87.724	-136.8609
406.000000	87.737	-136.0868
412.000000	87.753	-135.3044
418.000000	87.768	-134.4953
425.000000	87.788	-133.5289
431.000000	87.811	-132.7188
437.000000	87.839	-131.9572
444.000000	87.872	-131.1147
450.000000	87.898	-130.4207
455.000000	87.918	-129.8684
462.000000	87.940	-129.1232
468.000000	87.952	-128.4994
475.000000	87.968	-127.7648
482.000000	87.985	-126.9945
487.000000	87.995	-126.4339
494.000000	88.006	-125.6436
500.000000	88.015	-124.9592
508.000000	88.032	-124.0585
515.000000	88.051	-123.2874
522.000000	88.068	-122.5323
530.000000	88.082	-121.7123
538.000000	88.090	-120.9315
545.000000	88.096	-120.2486
552.000000	88.103	-119.5478
560.000000	88.115	-118.7072
570.000000	88.133	-117.5854
580.000000	88.155	-116.4616
590.000000	88.177	-115.3831
600.000000	88.194	-114.3352
608.000000	88.204	-113.5087
615.000000	88.213	-112.8074
622.000000	88.222	-112.1322
630.000000	88.234	-111.3799
640.000000	88.250	-110.4240
650.000000	88.268	-109.4248
660.000000	88.289	-108.4046
670.000000	88.313	-107.4059
680.000000	88.333	-106.4364
690.000000	88.344	-105.4735
700.000000	88.351	-104.4996
710.000000	88.359	-103.5137
720.000000	88.373	-102.5471
730.000000	88.388	-101.6029
740.000000	88.401	-100.6402
750.000000	88.410	-99.6363
762.000000	88.414	-98.3665
775.000000	88.423	-96.8981
788.000000	88.441	-95.3908
800.000000	88.467	-94.0461
812.000000	88.503	-92.7624
825.000000	88.545	-91.3892
838.000000	88.587	-90.0362
850.000000	88.631	-88.7986
862.000000	88.677	-87.5486
875.000000	88.728	-86.1893
885.000000	88.769	-85.1402
900.000000	88.838	-83.5630
912.000000	88.897	-82.3193
925.000000	88.963	-80.9942
938.000000	89.034	-79.6755
950.000000	89.106	-78.4888
962.000000	89.181	-77.3626
975.000000	89.263	-76.2215
988.000000	89.346	-75.1388
1000.000000	89.426	-74.1543
