* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.300. Timing signal peak level -38.6 dBFS, measurement signal peak level -37.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 30-Jan-2023 14:27:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QCY HT05 Melobuds R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.316	75.0506
20.600000	63.334	74.7754
20.900000	63.383	74.1726
21.200001	63.448	73.4516
21.400000	63.501	72.9502
21.799999	63.630	72.0051
22.000000	63.705	71.6171
22.400000	63.867	71.0981
22.700001	63.990	70.9369
23.000000	64.109	70.9067
23.299999	64.218	70.8843
23.600000	64.316	70.7447
24.000000	64.423	70.2083
24.299999	64.485	69.4896
24.700001	64.549	68.1803
25.000000	64.591	67.0725
25.400000	64.655	65.6463
25.799999	64.749	64.4790
26.200001	64.883	63.6447
26.500000	65.007	63.1993
26.900000	65.196	62.7435
27.200001	65.345	62.4222
27.600000	65.541	61.9351
28.000000	65.721	61.3387
28.500000	65.904	60.4935
29.000000	66.034	59.7311
29.500000	66.121	59.2486
30.000000	66.200	59.0662
30.400000	66.280	58.9866
30.700001	66.354	58.8568
31.100000	66.467	58.4816
31.500000	66.588	57.8525
32.000000	66.739	56.8221
32.500000	66.889	55.7414
33.000000	67.044	54.7785
33.500000	67.207	53.9428
34.000000	67.371	53.1467
34.500000	67.526	52.2993
35.000000	67.664	51.3630
35.500000	67.787	50.3499
36.000000	67.898	49.2975
36.500000	68.002	48.2364
37.000000	68.103	47.1692
37.500000	68.202	46.0764
38.200001	68.335	44.4819
38.700001	68.428	43.3188
39.500000	68.584	41.4955
40.000000	68.684	40.3997
40.599998	68.797	39.1325
41.200001	68.891	37.9196
41.799999	68.964	36.7433
42.500000	69.030	35.3556
43.099998	69.079	34.1154
43.700001	69.125	32.8516
