* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -37.1 dBFS, measurement signal peak level -28.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 08:08:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QCY HT07 Arcbuds R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.963	76.2328
20.299999	66.040	75.6405
20.600000	66.119	74.9767
20.900000	66.203	74.2619
21.200001	66.297	73.5083
21.400000	66.366	72.9851
21.799999	66.523	71.8873
22.000000	66.609	71.3131
22.400000	66.799	70.1178
22.700001	66.952	69.1880
23.000000	67.112	68.2385
23.299999	67.274	67.2797
23.600000	67.434	66.3247
24.000000	67.639	65.0834
24.299999	67.783	64.1982
24.700001	67.963	63.0987
25.000000	68.088	62.3375
25.400000	68.244	61.3965
25.799999	68.386	60.5183
26.200001	68.514	59.6833
26.500000	68.601	59.0776
26.900000	68.705	58.2899
27.200001	68.777	57.7065
27.600000	68.866	56.9258
28.000000	68.949	56.1256
28.500000	69.049	55.0783
29.000000	69.145	53.9711
29.500000	69.237	52.8171
30.000000	69.329	51.6499
30.400000	69.404	50.7312
30.700001	69.463	50.0580
31.100000	69.546	49.1799
31.500000	69.636	48.3160
32.000000	69.753	47.2451
32.500000	69.870	46.1893
33.000000	69.982	45.1711
33.500000	70.087	44.2066
34.000000	70.187	43.2903
34.500000	70.281	42.3997
35.000000	70.367	41.5137
35.500000	70.443	40.6226
36.000000	70.510	39.7275
36.500000	70.569	38.8311
37.000000	70.623	37.9304
37.500000	70.672	37.0194
38.200001	70.733	35.7261
38.700001	70.771	34.8007
39.500000	70.829	33.3447
40.000000	70.866	32.4515
40.599998	70.915	31.3839
41.200001	70.965	30.3032
41.799999	71.014	29.2011
42.500000	71.062	27.9031
43.099998	71.092	26.8093
43.700001	71.115	25.7521
44.400002	71.137	24.5652
45.000000	71.154	23.5783
45.500000	71.168	22.7719
46.200001	71.186	21.6628
46.799999	71.203	20.7267
47.500000	71.224	19.6476
48.200001	71.248	18.5845
48.700001	71.265	17.8394
49.400002	71.286	16.8223
50.000000	71.300	15.9735
50.799999	71.309	14.8598
51.500000	71.310	13.8839
52.200001	71.308	12.8954
53.000000	71.301	11.7569
53.799999	71.289	10.6386
54.500000	71.276	9.7002
55.200001	71.262	8.8044
56.000000	71.246	7.8208
57.000000	71.228	6.6190
58.000000	71.208	5.4226
59.000000	71.183	4.2473
60.000000	71.159	3.1037
60.799999	71.143	2.1906
61.500000	71.129	1.3878
62.200001	71.113	0.5960
63.000000	71.093	-0.2753
64.000000	71.070	-1.3150
65.000000	71.048	-2.3356
66.000000	71.021	-3.3554
67.000000	70.986	-4.3572
68.000000	70.946	-5.3274
69.000000	70.903	-6.2765
70.000000	70.860	-7.2155
71.000000	70.816	-8.1375
72.000000	70.773	-9.0295
73.000000	70.734	-9.8964
74.000000	70.695	-10.7657
75.000000	70.653	-11.6541
76.199997	70.593	-12.7216
77.500000	70.523	-13.8555
78.800003	70.455	-14.9788
80.000000	70.395	-16.0158
81.199997	70.336	-17.0542
82.500000	70.266	-18.1595
83.800003	70.193	-19.2245
85.000000	70.122	-20.1799
86.199997	70.046	-21.1178
87.500000	69.960	-22.1154
88.500000	69.891	-22.8630
90.000000	69.785	-23.9354
91.199997	69.700	-24.7507
92.500000	69.606	-25.5897
93.800003	69.510	-26.3731
95.000000	69.421	-27.0592
96.199997	69.332	-27.7411
97.500000	69.235	-28.5013
98.800003	69.137	-29.2863
100.000000	69.045	-30.0091
101.500000	68.931	-30.8601
103.000000	68.822	-31.6246
104.400002	68.721	-32.2676
106.000000	68.603	-32.9398
107.500000	68.488	-33.5328
109.000000	68.370	-34.1296
110.599998	68.239	-34.8005
112.000000	68.119	-35.3914
113.800003	67.961	-36.0953
115.000000	67.856	-36.5176
117.199997	67.668	-37.1979
118.000000	67.601	-37.4191
120.599998	67.379	-38.0848
122.000000	67.256	-38.4183
124.099998	67.069	-38.8764
125.000000	66.990	-39.0572
126.500000	66.860	-39.3420
128.000000	66.736	-39.6125
131.500000	66.454	-40.2025
132.000000	66.414	-40.2793
134.000000	66.250	-40.5583
136.000000	66.081	-40.7985
138.000000	65.905	-41.0078
140.000000	65.725	-41.1936
143.000000	65.464	-41.4775
145.000000	65.296	-41.6655
147.500000	65.087	-41.8262
150.000000	64.885	-41.8709
152.500000	64.697	-41.8649
