* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20-May-2024 11:19:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QCY HT10 (ANC off)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	59.105	-119.6224
20.600000	59.336	-120.6779
20.900000	59.636	-121.8378
21.200001	59.975	-122.9223
21.400000	60.218	-123.6109
21.799999	60.738	-125.0295
22.000000	61.009	-125.8134
22.400000	61.550	-127.6015
22.700001	61.944	-129.1344
23.000000	62.320	-130.7964
23.299999	62.675	-132.5438
23.600000	63.010	-134.3356
24.000000	63.430	-136.7374
24.299999	63.725	-138.5159
24.700001	64.092	-140.8140
25.000000	64.348	-142.4541
25.400000	64.664	-144.4913
25.799999	64.959	-146.3304
26.200001	65.243	-147.9718
26.500000	65.456	-149.0916
26.900000	65.744	-150.4767
27.200001	65.966	-151.4626
27.600000	66.269	-152.7383
28.000000	66.580	-153.9890
28.500000	66.974	-155.5290
29.000000	67.370	-157.0478
29.500000	67.766	-158.5527
30.000000	68.159	-160.0516
30.400000	68.473	-161.2498
30.700001	68.708	-162.1491
31.100000	69.021	-163.3501
31.500000	69.331	-164.5531
32.000000	69.710	-166.0546
32.500000	70.077	-167.5463
33.000000	70.428	-169.0312
33.500000	70.765	-170.5309
34.000000	71.086	-172.0718
34.500000	71.391	-173.6626
35.000000	71.680	-175.2876
35.500000	71.952	-176.9246
36.000000	72.210	-178.5689
36.500000	72.451	179.7629
37.000000	72.675	178.0487
37.500000	72.881	176.2767
38.200001	73.150	173.7042
38.700001	73.338	171.8179
39.500000	73.650	168.7780
40.000000	73.855	166.9089
40.599998	74.109	164.7208
41.200001	74.363	162.5712
41.799999	74.608	160.4305
42.500000	74.874	157.9629
43.099998	75.088	155.9272
43.700001	75.297	153.9872
44.400002	75.535	151.8084
45.000000	75.724	149.9719
45.500000	75.869	148.4563
46.200001	76.058	146.3748
46.799999	76.219	144.6436
47.500000	76.415	142.6737
48.200001	76.613	140.7139
48.700001	76.742	139.3069
49.400002	76.891	137.3580
50.000000	76.995	135.7536
50.799999	77.126	133.7292
51.500000	77.253	132.0114
52.200001	77.389	130.2919
53.000000	77.542	128.3243
53.799999	77.681	126.3852
54.500000	77.790	124.7357
55.200001	77.890	123.1447
56.000000	77.997	121.3948
57.000000	78.121	119.2727
58.000000	78.237	117.2091
59.000000	78.345	115.2672
60.000000	78.452	113.4680
60.799999	78.536	112.0668
61.500000	78.607	110.8212
62.200001	78.672	109.5518
63.000000	78.739	108.1032
64.000000	78.814	106.3621
65.000000	78.888	104.7046
66.000000	78.966	103.0952
67.000000	79.038	101.5564
68.000000	79.102	100.1162
69.000000	79.159	98.7353
70.000000	79.212	97.3498
71.000000	79.258	95.9424
72.000000	79.297	94.5445
73.000000	79.333	93.1771
74.000000	79.370	91.8404
75.000000	79.409	90.5446
76.199997	79.455	89.0667
77.500000	79.495	87.5719
78.800003	79.517	86.1469
80.000000	79.534	84.8348
81.199997	79.558	83.5408
82.500000	79.586	82.2106
83.800003	79.608	80.8836
85.000000	79.625	79.5835
86.199997	79.641	78.2843
87.500000	79.654	76.9908
88.500000	79.656	76.0777
90.000000	79.654	74.7726
91.199997	79.652	73.7609
92.500000	79.651	72.7019
93.800003	79.648	71.6609
95.000000	79.640	70.6929
96.199997	79.629	69.7244
97.500000	79.614	68.7083
98.800003	79.595	67.7347
100.000000	79.571	66.8618
101.500000	79.533	65.8102
103.000000	79.490	64.7894
104.400002	79.451	63.8652
106.000000	79.414	62.9049
107.500000	79.376	62.1149
109.000000	79.333	61.3661
110.599998	79.285	60.5771
112.000000	79.241	59.9153
113.800003	79.177	59.0966
115.000000	79.131	58.5430
117.199997	79.050	57.5312
118.000000	79.020	57.1818
120.599998	78.907	56.0756
122.000000	78.838	55.4882
124.099998	78.733	54.6812
125.000000	78.688	54.3677
126.500000	78.613	53.8831
128.000000	78.531	53.4345
131.500000	78.314	52.4814
132.000000	78.281	52.3630
134.000000	78.151	51.9466
136.000000	78.023	51.6099
138.000000	77.898	51.3464
