* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 28-Jun-2024 11:21:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QCY Melobuds Pro ANC
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.055	173.1147
20.600000	75.227	171.9999
20.900000	75.446	170.5452
21.200001	75.685	168.9053
21.400000	75.851	167.7431
21.799999	76.193	165.3050
22.000000	76.369	164.0494
22.400000	76.727	161.5159
22.700001	76.999	159.6353
23.000000	77.267	157.8034
23.299999	77.528	156.0411
23.600000	77.779	154.3602
24.000000	78.093	152.2455
24.299999	78.312	150.7396
24.700001	78.584	148.8006
25.000000	78.774	147.3689
25.400000	79.011	145.4544
25.799999	79.235	143.5136
26.200001	79.448	141.5470
26.500000	79.604	140.0652
26.900000	79.808	138.0970
27.200001	79.958	136.6355
27.600000	80.153	134.7132
28.000000	80.340	132.8208
28.500000	80.561	130.4864
29.000000	80.769	128.1644
29.500000	80.971	125.8318
30.000000	81.169	123.4835
30.400000	81.327	121.6095
30.700001	81.444	120.2221
31.100000	81.598	118.4162
31.500000	81.749	116.6742
32.000000	81.931	114.5841
32.500000	82.102	112.5587
33.000000	82.260	110.5551
33.500000	82.402	108.5493
34.000000	82.530	106.5457
34.500000	82.649	104.5651
35.000000	82.762	102.6261
35.500000	82.873	100.7341
36.000000	82.981	98.8802
36.500000	83.081	97.0495
37.000000	83.170	95.2317
37.500000	83.248	93.4296
38.200001	83.344	90.9580
38.700001	83.411	89.2417
39.500000	83.525	86.5674
40.000000	83.599	84.9352
40.599998	83.680	83.0399
41.200001	83.751	81.2422
41.799999	83.814	79.5315
42.500000	83.879	77.5778
43.099998	83.929	75.8964
43.700001	83.974	74.2110
44.400002	84.026	72.2657
45.000000	84.071	70.6354
45.500000	84.105	69.3159
46.200001	84.145	67.5419
46.799999	84.175	66.0780
47.500000	84.206	64.3994
48.200001	84.234	62.7356
48.700001	84.251	61.5664
49.400002	84.270	59.9758
50.000000	84.281	58.6605
50.799999	84.289	56.9621
51.500000	84.289	55.5132
52.200001	84.286	54.0981
53.000000	84.281	52.5306
53.799999	84.280	50.9952
54.500000	84.279	49.6453
55.200001	84.276	48.2864
56.000000	84.268	46.7568
57.000000	84.251	44.9184
58.000000	84.228	43.1515
59.000000	84.201	41.4543
60.000000	84.180	39.8374
60.799999	84.167	38.5909
61.500000	84.154	37.5234
62.200001	84.139	36.4714
63.000000	84.119	35.2869
64.000000	84.092	33.8412
65.000000	84.063	32.4334
66.000000	84.029	31.0399
67.000000	83.988	29.6535
68.000000	83.942	28.3025
69.000000	83.896	27.0120
70.000000	83.853	25.7822
71.000000	83.813	24.6085
72.000000	83.775	23.4880
73.000000	83.736	22.4084
74.000000	83.692	21.3512
75.000000	83.644	20.3074
76.199997	83.584	19.0716
77.500000	83.517	17.7542
78.800003	83.450	16.4442
80.000000	83.388	15.2530
81.199997	83.328	14.1221
82.500000	83.266	12.9563
83.800003	83.207	11.8247
85.000000	83.153	10.8010
86.199997	83.096	9.7744
87.500000	83.025	8.6549
88.500000	82.968	7.8219
90.000000	82.879	6.6573
91.199997	82.807	5.7749
92.500000	82.729	4.8534
93.800003	82.656	3.9472
95.000000	82.593	3.0716
96.199997	82.529	2.1548
97.500000	82.458	1.1699
98.800003	82.385	0.2486
100.000000	82.319	-0.5322
101.500000	82.236	-1.4608
103.000000	82.142	-2.4068
104.400002	82.042	-3.3014
106.000000	81.926	-4.2711
107.500000	81.825	-5.1060
109.000000	81.731	-5.9077
110.599998	81.633	-6.7766
112.000000	81.542	-7.5491
113.800003	81.411	-8.5396
115.000000	81.319	-9.1874
117.199997	81.154	-10.3069
118.000000	81.094	-10.6839
120.599998	80.905	-11.8245
122.000000	80.810	-12.4170
124.099998	80.672	-13.2848
125.000000	80.612	-13.6353
126.500000	80.505	-14.1738
128.000000	80.388	-14.6623
131.500000	80.109	-15.7464
132.000000	80.070	-15.8977
134.000000	79.910	-16.4857
136.000000	79.741	-17.0767
138.000000	79.568	-17.6904
140.000000	79.398	-18.2715
143.000000	79.151	-19.0141
145.000000	78.984	-19.4180
147.500000	78.774	-19.8232
150.000000	78.569	-20.1643
152.500000	78.362	-20.4945
155.000000	78.143	-20.8046
157.500000	77.914	-21.0298
160.000000	77.684	-21.1728
162.500000	77.450	-21.2520
165.000000	77.212	-21.2345
167.500000	76.974	-21.1267
170.000000	76.743	-20.9611
172.500000	76.518	-20.7660
175.000000	76.295	-20.5168
177.500000	76.073	-20.1772
180.000000	75.856	-19.7195
