* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 28, 2024, 11:21:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QCY Melobuds Pro
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.846	178.2903
20.600000	75.065	176.8642
20.900000	75.312	175.2152
21.200001	75.563	173.4328
21.400000	75.731	172.1787
21.799999	76.071	169.5481
22.000000	76.244	168.1932
22.400000	76.597	165.4611
22.700001	76.866	163.4341
23.000000	77.137	161.4577
23.299999	77.404	159.5515
23.600000	77.664	157.7271
24.000000	77.991	155.4257
24.299999	78.220	153.7888
24.700001	78.502	151.6958
25.000000	78.696	150.1676
25.400000	78.938	148.1479
25.799999	79.163	146.1188
26.200001	79.378	144.0670
26.500000	79.535	142.5168
26.900000	79.740	140.4491
27.200001	79.890	138.9089
27.600000	80.086	136.8833
28.000000	80.273	134.8969
28.500000	80.493	132.4657
29.000000	80.700	130.0726
29.500000	80.898	127.6946
30.000000	81.095	125.3198
30.400000	81.257	123.4252
30.700001	81.381	122.0131
31.100000	81.546	120.1527
31.500000	81.707	118.3316
32.000000	81.895	116.1312
32.500000	82.065	114.0246
33.000000	82.218	111.9935
33.500000	82.362	109.9950
34.000000	82.500	107.9892
34.500000	82.632	105.9690
35.000000	82.756	103.9634
35.500000	82.870	102.0143
36.000000	82.973	100.1462
36.500000	83.067	98.3483
37.000000	83.157	96.5779
37.500000	83.244	94.7822
38.200001	83.357	92.1846
38.700001	83.430	90.3140
39.500000	83.539	87.4492
40.000000	83.612	85.7645
40.599998	83.705	83.7975
41.200001	83.794	81.8522
41.799999	83.869	79.9533
42.500000	83.943	77.8375
43.099998	84.003	76.0878
43.700001	84.057	74.3692
44.400002	84.112	72.4167
45.000000	84.158	70.7959
45.500000	84.197	69.4585
46.200001	84.247	67.5668
46.799999	84.279	65.9435
47.500000	84.308	64.1144
48.200001	84.342	62.3762
48.700001	84.373	61.1611
49.400002	84.415	59.4606
50.000000	84.435	58.0171
50.799999	84.440	56.1725
51.500000	84.440	54.6272
52.200001	84.451	53.0786
53.000000	84.465	51.2910
53.799999	84.466	49.5903
54.500000	84.462	48.2092
55.200001	84.462	46.8372
56.000000	84.465	45.1814
57.000000	84.454	43.0816
58.000000	84.432	41.1614
59.000000	84.412	39.4132
60.000000	84.405	37.7042
60.799999	84.405	36.3007
61.500000	84.401	35.0569
62.200001	84.388	33.8420
63.000000	84.368	32.5188
64.000000	84.339	30.9385
65.000000	84.308	29.4097
66.000000	84.278	27.9531
67.000000	84.252	26.5281
68.000000	84.220	25.0477
69.000000	84.176	23.5770
70.000000	84.132	22.1663
71.000000	84.087	20.8186
72.000000	84.046	19.5607
73.000000	84.011	18.2918
74.000000	83.970	16.9708
75.000000	83.919	15.6794
76.199997	83.856	14.2142
77.500000	83.792	12.6380
78.800003	83.727	11.0980
80.000000	83.662	9.7471
81.199997	83.580	8.4516
82.500000	83.485	7.0125
83.800003	83.403	5.6118
85.000000	83.341	4.4008
86.199997	83.271	3.2109
87.500000	83.191	1.8893
88.500000	83.127	0.8429
90.000000	83.025	-0.6024
91.199997	82.943	-1.6332
92.500000	82.853	-2.7347
93.800003	82.759	-3.8186
95.000000	82.666	-4.7767
96.199997	82.576	-5.6947
97.500000	82.493	-6.7241
98.800003	82.408	-7.7969
100.000000	82.310	-8.7351
101.500000	82.182	-9.7590
103.000000	82.077	-10.7319
104.400002	81.978	-11.6781
106.000000	81.831	-12.7495
107.500000	81.684	-13.8133
109.000000	81.563	-14.8618
110.599998	81.440	-15.7378
112.000000	81.321	-16.3718
113.800003	81.173	-17.3726
115.000000	81.074	-18.1323
117.199997	80.890	-19.3511
118.000000	80.824	-19.7330
120.599998	80.614	-20.9060
122.000000	80.491	-21.5255
124.099998	80.281	-22.3417
125.000000	80.187	-22.6224
126.500000	80.042	-23.0444
128.000000	79.909	-23.4489
131.500000	79.607	-24.5985
132.000000	79.562	-24.7449
134.000000	79.393	-25.2649
136.000000	79.233	-25.9090
138.000000	79.065	-26.5331
140.000000	78.893	-27.0221
143.000000	78.630	-27.7632
145.000000	78.427	-28.2670
147.500000	78.187	-28.7105
150.000000	77.964	-29.0436
152.500000	77.729	-29.4484
155.000000	77.468	-29.7495
157.500000	77.213	-29.8951
160.000000	76.989	-29.9991
162.500000	76.783	-30.0805
165.000000	76.568	-30.1754
167.500000	76.326	-30.1837
170.000000	76.077	-30.0624
172.500000	75.844	-29.8448
175.000000	75.619	-29.4488
177.500000	75.387	-28.9925
180.000000	75.154	-28.5730
182.500000	74.938	-28.0474
185.000000	74.719	-27.3238
187.500000	74.502	-26.5577
190.000000	74.310	-25.7873
192.500000	74.136	-24.9182
195.000000	73.973	-23.9533
197.500000	73.820	-22.8897
200.000000	73.673	-21.8466
203.000000	73.505	-20.6828
206.000000	73.351	-19.5021
209.000000	73.218	-18.3184
212.000000	73.101	-17.0304
214.000000	73.034	-16.0935
218.000000	72.935	-14.1537
220.000000	72.899	-13.2215
224.000000	72.838	-11.4262
227.000000	72.800	-10.1185
230.000000	72.780	-8.7863
233.000000	72.773	-7.3324
236.000000	72.773	-5.8696
240.000000	72.778	-4.0807
243.000000	72.792	-2.9148
247.000000	72.811	-1.4043
250.000000	72.826	-0.3209
254.000000	72.853	1.0353
258.000000	72.888	2.4095
262.000000	72.937	3.8992
265.000000	72.978	4.9073
269.000000	73.056	6.0819
272.000000	73.129	6.9366
276.000000	73.220	8.0446
280.000000	73.296	9.1272
285.000000	73.401	10.4942
290.000000	73.531	11.8357
295.000000	73.703	13.0894
300.000000	73.900	13.9500
304.000000	74.057	14.3863
307.000000	74.158	14.5922
311.000000	74.265	14.7573
315.000000	74.343	14.8334
320.000000	74.422	14.8771
325.000000	74.501	15.0454
330.000000	74.586	15.2810
335.000000	74.663	15.4346
340.000000	74.735	15.6772
345.000000	74.799	15.9251
350.000000	74.847	16.1429
355.000000	74.898	16.3240
360.000000	74.949	16.3151
365.000000	74.975	16.2416
370.000000	75.000	16.2627
375.000000	75.035	16.3653
382.000000	75.089	16.4899
387.000000	75.134	16.5431
395.000000	75.191	16.9034
400.000000	75.218	17.2636
406.000000	75.255	17.4891
412.000000	75.291	17.6203
418.000000	75.330	17.8221
425.000000	75.385	18.1039
