* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 16:16:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Xtra A
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.398	-155.7915
20.600000	91.428	-156.2041
20.900000	91.466	-156.7175
21.200001	91.508	-157.2690
21.400000	91.537	-157.6479
21.799999	91.592	-158.4237
22.000000	91.617	-158.8154
22.400000	91.662	-159.5900
22.700001	91.693	-160.1530
23.000000	91.723	-160.6988
23.299999	91.753	-161.2339
23.600000	91.784	-161.7685
24.000000	91.822	-162.4924
24.299999	91.847	-163.0419
24.700001	91.874	-163.7647
25.000000	91.891	-164.2837
25.400000	91.912	-164.9316
25.799999	91.934	-165.5364
26.200001	91.961	-166.1233
26.500000	91.983	-166.5677
26.900000	92.012	-167.1766
27.200001	92.033	-167.6447
27.600000	92.058	-168.2760
28.000000	92.081	-168.9070
28.500000	92.105	-169.6879
29.000000	92.123	-170.4548
29.500000	92.135	-171.2007
30.000000	92.146	-171.9258
30.400000	92.156	-172.5014
30.700001	92.165	-172.9376
31.100000	92.177	-173.5273
31.500000	92.191	-174.1178
32.000000	92.209	-174.8319
32.500000	92.230	-175.5035
33.000000	92.254	-176.1519
33.500000	92.280	-176.8177
34.000000	92.299	-177.5219
34.500000	92.308	-178.2492
35.000000	92.309	-178.9691
35.500000	92.307	-179.6647
36.000000	92.305	179.6616
36.500000	92.306	179.0008
37.000000	92.309	178.3467
37.500000	92.311	177.6951
38.200001	92.309	176.7874
38.700001	92.305	176.1555
39.500000	92.299	175.2009
40.000000	92.299	174.6261
40.599998	92.301	173.9249
41.200001	92.300	173.2027
41.799999	92.294	172.4788
42.500000	92.281	171.6506
43.099998	92.267	170.9541
43.700001	92.250	170.2750
44.400002	92.231	169.5112
45.000000	92.216	168.8651
45.500000	92.202	168.3187
46.200001	92.179	167.5403
46.799999	92.157	166.8673
47.500000	92.134	166.0714
48.200001	92.115	165.2640
48.700001	92.104	164.6940
49.400002	92.087	163.9250
50.000000	92.068	163.2922
50.799999	92.029	162.4665
51.500000	91.985	161.7549
52.200001	91.938	161.0597
53.000000	91.888	160.2864
53.799999	91.842	159.5208
54.500000	91.802	158.8452
55.200001	91.760	158.1631
56.000000	91.710	157.3824
57.000000	91.651	156.4166
58.000000	91.591	155.4684
59.000000	91.523	154.5479
60.000000	91.446	153.6727
60.799999	91.384	152.9937
61.500000	91.332	152.3956
62.200001	91.283	151.7895
63.000000	91.227	151.0998
64.000000	91.158	150.2635
65.000000	91.085	149.4440
66.000000	91.004	148.6267
67.000000	90.921	147.8240
68.000000	90.839	147.0204
69.000000	90.754	146.1918
70.000000	90.665	145.3635
71.000000	90.572	144.5799
72.000000	90.481	143.8548
73.000000	90.393	143.1642
74.000000	90.307	142.4779
75.000000	90.217	141.7953
76.199997	90.103	140.9975
77.500000	89.975	140.1383
78.800003	89.848	139.3065
80.000000	89.729	138.6092
81.199997	89.605	137.9288
82.500000	89.470	137.1342
83.800003	89.344	136.3085
85.000000	89.227	135.5924
86.199997	89.099	134.9350
87.500000	88.949	134.2538
88.500000	88.836	133.7401
90.000000	88.672	132.9864
91.199997	88.543	132.3783
92.500000	88.404	131.7018
93.800003	88.266	131.0305
95.000000	88.138	130.4482
96.199997	88.008	129.9140
97.500000	87.861	129.3759
98.800003	87.706	128.8568
100.000000	87.556	128.3782
101.500000	87.363	127.7694
103.000000	87.171	127.1761
104.400002	86.991	126.6697
106.000000	86.784	126.1372
107.500000	86.589	125.6630
109.000000	86.392	125.2336
110.599998	86.175	124.8110
112.000000	85.980	124.4409
113.800003	85.726	123.9698
115.000000	85.557	123.6967
117.199997	85.244	123.3793
