* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -35.1 dBFS, measurement signal peak level -35.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 11:35:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -11.4996 ms (-3.944 m, -(12 ft 11.3 in)) using IR start time relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: QCY Ailypods L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	46.891	-130.7201
20.299999	46.548	-119.4447
20.600000	46.020	-107.4576
20.900000	45.346	-93.7659
21.200001	44.684	-77.7744
21.400000	44.431	-66.2856
21.799999	44.501	-43.4985
22.000000	44.767	-33.3309
22.400000	45.344	-17.1440
22.700001	45.498	-8.0026
23.000000	45.276	0.5316
23.299999	44.707	10.4652
23.600000	43.906	22.7251
24.000000	42.793	42.5542
24.299999	42.186	58.7349
24.700001	41.810	80.1616
25.000000	41.758	95.3885
25.400000	41.806	114.4376
25.799999	41.856	132.3948
26.200001	41.857	149.7937
26.500000	41.849	162.7605
26.900000	41.892	179.8823
27.200001	41.983	-167.8268
27.600000	42.109	-152.8088
28.000000	42.077	-139.3289
28.500000	41.650	-123.0010
29.000000	40.870	-105.2888
29.500000	39.967	-86.2147
30.000000	39.048	-66.8201
30.400000	38.212	-50.8314
30.700001	37.470	-37.8754
31.100000	36.337	-18.3071
31.500000	35.194	4.0801
32.000000	34.202	34.2090
32.500000	33.955	63.2229
33.000000	34.089	89.2386
33.500000	34.259	113.2483
34.000000	34.476	136.4321
34.500000	34.793	158.4146
35.000000	35.100	178.5442
35.500000	35.298	-162.8429
36.000000	35.451	-145.2622
36.500000	35.648	-129.4874
37.000000	35.767	-117.0490
37.500000	35.543	-108.1375
38.200001	34.288	-98.4121
38.700001	32.721	-92.3693
39.500000	29.785	-91.9285
40.000000	28.424	-101.7081
40.599998	28.003	-120.4675
41.200001	28.888	-137.7200
41.799999	30.292	-147.5065
42.500000	31.709	-149.5468
43.099998	32.566	-145.9404
43.700001	33.293	-139.8687
44.400002	34.120	-133.8373
45.000000	34.621	-132.8876
45.500000	34.719	-135.2802
46.200001	34.349	-140.8188
46.799999	33.798	-144.9523
47.500000	33.381	-147.8362
48.200001	33.497	-148.9541
48.700001	33.868	-148.8440
49.400002	34.628	-147.8967
50.000000	35.325	-147.4236
50.799999	36.000	-148.8881
51.500000	36.153	-151.8868
52.200001	35.911	-154.5798
53.000000	35.498	-155.3461
53.799999	35.446	-154.5248
54.500000	35.705	-154.1797
55.200001	36.003	-154.0488
56.000000	36.272	-152.9247
57.000000	36.476	-149.7635
58.000000	36.545	-145.4504
59.000000	36.722	-142.1656
60.000000	37.042	-142.9156
60.799999	37.301	-146.3794
61.500000	37.491	-150.4275
62.200001	37.612	-154.1765
63.000000	37.675	-156.5530
64.000000	37.766	-155.7509
65.000000	37.909	-152.2233
66.000000	38.010	-148.0065
67.000000	38.011	-144.8337
68.000000	37.817	-143.5883
69.000000	37.439	-143.4570
70.000000	37.087	-143.6326
71.000000	36.906	-143.9080
72.000000	36.885	-143.8507
73.000000	36.951	-143.2527
74.000000	37.005	-142.2026
75.000000	36.986	-140.8303
76.199997	36.843	-138.8417
77.500000	36.651	-136.2566
78.800003	36.611	-133.9095
80.000000	36.759	-132.7335
81.199997	37.018	-132.5665
82.500000	37.323	-132.9886
83.800003	37.489	-132.9331
85.000000	37.528	-131.0697
86.199997	37.609	-127.9482
87.500000	37.686	-125.3594
88.500000	37.606	-124.3235
90.000000	37.320	-122.8666
91.199997	37.181	-120.8615
92.500000	37.286	-117.7728
93.800003	37.567	-114.4156
95.000000	37.793	-111.5177
96.199997	37.897	-108.8525
97.500000	37.894	-106.1833
98.800003	37.862	-103.8267
100.000000	37.837	-102.0118
101.500000	37.734	-99.7113
103.000000	37.528	-96.3433
104.400002	37.390	-92.4930
106.000000	37.369	-88.8639
107.500000	37.400	-86.0616
109.000000	37.556	-82.7004
110.599998	37.904	-78.8142
112.000000	38.205	-75.9524
113.800003	38.371	-73.1001
115.000000	38.346	-71.2755
117.199997	38.239	-67.4227
118.000000	38.228	-65.9205
120.599998	38.296	-61.1484
122.000000	38.341	-58.7625
124.099998	38.338	-55.0358
125.000000	38.328	-53.2181
126.500000	38.337	-50.0095
128.000000	38.366	-46.7803
131.500000	38.497	-39.7987
132.000000	38.507	-38.9779
134.000000	38.461	-35.7977
136.000000	38.379	-32.0505
138.000000	38.455	-27.7631
140.000000	38.674	-23.3934
143.000000	38.917	-15.8840
145.000000	38.887	-9.9867
147.500000	38.653	-2.5864
150.000000	38.411	3.4219
152.500000	38.314	7.5391
155.000000	38.362	11.5098
157.500000	38.487	16.3198
160.000000	38.586	22.0042
162.500000	38.650	27.7401
165.000000	38.632	32.8831
167.500000	38.601	37.7987
170.000000	38.659	42.9506
172.500000	38.750	48.7542
175.000000	38.818	55.1471
177.500000	38.883	61.5074
180.000000	38.942	67.2955
182.500000	38.896	72.5952
185.000000	38.723	78.0679
187.500000	38.553	84.0771
190.000000	38.492	90.4712
192.500000	38.468	97.0093
195.000000	38.379	103.7925
197.500000	38.276	110.7759
200.000000	38.260	117.6245
203.000000	38.340	125.5400
206.000000	38.419	133.2812
209.000000	38.478	140.6650
212.000000	38.547	147.6787
214.000000	38.592	152.4580
218.000000	38.676	163.0115
220.000000	38.709	168.6206
224.000000	38.670	179.8940
227.000000	38.597	-171.4258
230.000000	38.586	-162.4780
233.000000	38.598	-153.3545
236.000000	38.579	-144.3855
240.000000	38.555	-133.5520
243.000000	38.613	-126.0559
247.000000	38.793	-116.0010
250.000000	38.924	-108.2544
254.000000	38.970	-97.5503
258.000000	38.897	-86.1174
262.000000	38.969	-74.4436
265.000000	39.211	-66.0437
269.000000	39.650	-55.2949
272.000000	39.922	-47.0879
276.000000	40.108	-35.6150
280.000000	40.164	-24.0002
285.000000	40.282	-10.0771
290.000000	40.490	2.6245
295.000000	40.700	14.8728
300.000000	40.896	27.9802
304.000000	41.039	39.3147
307.000000	41.180	47.9919
311.000000	41.429	59.3030
315.000000	41.677	70.2451
320.000000	41.854	83.9138
325.000000	41.896	98.0264
330.000000	41.933	112.1873
335.000000	42.070	125.6282
340.000000	42.348	138.2915
345.000000	42.691	150.5552
350.000000	43.011	162.6414
