* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03-Jun-2025 19:58:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RBA7P DB L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.570	-51.2299
20.600000	89.630	-52.3574
20.900000	89.706	-53.7699
21.200001	89.787	-55.2818
21.400000	89.843	-56.3090
21.799999	89.956	-58.3789
22.000000	90.014	-59.4165
22.400000	90.131	-61.4896
22.700001	90.220	-63.0390
23.000000	90.310	-64.5825
23.299999	90.399	-66.1217
23.600000	90.487	-67.6606
24.000000	90.600	-69.7215
24.299999	90.681	-71.2796
24.700001	90.784	-73.3771
25.000000	90.858	-74.9628
25.400000	90.953	-77.0851
25.799999	91.047	-79.2059
26.200001	91.140	-81.3185
26.500000	91.211	-82.8978
26.900000	91.307	-85.0002
27.200001	91.378	-86.5765
27.600000	91.473	-88.6770
28.000000	91.566	-90.7717
28.500000	91.678	-93.3757
29.000000	91.786	-95.9677
29.500000	91.892	-98.5673
30.000000	91.995	-101.1951
30.400000	92.073	-103.3208
30.700001	92.130	-104.9244
31.100000	92.202	-107.0645
31.500000	92.274	-109.1962
32.000000	92.366	-111.8402
32.500000	92.462	-114.4664
33.000000	92.558	-117.0897
33.500000	92.648	-119.7190
34.000000	92.731	-122.3490
34.500000	92.804	-124.9671
35.000000	92.872	-127.5677
35.500000	92.938	-130.1600
36.000000	93.005	-132.7605
36.500000	93.073	-135.3800
37.000000	93.140	-138.0160
37.500000	93.204	-140.6569
38.200001	93.286	-144.3400
38.700001	93.342	-146.9516
39.500000	93.425	-151.0972
40.000000	93.474	-153.6754
40.599998	93.528	-156.7624
41.200001	93.575	-159.8362
41.799999	93.619	-162.8839
42.500000	93.667	-166.4060
43.099998	93.707	-169.4161
43.700001	93.746	-172.4335
44.400002	93.787	-175.9570
45.000000	93.820	-178.9654
45.500000	93.846	178.5378
46.200001	93.880	175.0486
46.799999	93.905	172.0554
47.500000	93.931	168.5600
48.200001	93.958	165.0730
48.700001	93.978	162.5990
49.400002	94.005	159.1727
50.000000	94.021	156.2700
50.799999	94.025	152.4241
51.500000	94.019	149.0644
52.200001	94.013	145.7178
53.000000	94.010	141.9303
53.799999	94.009	138.1809
54.500000	94.004	134.9158
55.200001	93.995	131.6588
56.000000	93.982	127.9557
57.000000	93.968	123.3793
58.000000	93.949	118.8600
59.000000	93.922	114.3513
60.000000	93.892	109.8295
60.799999	93.867	106.2305
61.500000	93.844	103.1165
62.200001	93.821	100.0338
63.000000	93.797	96.5308
64.000000	93.770	92.1629
65.000000	93.739	87.8264
66.000000	93.704	83.5496
67.000000	93.667	79.3344
68.000000	93.629	75.1677
69.000000	93.591	71.0270
70.000000	93.549	66.8895
71.000000	93.505	62.7390
72.000000	93.461	58.5782
73.000000	93.415	54.4415
74.000000	93.367	50.3603
75.000000	93.319	46.3255
76.199997	93.258	41.5056
77.500000	93.187	36.3225
78.800003	93.113	31.2235
80.000000	93.048	26.5780
81.199997	92.985	21.9456
82.500000	92.915	16.9187
83.800003	92.843	11.9078
85.000000	92.776	7.3035
86.199997	92.710	2.7181
87.500000	92.641	-2.1978
88.500000	92.589	-5.9295
90.000000	92.511	-11.4860
91.199997	92.446	-15.9199
92.500000	92.371	-20.7011
93.800003	92.296	-25.4677
95.000000	92.228	-29.8837
96.199997	92.160	-34.3210
97.500000	92.086	-39.1051
98.800003	92.012	-43.8142
100.000000	91.944	-48.0874
101.500000	91.861	-53.3666
103.000000	91.780	-58.6309
104.400002	91.706	-63.5378
106.000000	91.622	-69.1060
107.500000	91.541	-74.2876
109.000000	91.461	-79.4530
110.599998	91.380	-84.9590
112.000000	91.310	-89.7656
113.800003	91.219	-95.9102
115.000000	91.156	-99.9855
117.199997	91.039	-107.4283
118.000000	90.997	-110.1265
120.599998	90.854	-118.8891
122.000000	90.778	-123.6162
124.099998	90.665	-130.6796
125.000000	90.616	-133.6842
126.500000	90.533	-138.6605
128.000000	90.449	-143.6109
131.500000	90.246	-155.1121
132.000000	90.216	-156.7460
134.000000	90.094	-163.2571
136.000000	89.968	-169.7278
138.000000	89.842	-176.1482
140.000000	89.722	177.4733
143.000000	89.552	167.9158
145.000000	89.432	161.5842
147.500000	89.269	153.7706
150.000000	89.101	146.0310
152.500000	88.935	138.3134
155.000000	88.768	130.6578
157.500000	88.601	123.0946
160.000000	88.436	115.5693
162.500000	88.277	108.0623
165.000000	88.122	100.6005
167.500000	87.965	93.1814
170.000000	87.806	85.8074
172.500000	87.643	78.4917
175.000000	87.476	71.2402
177.500000	87.305	64.0759
180.000000	87.130	57.0217
182.500000	86.949	50.0278
185.000000	86.758	43.0402
187.500000	86.553	36.0663
190.000000	86.343	29.1401
192.500000	86.141	22.2917
195.000000	85.957	15.5380
197.500000	85.794	8.8752
200.000000	85.647	2.2471
203.000000	85.490	-5.7531
206.000000	85.357	-13.7825
209.000000	85.235	-21.7379
212.000000	85.106	-29.5668
214.000000	85.012	-34.7355
218.000000	84.815	-45.0292
220.000000	84.716	-50.1830
224.000000	84.522	-60.5234
227.000000	84.376	-68.2856
230.000000	84.223	-76.0431
233.000000	84.063	-83.7868
236.000000	83.897	-91.4894
240.000000	83.672	-101.6237
243.000000	83.497	-109.1229
247.000000	83.257	-119.0281
250.000000	83.075	-126.3981
254.000000	82.836	-136.1343
258.000000	82.600	-145.7151
262.000000	82.364	-155.1116
265.000000	82.187	-162.0623
269.000000	81.956	-171.2301
272.000000	81.789	-178.0330
276.000000	81.576	173.0194
280.000000	81.376	164.2229
285.000000	81.149	153.3867
290.000000	80.947	142.6718
295.000000	80.774	132.0435
300.000000	80.633	121.4586
304.000000	80.540	112.9990
