* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:39:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme BA6P DB3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.656	27.0476
20.600000	78.735	26.5718
20.900000	78.830	25.8475
21.200001	78.924	24.9115
21.400000	78.979	24.1989
21.799999	79.061	22.6856
22.000000	79.089	21.9514
22.400000	79.127	20.6718
22.700001	79.151	19.9353
23.000000	79.178	19.3743
23.299999	79.211	18.9205
23.600000	79.244	18.4900
24.000000	79.265	17.8534
24.299999	79.252	17.3217
24.700001	79.193	16.6177
25.000000	79.129	16.1618
25.400000	79.047	15.6990
25.799999	78.999	15.3476
26.200001	78.998	14.9715
26.500000	79.017	14.6032
26.900000	79.041	13.9854
27.200001	79.043	13.4724
27.600000	79.012	12.8222
28.000000	78.951	12.2916
28.500000	78.866	11.7875
29.000000	78.812	11.2751
29.500000	78.806	10.5213
30.000000	78.838	9.4395
30.400000	78.876	8.3947
30.700001	78.906	7.5641
31.100000	78.944	6.4650
31.500000	78.977	5.4448
32.000000	79.014	4.3725
32.500000	79.052	3.6019
33.000000	79.102	3.1600
33.500000	79.164	2.9897
34.000000	79.233	2.9600
34.500000	79.295	2.9108
35.000000	79.341	2.6896
35.500000	79.374	2.1734
36.000000	79.403	1.3090
36.500000	79.436	0.1640
37.000000	79.474	-1.0780
37.500000	79.514	-2.2090
38.200001	79.560	-3.4130
38.700001	79.567	-4.0517
39.500000	79.511	-4.9374
40.000000	79.448	-5.5042
40.599998	79.378	-6.2559
41.200001	79.332	-7.0815
41.799999	79.296	-7.8740
42.500000	79.244	-8.5722
43.099998	79.191	-8.9799
43.700001	79.138	-9.3762
44.400002	79.074	-9.9662
45.000000	79.014	-10.4954
45.500000	78.962	-10.8481
46.200001	78.897	-11.1939
46.799999	78.845	-11.4969
47.500000	78.772	-12.0398
48.200001	78.678	-12.7936
48.700001	78.608	-13.4035
49.400002	78.520	-14.3148
50.000000	78.457	-15.1656
50.799999	78.380	-16.4268
51.500000	78.319	-17.6015
52.200001	78.272	-18.7390
53.000000	78.253	-19.8610
53.799999	78.274	-20.7233
54.500000	78.313	-21.2813
55.200001	78.345	-21.6954
56.000000	78.342	-22.0537
57.000000	78.258	-22.5049
58.000000	78.106	-23.1690
59.000000	77.970	-24.1094
60.000000	77.914	-25.1950
60.799999	77.910	-25.9577
61.500000	77.905	-26.4458
62.200001	77.875	-26.8280
63.000000	77.804	-27.3208
64.000000	77.688	-28.2373
65.000000	77.594	-29.3217
66.000000	77.529	-30.1632
67.000000	77.454	-30.6977
68.000000	77.351	-31.2262
69.000000	77.244	-31.8690
70.000000	77.152	-32.4458
71.000000	77.060	-32.8526
72.000000	76.956	-33.1993
73.000000	76.850	-33.5929
74.000000	76.749	-34.0030
75.000000	76.650	-34.3803
76.199997	76.531	-34.7849
77.500000	76.401	-35.0921
78.800003	76.260	-35.2935
80.000000	76.114	-35.5630
81.199997	75.957	-35.9746
82.500000	75.773	-36.5172
83.800003	75.584	-37.0922
85.000000	75.427	-37.6790
86.199997	75.292	-38.3795
87.500000	75.174	-39.1980
88.500000	75.107	-39.7523
90.000000	75.038	-40.3018
91.199997	74.979	-40.4586
92.500000	74.885	-40.4415
93.800003	74.757	-40.4656
95.000000	74.622	-40.7005
96.199997	74.494	-41.1223
97.500000	74.379	-41.5678
98.800003	74.278	-41.7866
100.000000	74.174	-41.8225
101.500000	74.022	-41.9355
103.000000	73.878	-42.2340
104.400002	73.766	-42.4753
106.000000	73.636	-42.5482
