* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:41:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme BA6P DB5 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.198	-10.6848
20.600000	80.239	-11.1240
20.900000	80.290	-11.8484
21.200001	80.330	-12.8633
21.400000	80.339	-13.6721
21.799999	80.293	-15.4236
22.000000	80.239	-16.2629
22.400000	80.098	-17.6502
22.700001	79.994	-18.3635
23.000000	79.926	-18.8554
23.299999	79.908	-19.2795
23.600000	79.939	-19.8208
24.000000	80.023	-20.9684
24.299999	80.088	-22.2113
24.700001	80.140	-24.3027
25.000000	80.143	-26.0779
25.400000	80.102	-28.5196
25.799999	80.033	-30.8524
26.200001	79.969	-32.9278
26.500000	79.945	-34.2703
26.900000	79.968	-35.7680
27.200001	80.033	-36.6939
27.600000	80.182	-37.7226
28.000000	80.387	-38.5972
28.500000	80.684	-39.6187
29.000000	80.974	-40.7266
29.500000	81.209	-42.0637
30.000000	81.363	-43.7072
30.400000	81.428	-45.2514
30.700001	81.450	-46.5349
31.100000	81.460	-48.3921
31.500000	81.461	-50.3763
32.000000	81.461	-52.9231
32.500000	81.458	-55.3592
33.000000	81.444	-57.4978
33.500000	81.416	-59.2755
34.000000	81.375	-60.7974
34.500000	81.320	-62.2480
35.000000	81.247	-63.7398
35.500000	81.159	-65.2464
36.000000	81.073	-66.6759
36.500000	81.010	-67.9915
37.000000	80.970	-69.2513
37.500000	80.937	-70.5406
38.200001	80.857	-72.4329
38.700001	80.768	-73.7854
39.500000	80.610	-75.8932
40.000000	80.526	-77.2661
40.599998	80.443	-79.1278
41.200001	80.367	-81.3082
41.799999	80.289	-83.7780
42.500000	80.207	-86.8559
43.099998	80.167	-89.4725
43.700001	80.176	-91.9254
44.400002	80.257	-94.5153
45.000000	80.371	-96.5289
45.500000	80.475	-98.0778
46.200001	80.595	-100.0156
46.799999	80.652	-101.4217
47.500000	80.649	-102.8059
48.200001	80.577	-104.1137
48.700001	80.498	-105.1669
49.400002	80.382	-106.9955
50.000000	80.315	-108.9285
50.799999	80.312	-111.7811
51.500000	80.376	-114.1445
52.200001	80.444	-116.1198
53.000000	80.456	-118.0034
53.799999	80.384	-119.9732
54.500000	80.285	-122.0987
55.200001	80.193	-124.5080
56.000000	80.115	-127.1413
57.000000	80.029	-129.7910
58.000000	79.904	-132.0795
59.000000	79.761	-134.5692
60.000000	79.635	-137.1107
60.799999	79.538	-138.9020
61.500000	79.445	-140.3138
62.200001	79.345	-141.7003
63.000000	79.233	-143.3039
