* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:29:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme BA6P PB L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.907	23.3711
20.600000	81.949	22.9422
20.900000	82.004	22.3934
21.200001	82.064	21.7834
21.400000	82.105	21.3527
21.799999	82.183	20.4492
22.000000	82.220	19.9847
22.400000	82.287	19.0530
22.700001	82.332	18.3668
23.000000	82.373	17.6984
23.299999	82.411	17.0477
23.600000	82.447	16.4114
24.000000	82.490	15.5785
24.299999	82.520	14.9614
24.700001	82.558	14.1429
25.000000	82.586	13.5282
25.400000	82.622	12.7035
25.799999	82.653	11.8763
26.200001	82.677	11.0623
26.500000	82.689	10.4733
26.900000	82.700	9.7280
27.200001	82.706	9.1975
27.600000	82.714	8.5131
28.000000	82.723	7.8332
28.500000	82.734	6.9722
29.000000	82.740	6.1118
29.500000	82.745	5.2767
30.000000	82.754	4.4645
30.400000	82.762	3.8150
30.700001	82.766	3.3235
31.100000	82.766	2.6703
31.500000	82.760	2.0396
32.000000	82.745	1.3140
32.500000	82.730	0.6603
33.000000	82.723	0.0379
33.500000	82.721	-0.6022
34.000000	82.720	-1.2710
34.500000	82.714	-1.9339
35.000000	82.706	-2.5475
35.500000	82.703	-3.1087
36.000000	82.709	-3.6638
36.500000	82.720	-4.2673
37.000000	82.728	-4.9281
37.500000	82.724	-5.5988
38.200001	82.706	-6.4447
38.700001	82.694	-6.9641
39.500000	82.687	-7.7307
40.000000	82.686	-8.2070
40.599998	82.684	-8.7772
41.200001	82.682	-9.3419
41.799999	82.683	-9.9102
42.500000	82.685	-10.5924
43.099998	82.687	-11.2047
43.700001	82.689	-11.8538
44.400002	82.690	-12.6524
45.000000	82.688	-13.3408
45.500000	82.685	-13.8901
46.200001	82.683	-14.5987
46.799999	82.685	-15.1573
47.500000	82.690	-15.7861
48.200001	82.697	-16.4243
48.700001	82.701	-16.8981
49.400002	82.708	-17.6009
50.000000	82.712	-18.2500
50.799999	82.711	-19.1711
51.500000	82.708	-19.9931
52.200001	82.704	-20.8052
53.000000	82.692	-21.7141
53.799999	82.667	-22.5896
54.500000	82.638	-23.3291
55.200001	82.610	-24.0713
56.000000	82.583	-24.9464
57.000000	82.555	-26.0604
58.000000	82.531	-27.1899
59.000000	82.503	-28.3650
60.000000	82.467	-29.5561
60.799999	82.437	-30.4938
61.500000	82.411	-31.2965
62.200001	82.382	-32.0806
63.000000	82.348	-32.9717
64.000000	82.299	-34.1340
65.000000	82.234	-35.3335
66.000000	82.156	-36.4729
67.000000	82.076	-37.5458
68.000000	81.996	-38.6154
69.000000	81.910	-39.6798
70.000000	81.819	-40.6982
71.000000	81.727	-41.6734
72.000000	81.639	-42.6397
73.000000	81.554	-43.6197
74.000000	81.466	-44.6161
75.000000	81.367	-45.6216
76.199997	81.233	-46.8241
77.500000	81.077	-48.1007
78.800003	80.917	-49.3462
80.000000	80.761	-50.4562
81.199997	80.596	-51.4658
82.500000	80.413	-52.4036
83.800003	80.241	-53.2752
85.000000	80.095	-54.1146
86.199997	79.947	-54.9649
87.500000	79.773	-55.8350
88.500000	79.633	-56.4595
90.000000	79.418	-57.3163
91.199997	79.240	-57.9261
92.500000	79.050	-58.5466
93.800003	78.874	-59.1698
95.000000	78.718	-59.7359
96.199997	78.557	-60.2519
97.500000	78.369	-60.7321
98.800003	78.174	-61.1730
100.000000	77.996	-61.6047
101.500000	77.782	-62.1695
103.000000	77.569	-62.6339
104.400002	77.363	-62.9189
106.000000	77.128	-63.1464
107.500000	76.925	-63.3348
109.000000	76.739	-63.4846
110.599998	76.546	-63.5822
112.000000	76.371	-63.6497
113.800003	76.140	-63.7257
115.000000	75.985	-63.7445
117.199997	75.698	-63.7304
118.000000	75.595	-63.7297
120.599998	75.277	-63.6812
122.000000	75.118	-63.5782
124.099998	74.887	-63.3415
125.000000	74.789	-63.2087
126.500000	74.622	-62.9433
128.000000	74.452	-62.6496
131.500000	74.081	-62.0488
132.000000	74.033	-61.9771
134.000000	73.843	-61.6876
136.000000	73.651	-61.3788
138.000000	73.472	-61.0654
140.000000	73.309	-60.7000
143.000000	73.067	-59.9498
145.000000	72.900	-59.3877
147.500000	72.690	-58.7066
150.000000	72.497	-57.9948
152.500000	72.325	-57.2143
155.000000	72.169	-56.4187
157.500000	72.018	-55.6481
160.000000	71.860	-54.8885
162.500000	71.702	-54.1652
165.000000	71.569	-53.4773
167.500000	71.459	-52.7534
170.000000	71.353	-52.0110
172.500000	71.249	-51.2395
175.000000	71.158	-50.4073
177.500000	71.080	-49.5305
180.000000	71.003	-48.6685
182.500000	70.917	-47.8788
185.000000	70.823	-47.1673
187.500000	70.724	-46.5235
190.000000	70.629	-45.9230
192.500000	70.549	-45.3143
195.000000	70.490	-44.6803
197.500000	70.445	-44.0433
200.000000	70.406	-43.4265
203.000000	70.368	-42.7072
206.000000	70.349	-41.9868
209.000000	70.350	-41.2622
212.000000	70.354	-40.5387
214.000000	70.352	-40.0667
218.000000	70.341	-39.1919
220.000000	70.332	-38.7987
224.000000	70.311	-38.0786
227.000000	70.294	-37.5391
230.000000	70.275	-37.0032
233.000000	70.259	-36.5063
236.000000	70.250	-36.0457
240.000000	70.243	-35.4728
243.000000	70.235	-35.0529
247.000000	70.218	-34.4813
250.000000	70.204	-34.0686
254.000000	70.188	-33.5680
258.000000	70.174	-33.0829
262.000000	70.162	-32.5595
265.000000	70.155	-32.1572
269.000000	70.153	-31.6374
272.000000	70.153	-31.2768
276.000000	70.157	-30.8513
280.000000	70.164	-30.4722
285.000000	70.174	-30.0297
290.000000	70.185	-29.6113
295.000000	70.199	-29.2000
300.000000	70.213	-28.8170
304.000000	70.231	-28.5295
307.000000	70.250	-28.3168
311.000000	70.278	-28.0492
315.000000	70.302	-27.8314
320.000000	70.328	-27.6288
325.000000	70.354	-27.4700
330.000000	70.375	-27.3347
335.000000	70.383	-27.2449
340.000000	70.385	-27.1793
345.000000	70.384	-27.0694
350.000000	70.383	-26.8755
355.000000	70.384	-26.6257
360.000000	70.382	-26.3950
365.000000	70.376	-26.1924
370.000000	70.376	-26.0003
375.000000	70.388	-25.8309
382.000000	70.420	-25.6153
387.000000	70.439	-25.4467
395.000000	70.458	-25.1832
400.000000	70.479	-25.0825
406.000000	70.517	-25.0002
412.000000	70.561	-24.9245
418.000000	70.610	-24.8454
425.000000	70.671	-24.8021
431.000000	70.727	-24.8016
437.000000	70.789	-24.8417
444.000000	70.854	-24.9580
450.000000	70.897	-25.1073
455.000000	70.927	-25.2416
462.000000	70.963	-25.4559
468.000000	70.994	-25.7155
475.000000	71.034	-26.0791
482.000000	71.068	-26.4566
487.000000	71.086	-26.7498
494.000000	71.102	-27.2243
500.000000	71.109	-27.6770
508.000000	71.116	-28.3193
515.000000	71.124	-28.8892
522.000000	71.124	-29.4318
530.000000	71.105	-30.0792
538.000000	71.076	-30.7726
545.000000	71.049	-31.3502
552.000000	71.014	-31.8739
560.000000	70.959	-32.4467
570.000000	70.874	-33.1410
580.000000	70.772	-33.8297
590.000000	70.647	-34.4610
600.000000	70.505	-34.9172
608.000000	70.390	-35.1573
615.000000	70.293	-35.3403
622.000000	70.196	-35.5404
630.000000	70.080	-35.7778
640.000000	69.934	-35.9860
650.000000	69.809	-36.0787
660.000000	69.702	-36.0785
670.000000	69.595	-35.9607
680.000000	69.476	-35.7734
690.000000	69.346	-35.5334
700.000000	69.212	-35.2288
710.000000	69.083	-34.9195
720.000000	68.955	-34.6384
730.000000	68.831	-34.3606
740.000000	68.711	-34.0718
750.000000	68.603	-33.7428
762.000000	68.494	-33.2527
775.000000	68.387	-32.6182
788.000000	68.286	-31.8911
800.000000	68.190	-31.1497
812.000000	68.087	-30.4151
825.000000	67.980	-29.6172
838.000000	67.885	-28.7560
850.000000	67.807	-27.8951
862.000000	67.743	-27.0322
875.000000	67.694	-26.1255
885.000000	67.666	-25.4310
900.000000	67.623	-24.3680
912.000000	67.589	-23.5115
925.000000	67.560	-22.5645
938.000000	67.551	-21.6011
950.000000	67.556	-20.6911
962.000000	67.569	-19.7640
975.000000	67.591	-18.7903
988.000000	67.617	-17.9255
1000.000000	67.638	-17.2269
1015.000000	67.663	-16.4471
1030.000000	67.697	-15.7416
1044.000000	67.742	-15.0895
1060.000000	67.808	-14.3152
1075.000000	67.881	-13.6001
1090.000000	67.963	-12.9383
1106.000000	68.054	-12.2840
1120.000000	68.130	-11.7627
1138.000000	68.222	-11.1984
1150.000000	68.285	-10.8744
1172.000000	68.404	-10.2677
1180.000000	68.448	-10.0401
1206.000000	68.594	-9.3780
1220.000000	68.684	-9.0996
1241.000000	68.835	-8.7786
1250.000000	68.904	-8.6673
1265.000000	69.019	-8.4912
1280.000000	69.133	-8.2969
1315.000000	69.367	-7.7520
1320.000000	69.393	-7.6736
1340.000000	69.475	-7.3737
1360.000000	69.509	-7.0811
1380.000000	69.506	-6.7786
1400.000000	69.488	-6.4753
1430.000000	69.489	-6.0956
1450.000000	69.530	-5.8686
1475.000000	69.626	-5.5296
1500.000000	69.747	-5.2291
1525.000000	69.870	-4.9845
1550.000000	69.988	-4.7444
1575.000000	70.098	-4.4624
1600.000000	70.212	-4.1458
1625.000000	70.338	-3.8735
1650.000000	70.477	-3.6386
1675.000000	70.616	-3.3872
1700.000000	70.743	-3.1004
1725.000000	70.858	-2.8056
1750.000000	70.976	-2.5500
1775.000000	71.108	-2.3484
1800.000000	71.249	-2.1615
1825.000000	71.391	-1.9387
1850.000000	71.531	-1.6761
1875.000000	71.668	-1.4240
1900.000000	71.803	-1.2203
1925.000000	71.945	-1.0580
1950.000000	72.098	-0.9096
1975.000000	72.260	-0.7475
2000.000000	72.432	-0.5937
2030.000000	72.647	-0.5189
2060.000000	72.873	-0.6033
2090.000000	73.106	-0.8231
2120.000000	73.328	-1.1369
2140.000000	73.469	-1.3879
2180.000000	73.742	-1.9442
2200.000000	73.878	-2.2384
2240.000000	74.151	-2.9228
2270.000000	74.355	-3.5494
2300.000000	74.565	-4.2497
2330.000000	74.780	-4.9996
2360.000000	74.991	-5.7980
2400.000000	75.258	-7.0243
2430.000000	75.445	-8.1050
2470.000000	75.679	-9.7439
2500.000000	75.837	-11.1047
2540.000000	76.012	-13.0549
2580.000000	76.136	-15.0652
2620.000000	76.208	-17.0346
2650.000000	76.230	-18.4360
2690.000000	76.229	-20.1303
2720.000000	76.217	-21.2446
2760.000000	76.197	-22.5241
2800.000000	76.176	-23.5796
2850.000000	76.157	-24.7116
2900.000000	76.160	-25.7828
2950.000000	76.184	-26.8724
3000.000000	76.214	-27.9788
3040.000000	76.238	-28.8883
3070.000000	76.257	-29.5899
3110.000000	76.282	-30.5661
3150.000000	76.306	-31.5764
3200.000000	76.332	-32.8084
3250.000000	76.344	-33.9832
3300.000000	76.337	-35.1163
3350.000000	76.311	-36.2347
3400.000000	76.269	-37.3396
3450.000000	76.210	-38.3659
3500.000000	76.136	-39.2827
3550.000000	76.052	-40.1421
3600.000000	75.965	-40.9832
3650.000000	75.876	-41.7860
3700.000000	75.793	-42.5087
3750.000000	75.717	-43.1277
3820.000000	75.615	-43.8150
3870.000000	75.546	-44.1405
3950.000000	75.452	-44.3373
4000.000000	75.413	-44.3716
4060.000000	75.379	-44.4779
4120.000000	75.334	-44.6773
4180.000000	75.276	-44.9222
4250.000000	75.213	-45.2747
4310.000000	75.146	-45.5813
4370.000000	75.065	-45.8488
4440.000000	74.976	-46.1343
4500.000000	74.920	-46.3604
4550.000000	74.885	-46.5279
4620.000000	74.843	-46.7191
4680.000000	74.810	-46.8451
4750.000000	74.777	-46.9717
4820.000000	74.746	-47.1076
4870.000000	74.720	-47.2200
4940.000000	74.673	-47.3972
5000.000000	74.620	-47.5541
5080.000000	74.542	-47.7056
5150.000000	74.468	-47.7154
5220.000000	74.389	-47.6193
5300.000000	74.292	-47.4364
5380.000000	74.190	-47.2275
5450.000000	74.096	-47.0339
5520.000000	74.000	-46.8013
5600.000000	73.896	-46.4488
5700.000000	73.781	-45.8623
5800.000000	73.688	-45.1590
5900.000000	73.617	-44.4145
6000.000000	73.558	-43.5947
6080.000000	73.515	-42.8459
6150.000000	73.480	-42.1224
6220.000000	73.449	-41.3317
6300.000000	73.421	-40.3357
6400.000000	73.408	-38.9615
6500.000000	73.430	-37.4941
6600.000000	73.492	-36.0027
6700.000000	73.607	-34.5210
6800.000000	73.781	-33.0869
6900.000000	74.013	-31.7497
7000.000000	74.310	-30.5930
7100.000000	74.679	-29.7491
7200.000000	75.128	-29.3531
