* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:29:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme BA6P PB R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.939	23.4381
20.600000	81.984	22.9698
20.900000	82.039	22.3736
21.200001	82.096	21.7203
21.400000	82.134	21.2674
21.799999	82.204	20.3394
22.000000	82.236	19.8727
22.400000	82.296	18.9537
22.700001	82.337	18.2889
23.000000	82.375	17.6487
23.299999	82.411	17.0287
23.600000	82.447	16.4196
24.000000	82.491	15.6067
24.299999	82.521	14.9873
24.700001	82.557	14.1462
25.000000	82.582	13.5099
25.400000	82.612	12.6693
25.799999	82.640	11.8538
26.200001	82.666	11.0724
26.500000	82.684	10.5064
26.900000	82.706	9.7663
27.200001	82.719	9.2120
27.600000	82.732	8.4645
28.000000	82.738	7.7105
28.500000	82.736	6.7882
29.000000	82.729	5.9299
29.500000	82.728	5.1477
30.000000	82.738	4.4079
30.400000	82.749	3.8177
30.700001	82.754	3.3709
31.100000	82.756	2.7784
31.500000	82.751	2.2054
32.000000	82.742	1.5297
32.500000	82.737	0.8822
33.000000	82.740	0.2271
33.500000	82.745	-0.4524
34.000000	82.747	-1.1414
34.500000	82.743	-1.8127
35.000000	82.734	-2.4497
35.500000	82.723	-3.0533
36.000000	82.715	-3.6357
36.500000	82.713	-4.2126
37.000000	82.718	-4.7942
37.500000	82.723	-5.3751
38.200001	82.723	-6.1496
38.700001	82.717	-6.6579
39.500000	82.708	-7.4368
40.000000	82.704	-7.9422
40.599998	82.704	-8.5766
41.200001	82.707	-9.2175
41.799999	82.712	-9.8469
42.500000	82.711	-10.5678
43.099998	82.701	-11.1777
43.700001	82.685	-11.7843
44.400002	82.674	-12.5086
45.000000	82.678	-13.1611
45.500000	82.686	-13.7226
46.200001	82.698	-14.5059
46.799999	82.702	-15.1520
47.500000	82.703	-15.8751
48.200001	82.707	-16.5869
48.700001	82.716	-17.1009
49.400002	82.733	-17.8314
50.000000	82.741	-18.4572
50.799999	82.729	-19.2711
51.500000	82.705	-19.9721
52.200001	82.682	-20.6976
53.000000	82.668	-21.5913
53.799999	82.662	-22.5439
54.500000	82.651	-23.3892
55.200001	82.632	-24.2144
56.000000	82.604	-25.1214
57.000000	82.571	-26.2092
58.000000	82.540	-27.2584
59.000000	82.506	-28.3245
60.000000	82.466	-29.4631
60.799999	82.431	-30.3957
61.500000	82.400	-31.1917
62.200001	82.369	-31.9548
63.000000	82.334	-32.7924
64.000000	82.290	-33.8395
65.000000	82.242	-34.9551
66.000000	82.181	-36.1441
67.000000	82.107	-37.3510
68.000000	82.023	-38.5392
69.000000	81.931	-39.7093
70.000000	81.827	-40.8404
71.000000	81.722	-41.9048
72.000000	81.625	-42.9215
73.000000	81.533	-43.9210
74.000000	81.439	-44.8970
75.000000	81.338	-45.8289
76.199997	81.207	-46.8941
77.500000	81.055	-48.0382
78.800003	80.899	-49.1972
80.000000	80.753	-50.2228
81.199997	80.600	-51.1798
82.500000	80.424	-52.1616
83.800003	80.250	-53.0833
85.000000	80.094	-53.8772
86.199997	79.935	-54.6602
87.500000	79.758	-55.5225
88.500000	79.620	-56.1746
90.000000	79.404	-57.1072
91.199997	79.225	-57.8066
92.500000	79.038	-58.4830
93.800003	78.866	-59.0400
95.000000	78.718	-59.4784
96.199997	78.566	-59.9015
97.500000	78.386	-60.3589
98.800003	78.192	-60.7907
100.000000	78.009	-61.1645
101.500000	77.790	-61.6338
103.000000	77.580	-62.1200
104.400002	77.389	-62.5574
106.000000	77.170	-62.9739
107.500000	76.964	-63.2624
109.000000	76.759	-63.4772
110.599998	76.549	-63.6544
112.000000	76.375	-63.7551
113.800003	76.155	-63.8226
115.000000	76.010	-63.8355
117.199997	75.743	-63.7685
118.000000	75.644	-63.7338
120.599998	75.318	-63.5986
122.000000	75.145	-63.4712
124.099998	74.892	-63.2324
125.000000	74.785	-63.1287
126.500000	74.609	-62.9652
128.000000	74.438	-62.7971
131.500000	74.077	-62.3017
132.000000	74.031	-62.2286
134.000000	73.853	-61.9363
136.000000	73.670	-61.5911
