* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2025 14:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme BA6 P Orig ANC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.227	8.5992
20.600000	76.289	8.8193
20.900000	76.370	9.0286
21.200001	76.451	9.1371
21.400000	76.495	9.1349
21.799999	76.547	8.9624
22.000000	76.554	8.8107
22.400000	76.536	8.4340
22.700001	76.505	8.1309
23.000000	76.473	7.8409
23.299999	76.451	7.5756
23.600000	76.450	7.3245
24.000000	76.489	6.9460
24.299999	76.544	6.5602
24.700001	76.633	5.8223
25.000000	76.692	5.0898
25.400000	76.735	3.9506
25.799999	76.725	2.7948
26.200001	76.676	1.8154
26.500000	76.633	1.2638
26.900000	76.596	0.7575
27.200001	76.592	0.4848
27.600000	76.618	0.1529
28.000000	76.659	-0.2116
28.500000	76.697	-0.6919
29.000000	76.708	-1.1060
29.500000	76.702	-1.4378
30.000000	76.694	-1.7911
30.400000	76.686	-2.1634
30.700001	76.677	-2.5046
31.100000	76.659	-3.0168
31.500000	76.635	-3.5480
32.000000	76.604	-4.1722
32.500000	76.589	-4.7263
33.000000	76.601	-5.2405
33.500000	76.643	-5.7673
34.000000	76.700	-6.3204
34.500000	76.748	-6.8362
35.000000	76.766	-7.2023
35.500000	76.756	-7.3502
36.000000	76.731	-7.3403
36.500000	76.711	-7.3553
37.000000	76.703	-7.5837
37.500000	76.702	-8.0903
38.200001	76.703	-9.0744
38.700001	76.701	-9.7466
39.500000	76.683	-10.5021
40.000000	76.654	-10.7853
40.599998	76.599	-11.0396
41.200001	76.538	-11.3356
41.799999	76.492	-11.7954
42.500000	76.460	-12.5411
43.099998	76.437	-13.1736
43.700001	76.414	-13.5971
44.400002	76.401	-13.7992
45.000000	76.406	-13.9140
45.500000	76.415	-14.1156
46.200001	76.418	-14.6503
46.799999	76.401	-15.2819
47.500000	76.365	-16.0311
48.200001	76.332	-16.6175
48.700001	76.321	-16.9188
49.400002	76.319	-17.2513
50.000000	76.308	-17.5133
50.799999	76.257	-17.8642
51.500000	76.189	-18.2167
52.200001	76.118	-18.6608
53.000000	76.048	-19.2528
53.799999	75.991	-19.8532
54.500000	75.943	-20.3335
55.200001	75.894	-20.7334
56.000000	75.850	-21.1094
57.000000	75.830	-21.6372
58.000000	75.814	-22.3253
59.000000	75.758	-22.9752
60.000000	75.676	-23.4919
60.799999	75.606	-23.8917
61.500000	75.549	-24.2683
62.200001	75.504	-24.6853
63.000000	75.471	-25.2299
64.000000	75.442	-25.9467
65.000000	75.398	-26.5277
66.000000	75.323	-26.8916
67.000000	75.226	-27.1393
68.000000	75.136	-27.4547
69.000000	75.068	-27.8967
70.000000	75.014	-28.3322
71.000000	74.962	-28.6830
72.000000	74.897	-29.0134
73.000000	74.818	-29.3478
74.000000	74.737	-29.6999
75.000000	74.655	-30.1108
76.199997	74.558	-30.6497
77.500000	74.472	-31.1976
78.800003	74.408	-31.6409
80.000000	74.346	-31.9765
81.199997	74.258	-32.2516
82.500000	74.142	-32.5075
83.800003	74.020	-32.8182
85.000000	73.911	-33.1085
86.199997	73.817	-33.3049
87.500000	73.734	-33.4589
88.500000	73.679	-33.6347
90.000000	73.597	-34.0403
