* Measurement data measured by REW V5.30
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-Dec-2023 11:29:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Realme Buds Air 5 Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.752	-52.5555
20.600000	73.821	-52.6952
20.900000	73.907	-52.8719
21.200001	73.998	-53.0690
21.400000	74.060	-53.2085
21.799999	74.188	-53.4970
22.000000	74.254	-53.6394
22.400000	74.393	-53.9076
22.700001	74.501	-54.0906
23.000000	74.610	-54.2621
23.299999	74.716	-54.4294
23.600000	74.816	-54.5983
24.000000	74.937	-54.8284
24.299999	75.016	-55.0019
24.700001	75.112	-55.2287
25.000000	75.181	-55.3947
25.400000	75.273	-55.6137
25.799999	75.370	-55.8310
26.200001	75.471	-56.0393
26.500000	75.548	-56.1815
26.900000	75.650	-56.3443
27.200001	75.724	-56.4469
27.600000	75.818	-56.5677
28.000000	75.904	-56.6843
28.500000	75.998	-56.8334
29.000000	76.081	-56.9713
29.500000	76.159	-57.0727
30.000000	76.241	-57.1338
30.400000	76.309	-57.1688
30.700001	76.361	-57.1966
31.100000	76.426	-57.2409
31.500000	76.485	-57.2897
32.000000	76.548	-57.3388
32.500000	76.604	-57.3589
33.000000	76.663	-57.3591
33.500000	76.730	-57.3722
34.000000	76.800	-57.4254
34.500000	76.867	-57.5099
35.000000	76.924	-57.5833
35.500000	76.971	-57.6024
36.000000	77.013	-57.5584
36.500000	77.054	-57.4799
37.000000	77.094	-57.4058
37.500000	77.132	-57.3559
38.200001	77.181	-57.3118
38.700001	77.213	-57.2689
39.500000	77.259	-57.1186
40.000000	77.285	-56.9545
40.599998	77.317	-56.7043
41.200001	77.350	-56.4505
41.799999	77.380	-56.2419
42.500000	77.409	-56.0514
43.099998	77.428	-55.8909
43.700001	77.444	-55.7043
44.400002	77.461	-55.4431
45.000000	77.472	-55.1741
45.500000	77.481	-54.9151
46.200001	77.494	-54.5141
46.799999	77.504	-54.1525
47.500000	77.507	-53.7139
48.200001	77.502	-53.2592
48.700001	77.497	-52.9446
49.400002	77.494	-52.5530
50.000000	77.495	-52.2588
50.799999	77.494	-51.8502
51.500000	77.489	-51.4164
52.200001	77.476	-50.9186
53.000000	77.451	-50.3418
53.799999	77.417	-49.8015
54.500000	77.382	-49.3252
55.200001	77.349	-48.7863
56.000000	77.318	-48.0817
57.000000	77.290	-47.1718
58.000000	77.261	-46.3201
59.000000	77.225	-45.4737
60.000000	77.182	-44.5542
60.799999	77.143	-43.7452
61.500000	77.109	-43.0009
62.200001	77.080	-42.2636
63.000000	77.052	-41.4634
64.000000	77.017	-40.4972
65.000000	76.978	-39.5074
66.000000	76.930	-38.4755
67.000000	76.870	-37.3832
68.000000	76.810	-36.2263
69.000000	76.754	-35.0376
70.000000	76.698	-33.8405
71.000000	76.637	-32.6243
72.000000	76.572	-31.3926
73.000000	76.504	-30.1863
74.000000	76.432	-29.0092
75.000000	76.358	-27.8057
76.199997	76.278	-26.2841
77.500000	76.198	-24.5935
78.800003	76.116	-22.8968
80.000000	76.045	-21.3075
81.199997	75.982	-19.7087
82.500000	75.916	-18.0234
83.800003	75.845	-16.3704
85.000000	75.772	-14.7725
86.199997	75.690	-13.0795
87.500000	75.594	-11.2207
88.500000	75.522	-9.8210
90.000000	75.416	-7.7601
91.199997	75.328	-6.1044
92.500000	75.230	-4.2638
93.800003	75.134	-2.3455
95.000000	75.049	-0.5147
96.199997	74.968	1.3517
97.500000	74.885	3.3976
98.800003	74.809	5.4768
100.000000	74.740	7.4193
101.500000	74.648	9.8196
103.000000	74.549	12.1689
104.400002	74.461	14.3554
106.000000	74.373	16.8860
107.500000	74.290	19.3118
109.000000	74.196	21.8006
110.599998	74.088	24.5035
112.000000	73.995	26.8923
113.800003	73.880	29.9294
115.000000	73.810	31.9058
117.199997	73.690	35.4495
118.000000	73.648	36.7222
120.599998	73.501	40.8912
122.000000	73.416	43.2036
124.099998	73.288	46.7927
125.000000	73.236	48.3674
126.500000	73.151	51.0111
128.000000	73.070	53.6535
131.500000	72.897	59.7880
132.000000	72.873	60.6651
134.000000	72.775	64.1654
136.000000	72.672	67.6453
138.000000	72.570	71.1338
140.000000	72.477	74.6813
143.000000	72.360	80.0907
145.000000	72.294	83.7179
147.500000	72.221	88.3174
150.000000	72.151	92.9172
152.500000	72.075	97.3991
155.000000	71.994	101.7835
157.500000	71.923	106.1922
160.000000	71.857	110.7193
162.500000	71.788	115.3383
165.000000	71.725	119.9094
167.500000	71.670	124.4345
170.000000	71.621	129.0211
172.500000	71.583	133.6462
175.000000	71.563	138.2026
177.500000	71.555	142.5951
180.000000	71.548	146.8493
182.500000	71.535	151.0929
185.000000	71.517	155.4160
187.500000	71.499	159.8021
190.000000	71.481	164.1900
192.500000	71.468	168.5555
195.000000	71.457	172.8705
197.500000	71.449	177.1165
200.000000	71.446	-178.6876
203.000000	71.458	-173.6923
206.000000	71.485	-168.7390
209.000000	71.523	-163.8075
212.000000	71.562	-158.8749
214.000000	71.584	-155.5795
218.000000	71.617	-148.9647
220.000000	71.632	-145.6646
224.000000	71.660	-139.1495
227.000000	71.678	-134.3587
230.000000	71.692	-129.6321
233.000000	71.704	-124.9416
236.000000	71.716	-120.2810
240.000000	71.732	-114.1172
243.000000	71.738	-109.5266
247.000000	71.741	-103.3826
250.000000	71.741	-98.7535
254.000000	71.744	-92.5850
258.000000	71.745	-86.4128
262.000000	71.733	-80.2952
265.000000	71.718	-75.7455
269.000000	71.698	-69.6741
272.000000	71.687	-65.0983
276.000000	71.681	-58.9534
280.000000	71.679	-52.7770
285.000000	71.678	-45.0491
290.000000	71.692	-37.2864
295.000000	71.729	-29.4734
300.000000	71.786	-21.7847
304.000000	71.835	-15.8549
307.000000	71.868	-11.5316
311.000000	71.902	-5.8665
315.000000	71.922	-0.2523
320.000000	71.922	6.7413
325.000000	71.900	13.7986
330.000000	71.873	20.9743
335.000000	71.843	28.1836
340.000000	71.806	35.4006
345.000000	71.766	42.6674
350.000000	71.730	50.0110
355.000000	71.699	57.3963
360.000000	71.669	64.7704
365.000000	71.639	72.0732
370.000000	71.603	79.2900
375.000000	71.560	86.4766
382.000000	71.503	96.5389
387.000000	71.472	103.6824
395.000000	71.430	115.0310
400.000000	71.406	122.1727
406.000000	71.380	130.7820
412.000000	71.349	139.3391
418.000000	71.306	147.8256
425.000000	71.249	157.7063
431.000000	71.208	166.2249
437.000000	71.178	174.7702
444.000000	71.156	-175.3172
450.000000	71.137	-166.8996
455.000000	71.109	-159.9567
462.000000	71.045	-150.4100
468.000000	70.978	-142.3741
475.000000	70.904	-133.0763
482.000000	70.845	-123.8186
487.000000	70.812	-117.2460
494.000000	70.772	-108.1219
500.000000	70.738	-100.3682
508.000000	70.690	-90.0847
515.000000	70.652	-81.0880
522.000000	70.620	-72.0789
530.000000	70.589	-61.7770
538.000000	70.555	-51.4804
545.000000	70.521	-42.5111
552.000000	70.484	-33.5894
560.000000	70.441	-23.4650
570.000000	70.387	-10.8859
580.000000	70.329	1.7282
590.000000	70.269	14.3395
600.000000	70.207	26.7429
608.000000	70.155	36.5348
615.000000	70.108	45.0698
622.000000	70.064	53.5849
630.000000	70.020	63.2656
640.000000	69.977	75.3866
650.000000	69.943	87.5934
660.000000	69.908	99.6624
670.000000	69.865	111.4845
680.000000	69.819	123.1610
690.000000	69.766	134.8016
700.000000	69.699	146.4304
